
Predictions were generated on 14-Jan-2021 at 17:43:24 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.5.0-10-gb4fd3acc
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn

Description from the FAST input file: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

Time	Azimuth	BldPitch1	GenSpeed	IPDefl1	LSSGagMya	LSSGagMza	OoPDefl1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotSpeed	RotTorq	YawPzn
    0.1625	 9.789E+00	 1.170E+00	 9.715E+02	-8.829E-02	-2.442E+03	-1.301E+02	 7.771E-01	 5.734E+01	-1.369E+01	 2.180E+02	-6.743E+01	 1.641E+03	-3.032E+01	 1.004E+01	-9.553E+02	 0.000E+00
    0.1688	 1.017E+01	 1.170E+00	 9.715E+02	-9.484E-02	-2.466E+03	-1.284E+02	 8.258E-01	 6.104E+01	-1.429E+01	 2.185E+02	-6.024E+01	 1.758E+03	-2.989E+01	 1.004E+01	-9.994E+02	 0.000E+00
    0.1750	 1.054E+01	 1.170E+00	 9.715E+02	-1.016E-01	-2.490E+03	-1.246E+02	 8.753E-01	 6.478E+01	-1.494E+01	 2.190E+02	-5.099E+01	 1.876E+03	-2.958E+01	 1.004E+01	-1.040E+03	 0.000E+00
    0.1813	 1.092E+01	 1.170E+00	 9.715E+02	-1.084E-01	-2.512E+03	-1.193E+02	 9.257E-01	 6.856E+01	-1.565E+01	 2.195E+02	-3.950E+01	 1.996E+03	-2.930E+01	 1.004E+01	-1.077E+03	 0.000E+00
    0.1875	 1.130E+01	 1.170E+00	 9.715E+02	-1.155E-01	-2.534E+03	-1.101E+02	 9.770E-01	 7.235E+01	-1.642E+01	 2.200E+02	-2.562E+01	 2.116E+03	-2.906E+01	 1.004E+01	-1.109E+03	 0.000E+00
    0.1938	 1.167E+01	 1.170E+00	 9.715E+02	-1.226E-01	-2.555E+03	-9.933E+01	 1.029E+00	 7.612E+01	-1.726E+01	 2.205E+02	-9.194E+00	 2.237E+03	-2.858E+01	 1.004E+01	-1.136E+03	 0.000E+00
    0.2000	 1.205E+01	 1.170E+00	 9.715E+02	-1.300E-01	-2.574E+03	-8.601E+01	 1.082E+00	 7.989E+01	-1.817E+01	 2.210E+02	 9.917E+00	 2.358E+03	-2.864E+01	 1.004E+01	-1.157E+03	 0.000E+00
    0.2063	 1.242E+01	 1.170E+00	 9.715E+02	-1.374E-01	-2.592E+03	-6.955E+01	 1.136E+00	 8.358E+01	-1.916E+01	 2.214E+02	 3.181E+01	 2.477E+03	-2.841E+01	 1.004E+01	-1.173E+03	 0.000E+00
    0.2125	 1.280E+01	 1.170E+00	 9.715E+02	-1.449E-01	-2.610E+03	-5.246E+01	 1.191E+00	 8.718E+01	-2.023E+01	 2.219E+02	 5.652E+01	 2.595E+03	-2.827E+01	 1.004E+01	-1.181E+03	 0.000E+00
    0.2188	 1.318E+01	 1.170E+00	 9.715E+02	-1.526E-01	-2.625E+03	-3.244E+01	 1.246E+00	 9.069E+01	-2.139E+01	 2.223E+02	 8.419E+01	 2.711E+03	-2.821E+01	 1.004E+01	-1.184E+03	 0.000E+00
    0.2250	 1.355E+01	 1.170E+00	 9.715E+02	-1.603E-01	-2.642E+03	-9.371E+00	 1.303E+00	 9.402E+01	-2.263E+01	 2.228E+02	 1.148E+02	 2.824E+03	-2.817E+01	 1.004E+01	-1.178E+03	 0.000E+00
    0.2313	 1.393E+01	 1.170E+00	 9.715E+02	-1.681E-01	-2.655E+03	 1.514E+01	 1.360E+00	 9.731E+01	-2.395E+01	 2.232E+02	 1.486E+02	 2.935E+03	-2.821E+01	 1.004E+01	-1.166E+03	 0.000E+00
    0.2375	 1.431E+01	 1.170E+00	 9.715E+02	-1.760E-01	-2.669E+03	 4.194E+01	 1.418E+00	 1.004E+02	-2.537E+01	 2.236E+02	 1.854E+02	 3.042E+03	-2.828E+01	 1.004E+01	-1.145E+03	 0.000E+00
    0.2438	 1.468E+01	 1.170E+00	 9.715E+02	-1.839E-01	-2.682E+03	 7.070E+01	 1.477E+00	 1.033E+02	-2.688E+01	 2.240E+02	 2.253E+02	 3.146E+03	-2.841E+01	 1.004E+01	-1.117E+03	 0.000E+00
    0.2500	 1.506E+01	 1.170E+00	 9.715E+02	-1.919E-01	-2.693E+03	 1.011E+02	 1.537E+00	 1.061E+02	-2.848E+01	 2.244E+02	 2.683E+02	 3.247E+03	-2.861E+01	 1.004E+01	-1.080E+03	 0.000E+00
    0.2563	 1.544E+01	 1.170E+00	 9.715E+02	-2.000E-01	-2.704E+03	 1.337E+02	 1.598E+00	 1.086E+02	-3.016E+01	 2.248E+02	 3.143E+02	 3.343E+03	-2.888E+01	 1.004E+01	-1.035E+03	 0.000E+00
    0.2625	 1.581E+01	 1.170E+00	 9.715E+02	-2.080E-01	-2.714E+03	 1.677E+02	 1.659E+00	 1.110E+02	-3.194E+01	 2.252E+02	 3.632E+02	 3.435E+03	-2.920E+01	 1.004E+01	-9.818E+02	 0.000E+00
    0.2687	 1.619E+01	 1.170E+00	 9.715E+02	-2.161E-01	-2.724E+03	 2.033E+02	 1.721E+00	 1.132E+02	-3.380E+01	 2.255E+02	 4.151E+02	 3.523E+03	-2.960E+01	 1.004E+01	-9.203E+02	 0.000E+00
    0.2750	 1.657E+01	 1.170E+00	 9.715E+02	-2.243E-01	-2.732E+03	 2.402E+02	 1.784E+00	 1.152E+02	-3.574E+01	 2.258E+02	 4.696E+02	 3.606E+03	-3.007E+01	 1.004E+01	-8.508E+02	 0.000E+00
    0.2812	 1.694E+01	 1.170E+00	 9.715E+02	-2.324E-01	-2.741E+03	 2.784E+02	 1.847E+00	 1.170E+02	-3.776E+01	 2.262E+02	 5.268E+02	 3.685E+03	-3.059E+01	 1.004E+01	-7.733E+02	 0.000E+00
    0.2875	 1.732E+01	 1.170E+00	 9.715E+02	-2.405E-01	-2.747E+03	 3.176E+02	 1.911E+00	 1.186E+02	-3.986E+01	 2.264E+02	 5.864E+02	 3.761E+03	-3.121E+01	 1.004E+01	-6.881E+02	 0.000E+00
    0.2938	 1.770E+01	 1.170E+00	 9.715E+02	-2.486E-01	-2.754E+03	 3.577E+02	 1.976E+00	 1.200E+02	-4.203E+01	 2.267E+02	 6.483E+02	 3.832E+03	-3.189E+01	 1.004E+01	-5.954E+02	 0.000E+00
    0.3000	 1.807E+01	 1.170E+00	 9.715E+02	-2.567E-01	-2.760E+03	 3.987E+02	 2.040E+00	 1.213E+02	-4.425E+01	 2.269E+02	 7.123E+02	 3.899E+03	-3.264E+01	 1.004E+01	-4.956E+02	 0.000E+00
    0.3063	 1.845E+01	 1.170E+00	 9.715E+02	-2.648E-01	-2.765E+03	 4.404E+02	 2.106E+00	 1.224E+02	-4.654E+01	 2.271E+02	 7.782E+02	 3.962E+03	-3.347E+01	 1.004E+01	-3.891E+02	 0.000E+00
    0.3125	 1.883E+01	 1.170E+00	 9.715E+02	-2.729E-01	-2.769E+03	 4.826E+02	 2.171E+00	 1.233E+02	-4.888E+01	 2.273E+02	 8.457E+02	 4.022E+03	-3.436E+01	 1.004E+01	-2.763E+02	 0.000E+00
    0.3188	 1.920E+01	 1.170E+00	 9.715E+02	-2.810E-01	-2.773E+03	 5.252E+02	 2.236E+00	 1.241E+02	-5.126E+01	 2.275E+02	 9.145E+02	 4.079E+03	-3.532E+01	 1.004E+01	-1.577E+02	 0.000E+00
    0.3250	 1.958E+01	 1.170E+00	 9.715E+02	-2.890E-01	-2.776E+03	 5.681E+02	 2.302E+00	 1.248E+02	-5.367E+01	 2.276E+02	 9.845E+02	 4.133E+03	-3.634E+01	 1.004E+01	-3.396E+01	 0.000E+00
    0.3313	 1.995E+01	 1.170E+00	 9.715E+02	-2.970E-01	-2.778E+03	 6.112E+02	 2.367E+00	 1.254E+02	-5.611E+01	 2.277E+02	 1.055E+03	 4.185E+03	-3.742E+01	 1.004E+01	 9.446E+01	 0.000E+00
    0.3375	 2.033E+01	 1.170E+00	 9.715E+02	-3.049E-01	-2.779E+03	 6.543E+02	 2.433E+00	 1.259E+02	-5.857E+01	 2.278E+02	 1.127E+03	 4.234E+03	-3.856E+01	 1.004E+01	 2.269E+02	 0.000E+00
    0.3438	 2.071E+01	 1.170E+00	 9.715E+02	-3.128E-01	-2.779E+03	 6.975E+02	 2.498E+00	 1.264E+02	-6.104E+01	 2.279E+02	 1.198E+03	 4.283E+03	-3.974E+01	 1.004E+01	 3.627E+02	 0.000E+00
    0.3500	 2.108E+01	 1.170E+00	 9.715E+02	-3.206E-01	-2.779E+03	 7.406E+02	 2.562E+00	 1.268E+02	-6.351E+01	 2.279E+02	 1.270E+03	 4.330E+03	-4.097E+01	 1.004E+01	 5.013E+02	 0.000E+00
    0.3563	 2.146E+01	 1.170E+00	 9.715E+02	-3.283E-01	-2.777E+03	 7.834E+02	 2.626E+00	 1.272E+02	-6.598E+01	 2.279E+02	 1.341E+03	 4.376E+03	-4.223E+01	 1.004E+01	 6.419E+02	 0.000E+00
    0.3625	 2.184E+01	 1.170E+00	 9.715E+02	-3.361E-01	-2.775E+03	 8.262E+02	 2.690E+00	 1.276E+02	-6.842E+01	 2.279E+02	 1.412E+03	 4.422E+03	-4.351E+01	 1.004E+01	 7.838E+02	 0.000E+00
    0.3688	 2.221E+01	 1.170E+00	 9.715E+02	-3.437E-01	-2.771E+03	 8.680E+02	 2.752E+00	 1.281E+02	-7.084E+01	 2.279E+02	 1.482E+03	 4.469E+03	-4.484E+01	 1.004E+01	 9.264E+02	 0.000E+00
    0.3750	 2.259E+01	 1.170E+00	 9.715E+02	-3.512E-01	-2.766E+03	 9.112E+02	 2.814E+00	 1.285E+02	-7.323E+01	 2.278E+02	 1.551E+03	 4.516E+03	-4.615E+01	 1.004E+01	 1.069E+03	 0.000E+00
    0.3813	 2.297E+01	 1.170E+00	 9.715E+02	-3.587E-01	-2.760E+03	 9.527E+02	 2.874E+00	 1.291E+02	-7.557E+01	 2.277E+02	 1.618E+03	 4.565E+03	-4.748E+01	 1.004E+01	 1.211E+03	 0.000E+00
    0.3875	 2.334E+01	 1.170E+00	 9.715E+02	-3.661E-01	-2.753E+03	 9.945E+02	 2.934E+00	 1.297E+02	-7.786E+01	 2.276E+02	 1.684E+03	 4.614E+03	-4.881E+01	 1.004E+01	 1.351E+03	 0.000E+00
    0.3938	 2.372E+01	 1.170E+00	 9.715E+02	-3.734E-01	-2.744E+03	 1.035E+03	 2.992E+00	 1.305E+02	-8.010E+01	 2.275E+02	 1.747E+03	 4.666E+03	-5.012E+01	 1.004E+01	 1.489E+03	 0.000E+00
    0.4000	 2.410E+01	 1.170E+00	 9.715E+02	-3.807E-01	-2.734E+03	 1.076E+03	 3.049E+00	 1.314E+02	-8.227E+01	 2.274E+02	 1.809E+03	 4.720E+03	-5.142E+01	 1.004E+01	 1.625E+03	 0.000E+00
    0.4062	 2.447E+01	 1.170E+00	 9.715E+02	-3.878E-01	-2.723E+03	 1.115E+03	 3.104E+00	 1.324E+02	-8.436E+01	 2.273E+02	 1.868E+03	 4.777E+03	-5.291E+01	 1.004E+01	 1.757E+03	 0.000E+00
    0.4125	 2.485E+01	 1.170E+00	 9.715E+02	-3.948E-01	-2.710E+03	 1.155E+03	 3.158E+00	 1.335E+02	-8.638E+01	 2.271E+02	 1.924E+03	 4.837E+03	-5.392E+01	 1.004E+01	 1.885E+03	 0.000E+00
    0.4188	 2.523E+01	 1.170E+00	 9.715E+02	-4.017E-01	-2.697E+03	 1.195E+03	 3.211E+00	 1.348E+02	-8.831E+01	 2.270E+02	 1.978E+03	 4.898E+03	-5.517E+01	 1.004E+01	 2.008E+03	 0.000E+00
    0.4250	 2.560E+01	 1.170E+00	 9.715E+02	-4.085E-01	-2.682E+03	 1.234E+03	 3.261E+00	 1.362E+02	-9.015E+01	 2.269E+02	 2.028E+03	 4.964E+03	-5.633E+01	 1.004E+01	 2.127E+03	 0.000E+00
    0.4313	 2.598E+01	 1.170E+00	 9.715E+02	-4.152E-01	-2.665E+03	 1.273E+03	 3.310E+00	 1.379E+02	-9.190E+01	 2.268E+02	 2.076E+03	 5.032E+03	-5.741E+01	 1.004E+01	 2.241E+03	 0.000E+00
    0.4375	 2.635E+01	 1.170E+00	 9.715E+02	-4.218E-01	-2.648E+03	 1.311E+03	 3.357E+00	 1.397E+02	-9.356E+01	 2.266E+02	 2.120E+03	 5.104E+03	-5.843E+01	 1.004E+01	 2.348E+03	 0.000E+00
    0.4438	 2.673E+01	 1.170E+00	 9.715E+02	-4.282E-01	-2.629E+03	 1.349E+03	 3.403E+00	 1.417E+02	-9.511E+01	 2.265E+02	 2.161E+03	 5.179E+03	-5.938E+01	 1.004E+01	 2.450E+03	 0.000E+00
    0.4500	 2.711E+01	 1.170E+00	 9.715E+02	-4.345E-01	-2.609E+03	 1.385E+03	 3.446E+00	 1.438E+02	-9.656E+01	 2.264E+02	 2.199E+03	 5.258E+03	-6.051E+01	 1.004E+01	 2.544E+03	 0.000E+00
    0.4563	 2.748E+01	 1.170E+00	 9.715E+02	-4.406E-01	-2.588E+03	 1.422E+03	 3.487E+00	 1.462E+02	-9.790E+01	 2.263E+02	 2.233E+03	 5.340E+03	-6.107E+01	 1.004E+01	 2.633E+03	 0.000E+00
    0.4625	 2.786E+01	 1.170E+00	 9.715E+02	-4.466E-01	-2.567E+03	 1.458E+03	 3.527E+00	 1.487E+02	-9.914E+01	 2.262E+02	 2.264E+03	 5.424E+03	-6.189E+01	 1.004E+01	 2.714E+03	 0.000E+00
    0.4688	 2.824E+01	 1.170E+00	 9.715E+02	-4.524E-01	-2.545E+03	 1.491E+03	 3.564E+00	 1.513E+02	-1.003E+02	 2.261E+02	 2.291E+03	 5.512E+03	-6.280E+01	 1.004E+01	 2.790E+03	 0.000E+00
    0.4750	 2.861E+01	 1.170E+00	 9.715E+02	-4.581E-01	-2.522E+03	 1.525E+03	 3.600E+00	 1.542E+02	-1.013E+02	 2.260E+02	 2.315E+03	 5.602E+03	-6.314E+01	 1.004E+01	 2.858E+03	 0.000E+00
    0.4813	 2.899E+01	 1.170E+00	 9.715E+02	-4.636E-01	-2.496E+03	 1.561E+03	 3.633E+00	 1.571E+02	-1.022E+02	 2.259E+02	 2.336E+03	 5.695E+03	-6.376E+01	 1.004E+01	 2.919E+03	 0.000E+00
    0.4875	 2.937E+01	 1.170E+00	 9.715E+02	-4.689E-01	-2.468E+03	 1.598E+03	 3.665E+00	 1.603E+02	-1.031E+02	 2.259E+02	 2.354E+03	 5.790E+03	-6.442E+01	 1.004E+01	 2.973E+03	 0.000E+00
    0.4938	 2.974E+01	 1.170E+00	 9.715E+02	-4.740E-01	-2.439E+03	 1.636E+03	 3.695E+00	 1.636E+02	-1.038E+02	 2.258E+02	 2.369E+03	 5.887E+03	-6.478E+01	 1.004E+01	 3.020E+03	 0.000E+00
    0.5000	 3.012E+01	 1.170E+00	 9.715E+02	-4.790E-01	-2.404E+03	 1.677E+03	 3.723E+00	 1.672E+02	-1.045E+02	 2.257E+02	 2.381E+03	 5.989E+03	-6.519E+01	 1.004E+01	 3.061E+03	 0.000E+00
    0.5062	 3.050E+01	 1.170E+00	 9.715E+02	-4.837E-01	-2.372E+03	 1.721E+03	 3.749E+00	 1.707E+02	-1.050E+02	 2.257E+02	 2.391E+03	 6.090E+03	-6.545E+01	 1.004E+01	 3.097E+03	 0.000E+00
    0.5125	 3.087E+01	 1.170E+00	 9.715E+02	-4.882E-01	-2.343E+03	 1.766E+03	 3.774E+00	 1.741E+02	-1.055E+02	 2.256E+02	 2.398E+03	 6.186E+03	-6.576E+01	 1.004E+01	 3.126E+03	 0.000E+00
    0.5188	 3.125E+01	 1.170E+00	 9.715E+02	-4.926E-01	-2.311E+03	 1.811E+03	 3.798E+00	 1.775E+02	-1.059E+02	 2.256E+02	 2.403E+03	 6.282E+03	-6.598E+01	 1.004E+01	 3.148E+03	 0.000E+00
    0.5250	 3.163E+01	 1.170E+00	 9.715E+02	-4.966E-01	-2.279E+03	 1.856E+03	 3.820E+00	 1.809E+02	-1.062E+02	 2.256E+02	 2.405E+03	 6.376E+03	-6.615E+01	 1.004E+01	 3.165E+03	 0.000E+00
    0.5312	 3.200E+01	 1.170E+00	 9.715E+02	-5.005E-01	-2.249E+03	 1.902E+03	 3.841E+00	 1.841E+02	-1.065E+02	 2.256E+02	 2.406E+03	 6.466E+03	-6.629E+01	 1.004E+01	 3.176E+03	 0.000E+00
    0.5375	 3.238E+01	 1.170E+00	 9.715E+02	-5.041E-01	-2.219E+03	 1.947E+03	 3.861E+00	 1.872E+02	-1.068E+02	 2.257E+02	 2.404E+03	 6.552E+03	-6.638E+01	 1.004E+01	 3.181E+03	 0.000E+00
    0.5438	 3.276E+01	 1.170E+00	 9.715E+02	-5.075E-01	-2.189E+03	 1.992E+03	 3.881E+00	 1.901E+02	-1.069E+02	 2.257E+02	 2.401E+03	 6.633E+03	-6.643E+01	 1.004E+01	 3.181E+03	 0.000E+00
    0.5500	 3.313E+01	 1.170E+00	 9.715E+02	-5.107E-01	-2.161E+03	 2.035E+03	 3.899E+00	 1.928E+02	-1.071E+02	 2.258E+02	 2.397E+03	 6.709E+03	-6.645E+01	 1.004E+01	 3.177E+03	 0.000E+00
    0.5563	 3.351E+01	 1.170E+00	 9.715E+02	-5.136E-01	-2.134E+03	 2.078E+03	 3.917E+00	 1.952E+02	-1.072E+02	 2.259E+02	 2.391E+03	 6.779E+03	-6.645E+01	 1.004E+01	 3.167E+03	 0.000E+00
    0.5625	 3.388E+01	 1.170E+00	 9.715E+02	-5.163E-01	-2.108E+03	 2.118E+03	 3.934E+00	 1.974E+02	-1.073E+02	 2.260E+02	 2.384E+03	 6.842E+03	-6.643E+01	 1.004E+01	 3.154E+03	 0.000E+00
    0.5687	 3.426E+01	 1.170E+00	 9.715E+02	-5.187E-01	-2.084E+03	 2.157E+03	 3.950E+00	 1.993E+02	-1.074E+02	 2.261E+02	 2.376E+03	 6.899E+03	-6.638E+01	 1.004E+01	 3.136E+03	 0.000E+00
    0.5750	 3.464E+01	 1.170E+00	 9.715E+02	-5.209E-01	-2.062E+03	 2.193E+03	 3.966E+00	 2.010E+02	-1.075E+02	 2.263E+02	 2.368E+03	 6.949E+03	-6.633E+01	 1.004E+01	 3.114E+03	 0.000E+00
    0.5813	 3.501E+01	 1.170E+00	 9.715E+02	-5.228E-01	-2.041E+03	 2.226E+03	 3.982E+00	 2.023E+02	-1.075E+02	 2.264E+02	 2.359E+03	 6.990E+03	-6.626E+01	 1.004E+01	 3.089E+03	 0.000E+00
    0.5875	 3.539E+01	 1.170E+00	 9.715E+02	-5.245E-01	-2.022E+03	 2.256E+03	 3.997E+00	 2.033E+02	-1.076E+02	 2.266E+02	 2.349E+03	 7.025E+03	-6.620E+01	 1.004E+01	 3.061E+03	 0.000E+00
    0.5938	 3.577E+01	 1.170E+00	 9.715E+02	-5.259E-01	-2.005E+03	 2.283E+03	 4.012E+00	 2.040E+02	-1.077E+02	 2.268E+02	 2.340E+03	 7.051E+03	-6.615E+01	 1.004E+01	 3.029E+03	 0.000E+00
    0.6000	 3.614E+01	 1.170E+00	 9.715E+02	-5.272E-01	-1.990E+03	 2.306E+03	 4.026E+00	 2.044E+02	-1.077E+02	 2.270E+02	 2.330E+03	 7.070E+03	-6.609E+01	 1.004E+01	 2.995E+03	 0.000E+00
    0.6063	 3.652E+01	 1.170E+00	 9.715E+02	-5.282E-01	-1.978E+03	 2.325E+03	 4.040E+00	 2.044E+02	-1.078E+02	 2.272E+02	 2.321E+03	 7.080E+03	-6.605E+01	 1.004E+01	 2.958E+03	 0.000E+00
    0.6125	 3.690E+01	 1.170E+00	 9.715E+02	-5.289E-01	-1.967E+03	 2.341E+03	 4.054E+00	 2.042E+02	-1.079E+02	 2.275E+02	 2.312E+03	 7.083E+03	-6.603E+01	 1.004E+01	 2.919E+03	 0.000E+00
