
Predictions were generated on 28-Jul-2020 at 13:34:37 using AA AeroAcoustics

Number of observers      :    2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
         6.8000	  7.981298E+001	  6.180756E+001
         6.9000	  7.977930E+001	  6.151828E+001
         7.0000	  7.973974E+001	  6.167949E+001
         7.1000	  7.972348E+001	  6.204071E+001
         7.2000	  7.971425E+001	  6.245694E+001
         7.3000	  7.969648E+001	  6.287625E+001
         7.4000	  7.967323E+001	  6.327992E+001
         7.5000	  7.966646E+001	  6.364053E+001
         7.6000	  7.969279E+001	  6.392040E+001
         7.7000	  7.971917E+001	  6.406148E+001
         7.8000	  7.971192E+001	  6.403230E+001
         7.9000	  7.969202E+001	  6.387754E+001
         8.0000	  7.970241E+001	  6.369561E+001
         8.1000	  7.976169E+001	  6.354759E+001
         8.2000	  7.982929E+001	  6.337495E+001
         8.3000	  7.983931E+001	  6.309065E+001
         8.4000	  7.979112E+001	  6.276879E+001
         8.5000	  7.975033E+001	  6.270582E+001
         8.6000	  7.977000E+001	  6.333014E+001
         8.7000	  7.983392E+001	  6.410153E+001
         8.8000	  7.986076E+001	  6.191128E+001
         8.9000	  7.979824E+001	  6.155414E+001
         9.0000	  7.969711E+001	  6.153466E+001
         9.1000	  7.965028E+001	  6.187700E+001
         9.2000	  7.969283E+001	  6.247771E+001
         9.3000	  7.976286E+001	  6.307100E+001
         9.4000	  7.976017E+001	  6.345705E+001
         9.5000	  7.967315E+001	  6.364881E+001
         9.6000	  7.959745E+001	  6.378572E+001
         9.7000	  7.962074E+001	  6.394550E+001
         9.8000	  7.972932E+001	  6.407057E+001
         9.9000	  7.981542E+001	  6.403495E+001
        10.0000	  7.979664E+001	  6.379209E+001
        10.1000	  7.972005E+001	  6.345194E+001
        10.2000	  7.969476E+001	  6.316134E+001
        10.3000	  7.976351E+001	  6.297292E+001
        10.4000	  7.986224E+001	  6.286420E+001
        10.5000	  7.988750E+001	  6.291467E+001
        10.6000	  7.982099E+001	  6.343953E+001
        10.7000	  7.974541E+001	  6.382169E+001
        10.8000	  7.973159E+001	  6.170182E+001
        10.9000	  7.976958E+001	  6.148341E+001
        11.0000	  7.979345E+001	  6.162964E+001
        11.1000	  7.975869E+001	  6.202982E+001
        11.2000	  7.969804E+001	  6.254159E+001
        11.3000	  7.966411E+001	  6.301846E+001
        11.4000	  7.966604E+001	  6.340000E+001
        11.5000	  7.968285E+001	  6.368956E+001
        11.6000	  7.969239E+001	  6.389162E+001
        11.7000	  7.969632E+001	  6.401018E+001
        11.8000	  7.971007E+001	  6.403727E+001
        11.9000	  7.972739E+001	  6.394106E+001
        12.0000	  7.973949E+001	  6.372371E+001
        12.1000	  7.975352E+001	  6.345085E+001
        12.2000	  7.977621E+001	  6.320138E+001
        12.3000	  7.980513E+001	  6.300118E+001
        12.4000	  7.982334E+001	  6.285185E+001
        12.5000	  7.981654E+001	  6.289902E+001
        12.6000	  7.979813E+001	  6.347306E+001
        12.7000	  7.978738E+001	  6.315169E+001
        12.8000	  7.978376E+001	  6.166558E+001
        12.9000	  7.977438E+001	  6.151687E+001
        13.0000	  7.974955E+001	  6.169640E+001
        13.1000	  7.972000E+001	  6.208313E+001
        13.2000	  7.970327E+001	  6.256421E+001
        13.3000	  7.969560E+001	  6.302972E+001
        13.4000	  7.968392E+001	  6.341824E+001
        13.5000	  7.966982E+001	  6.371117E+001
        13.6000	  7.966876E+001	  6.391172E+001
        13.7000	  7.969251E+001	  6.402543E+001
        13.8000	  7.972609E+001	  6.403463E+001
        13.9000	  7.974134E+001	  6.391509E+001
        14.0000	  7.973670E+001	  6.368737E+001
        14.1000	  7.973902E+001	  6.342543E+001
        14.2000	  7.977014E+001	  6.319935E+001
        14.3000	  7.981758E+001	  6.301369E+001
        14.4000	  7.984069E+001	  6.285774E+001
        14.5000	  7.981892E+001	  6.290274E+001
        14.6000	  7.977910E+001	  6.351815E+001
        14.7000	  7.976362E+001	  6.279107E+001
        14.8000	  7.978312E+001	  6.166155E+001
        14.9000	  7.980165E+001	  6.162889E+001
        15.0000	  7.977581E+001	  6.179700E+001
        15.1000	  7.971113E+001	  6.207866E+001
        15.2000	  7.965936E+001	  6.249752E+001
        15.3000	  7.966119E+001	  6.301078E+001
        15.4000	  7.970209E+001	  6.349204E+001
        15.5000	  7.972606E+001	  6.381800E+001
        15.6000	  7.970114E+001	  6.395711E+001
        15.7000	  7.966028E+001	  6.397309E+001
        15.8000	  7.966105E+001	  6.394253E+001
        15.9000	  7.971853E+001	  6.388067E+001
        16.0000	  7.978709E+001	  6.374400E+001
        16.1000	  7.980927E+001	  6.349901E+001
        16.2000	  7.978277E+001	  6.318728E+001
        16.3000	  7.975877E+001	  6.290962E+001
        16.4000	  7.977680E+001	  6.276760E+001
        16.5000	  7.982224E+001	  6.294622E+001
        16.6000	  7.984440E+001	  6.368143E+001
        16.7000	  7.981665E+001	  6.264611E+001
        16.8000	  7.976600E+001	  6.163551E+001
        16.9000	  7.973452E+001	  6.157425E+001
        17.0000	  7.973171E+001	  6.176694E+001
        17.1000	  7.973448E+001	  6.212374E+001
        17.2000	  7.971908E+001	  6.259017E+001
        17.3000	  7.969078E+001	  6.307497E+001
        17.4000	  7.967200E+001	  6.349055E+001
        17.5000	  7.967128E+001	  6.378756E+001
        17.6000	  7.968113E+001	  6.395569E+001
        17.7000	  7.969406E+001	  6.400996E+001
        17.8000	  7.970998E+001	  6.397741E+001
        17.9000	  7.973198E+001	  6.387575E+001
        18.0000	  7.975486E+001	  6.369827E+001
        18.1000	  7.977027E+001	  6.344406E+001
        18.2000	  7.978068E+001	  6.315688E+001
        18.3000	  7.979329E+001	  6.290865E+001
        18.4000	  7.980874E+001	  6.279036E+001
        18.5000	  7.981826E+001	  6.299335E+001
        18.6000	  7.981210E+001	  6.374731E+001
        18.7000	  7.979334E+001	  6.244016E+001
        18.8000	  7.977434E+001	  6.159325E+001
        18.9000	  7.975912E+001	  6.156516E+001
        19.0000	  7.974238E+001	  6.179285E+001
        19.1000	  7.972016E+001	  6.217429E+001
        19.2000	  7.969803E+001	  6.264070E+001
        19.3000	  7.968595E+001	  6.311131E+001
        19.4000	  7.968399E+001	  6.351317E+001
        19.5000	  7.968287E+001	  6.380050E+001
        19.6000	  7.967989E+001	  6.396122E+001
        19.7000	  7.968445E+001	  6.401163E+001
        19.8000	  7.970608E+001	  6.397783E+001
        19.9000	  7.973910E+001	  6.386916E+001
        20.0000	  7.976457E+001	  6.367749E+001
