# r/R_[-],AxInd_[-],AxInd4_[-],AxInd5_[-],r_[m]
2.600000000000000089e-01,3.333342723969890398e-01,3.333333405997506160e-01,3.333333333928300002e-01,2.600000000000000000e+01
2.700000000000000178e-01,3.333345009779468127e-01,3.333333430276780862e-01,3.333333334185071273e-01,2.700000000000000000e+01
2.800000000000000266e-01,3.333347815131669778e-01,3.333333462251746315e-01,3.333333334547891047e-01,2.800000000000000355e+01
2.900000000000000355e-01,3.333351253122784907e-01,3.333333504272064096e-01,3.333333335059117664e-01,2.900000000000000355e+01
2.999999999999999889e-01,3.333355460841697648e-01,3.333333559386424394e-01,3.333333335777624584e-01,3.000000000000000000e+01
3.099999999999999978e-01,3.333360604375544822e-01,3.333333631546726572e-01,3.333333336785097023e-01,3.100000000000000000e+01
3.200000000000000067e-01,3.333366884847738243e-01,3.333333725871115427e-01,3.333333338194733875e-01,3.200000000000000000e+01
3.300000000000000155e-01,3.333374545699488989e-01,3.333333848982645287e-01,3.333333340163203706e-01,3.300000000000000000e+01
3.400000000000000244e-01,3.333383881468982013e-01,3.333334009445143575e-01,3.333333342907084940e-01,3.400000000000000000e+01
3.499999999999999778e-01,3.333395248373890452e-01,3.333334218323887321e-01,3.333333346725449453e-01,3.500000000000000000e+01
3.600000000000000977e-01,3.333409077065108694e-01,3.333334489906550901e-01,3.333333352030867225e-01,3.600000000000000711e+01
3.699999999999999956e-01,3.333425887994078129e-01,3.333334842629848693e-01,3.333333359391940087e-01,3.700000000000000000e+01
3.800000000000000044e-01,3.333446309925916506e-01,3.333335300270136026e-01,3.333333369591624518e-01,3.800000000000000000e+01
3.900000000000000133e-01,3.333471102238306782e-01,3.333335893472572087e-01,3.333333383707137165e-01,3.900000000000000000e+01
4.000000000000000222e-01,3.333501181775783695e-01,3.333336661714473848e-01,3.333333403219403968e-01,4.000000000000000000e+01
4.099999999999999756e-01,3.333537655184839466e-01,3.333337655825303614e-01,3.333333430162858657e-01,4.100000000000000000e+01
4.200000000000000955e-01,3.333581857842528029e-01,3.333338941220127527e-01,3.333333467330402700e-01,4.200000000000000711e+01
4.299999999999999933e-01,3.333635400716334907e-01,3.333340602047277779e-01,3.333333518553692754e-01,4.300000000000000000e+01
4.400000000000000022e-01,3.333700226763577357e-01,3.333342746507256260e-01,3.333333589086248105e-01,4.400000000000000000e+01
4.500000000000000111e-01,3.333778678803724360e-01,3.333345513671733817e-01,3.333333686126932482e-01,4.500000000000000000e+01
4.600000000000000200e-01,3.333873581187857260e-01,3.333349082223533433e-01,3.333333819534901599e-01,4.600000000000000000e+01
4.699999999999999734e-01,3.333988338059210021e-01,3.333353681655996659e-01,3.333334002805719010e-01,4.700000000000000000e+01
4.800000000000000933e-01,3.334127051563448574e-01,3.333359606620461268e-01,3.333334254403533814e-01,4.800000000000000711e+01
4.899999999999999911e-01,3.334294664046338896e-01,3.333367235302687748e-01,3.333334599578593460e-01,4.900000000000000000e+01
5.000000000000000000e-01,3.334497129092911516e-01,3.333377052954637487e-01,3.333335072846101976e-01,5.000000000000000000e+01
5.100000000000000089e-01,3.334741617244232348e-01,3.333389682021778433e-01,3.333335721365983106e-01,5.100000000000000000e+01
5.200000000000000178e-01,3.335036763409419125e-01,3.333405920707112058e-01,3.333336609549624741e-01,5.200000000000000000e+01
5.300000000000000266e-01,3.335392964412518535e-01,3.333426792325444032e-01,3.333337825337224225e-01,5.300000000000000000e+01
5.400000000000000355e-01,3.335822736825989621e-01,3.333453608456017347e-01,3.333339488749260671e-01,5.400000000000000000e+01
5.500000000000000444e-01,3.336341147305141863e-01,3.333488049737905468e-01,3.333341763532876034e-01,5.500000000000000711e+01
5.600000000000000533e-01,3.336966330124367386e-01,3.333532269220890187e-01,3.333344873019327692e-01,5.600000000000000711e+01
5.700000000000000622e-01,3.337720109615619490e-01,3.333589024549361568e-01,3.333349121709975327e-01,5.700000000000000711e+01
5.800000000000000711e-01,3.338628748832044857e-01,3.333661847000262135e-01,3.333354924653518236e-01,5.800000000000000711e+01
5.899999999999999689e-01,3.339723850138879846e-01,3.333755257623509660e-01,3.333362847417941088e-01,5.900000000000000000e+01
5.999999999999999778e-01,3.341043438735361581e-01,3.333875043579278552e-01,3.333373660466712463e-01,6.000000000000000000e+01
6.099999999999999867e-01,3.342633266540147030e-01,3.334028611403092590e-01,3.333388413115230819e-01,6.100000000000000000e+01
6.199999999999999956e-01,3.344548381683406513e-01,3.334225438577685940e-01,3.333408534099090992e-01,6.200000000000000000e+01
6.300000000000000044e-01,3.346855018360450629e-01,3.334477650733075893e-01,3.333435968305417108e-01,6.300000000000000000e+01
6.400000000000000133e-01,3.349632873416544809e-01,3.334800759396591707e-01,3.333473362639641779e-01,6.400000000000000000e+01
6.500000000000000222e-01,3.352977850260884241e-01,3.335214604940774930e-01,3.333524318645172957e-01,6.500000000000000000e+01
6.600000000000000311e-01,3.357005368203301865e-01,3.335744561832194033e-01,3.333593735800032265e-01,6.600000000000000000e+01
6.700000000000000400e-01,3.361854356914035780e-01,3.336423079249085655e-01,3.333688277977912007e-01,6.700000000000000000e+01
6.800000000000000488e-01,3.367692082525877706e-01,3.337291650623357420e-01,3.333817007189602832e-01,6.800000000000000000e+01
6.899999999999999467e-01,3.374719985378876741e-01,3.338403331995022927e-01,3.333992244514982772e-01,6.900000000000000000e+01
6.999999999999999556e-01,3.383180751481621451e-01,3.339825962978023033e-01,3.334230739594540305e-01,7.000000000000000000e+01
7.100000000000001865e-01,3.393366893029244324e-01,3.341646287915865932e-01,3.334555259217922840e-01,7.100000000000001421e+01
7.199999999999999734e-01,3.405631181317744782e-01,3.343975231503090728e-01,3.334996745221552317e-01,7.200000000000000000e+01
7.299999999999999822e-01,3.420399363008232996e-01,3.346954656866488742e-01,3.335597245923302423e-01,7.300000000000000000e+01
7.399999999999999911e-01,3.438185704734307846e-01,3.350766030419753405e-01,3.336413898959511570e-01,7.400000000000000000e+01
7.500000000000000000e-01,3.459612061138011563e-01,3.355641544423662581e-01,3.337524343957280482e-01,7.500000000000000000e+01
7.600000000000000089e-01,3.485431361348002022e-01,3.361878415875714787e-01,3.339034081158807066e-01,7.600000000000000000e+01
7.700000000000000178e-01,3.516556678686086346e-01,3.369857304455492475e-01,3.341086481239425310e-01,7.700000000000000000e+01
7.800000000000000266e-01,3.554097417465364450e-01,3.380066094996525550e-01,3.343876412503825057e-01,7.800000000000000000e+01
7.900000000000000355e-01,3.599404663168271901e-01,3.393130704197529490e-01,3.347668813811822131e-01,7.900000000000000000e+01
8.000000000000000444e-01,3.654128464987476121e-01,3.409855146583994912e-01,3.352824048166772597e-01,8.000000000000000000e+01
8.100000000000000533e-01,3.720290856164759630e-01,3.431273907446271698e-01,3.359832587680901539e-01,8.100000000000000000e+01
8.199999999999999512e-01,3.800379930898923342e-01,3.458720840910839422e-01,3.369362605186663751e-01,8.200000000000000000e+01
8.299999999999999600e-01,3.897472549410464504e-01,3.493920533404145101e-01,3.382325538393676223e-01,8.300000000000000000e+01
8.400000000000001910e-01,4.015396667703924338e-01,3.539110667006419852e-01,3.399966905265703887e-01,8.400000000000001421e+01
8.499999999999999778e-01,4.158949617135265231e-01,3.597207927125222748e-01,3.423993014659804102e-01,8.500000000000000000e+01
8.599999999999999867e-01,4.334197163909507822e-01,3.672036373299363832e-01,3.456749482746103164e-01,8.600000000000000000e+01
8.699999999999999956e-01,4.548892147793532348e-01,3.768647640280172184e-01,3.501475982307030721e-01,8.700000000000000000e+01
8.800000000000000044e-01,4.813075197426489593e-01,3.893780051513678342e-01,3.562675944601725875e-01,8.800000000000000000e+01
8.900000000000000133e-01,5.139961735024258793e-01,4.056534920536591926e-01,3.646664933527003494e-01,8.900000000000000000e+01
9.000000000000000222e-01,5.547296112354238584e-01,4.269405658061264930e-01,3.762407210527052848e-01,9.000000000000000000e+01
9.100000000000000311e-01,6.059501671452613980e-01,4.549906102627173654e-01,3.922838407326348364e-01,9.100000000000000000e+01
9.200000000000000400e-01,6.711258543653915165e-01,4.923271567849417107e-01,4.147053440113421807e-01,9.200000000000000000e+01
9.300000000000000488e-01,7.553807357088122565e-01,5.427205664338735636e-01,4.464137794730950182e-01,9.300000000000000000e+01
9.399999999999999467e-01,8.666876473609388398e-01,6.120845347380055035e-01,4.920378989616029375e-01,9.400000000000000000e+01
9.499999999999999556e-01,1.018341981192751433e+00,7.103333554730687505e-01,5.594167621520601541e-01,9.500000000000000000e+01
9.600000000000001865e-01,1.234766426508405512e+00,8.557372656087561813e-01,6.630883599617583002e-01,9.600000000000001421e+01
9.699999999999999734e-01,1.567760505585360509e+00,1.087111141136605452e+00,8.340446098371071537e-01,9.700000000000000000e+01
9.799999999999999822e-01,2.156629249525626513e+00,1.508912204629318854e+00,1.155812864792860717e+00,9.800000000000000000e+01
9.899999999999999911e-01,3.611130290110145413e+00,2.578451119310959161e+00,1.994227080315005285e+00,9.900000000000000000e+01
1.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+02
