
Predictions were generated on 06-Nov-2020 at 16:22:00 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #03: AWT-27CR2 with many DOFs with free yaw and steady wind.

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	TeetDefl	RotTeetV	RotTeetA	OoPDefl2	IPDefl2	RootMOoP2	RootMIP2	RotTorq	YawBrTDxp	YawBrTDyp	YawBrTAxp	YawBrTAyp	NacYaw	NacYawV	NacYawA	LSSGagMys	LSSGagMzs	TwrBsMxt	TwrBsMyt	B1N3VUndx	B1N3VUndy	B1N3VUndz	B1N3VDisx	B1N3VDisy	B1N3VDisz	B1N3STVx	B1N3STVy	B1N3STVz
   10.1800	 1.039E+01	-6.000E+00	 0.000E+00	 7.361E+01	 8.825E-01	 1.115E+00	-3.255E+01	 1.487E-01	-1.499E-02	 3.829E+01	-4.003E+00	 3.697E+01	 4.222E-02	-2.262E-02	 1.671E-01	-4.770E-02	-2.580E+01	-1.333E+00	 3.462E+00	 1.303E+01	-1.562E+00	 5.661E+02	 1.081E+03	 1.188E+01	-2.319E-01	 2.780E+00	 1.188E+01	-2.319E-01	 2.780E+00	 4.317E-03	-7.737E+01	-1.501E-01
   10.2000	 1.039E+01	-6.000E+00	 0.000E+00	 8.013E+01	 8.979E-01	 3.985E-01	-3.844E+01	 1.513E-01	-1.522E-02	 3.806E+01	-4.039E+00	 3.717E+01	 4.226E-02	-2.248E-02	 1.141E-01	-3.510E-02	-2.583E+01	-1.235E+00	 6.037E+00	 1.316E+01	-1.107E+00	 5.570E+02	 1.078E+03	 1.180E+01	-1.306E-01	 2.784E+00	 1.180E+01	-1.306E-01	 2.784E+00	-1.481E-01	-7.737E+01	-1.563E-01
   10.2200	 1.039E+01	-6.000E+00	 0.000E+00	 8.664E+01	 8.980E-01	-3.951E-01	-4.038E+01	 1.524E-01	-1.507E-02	 3.790E+01	-4.465E+00	 3.698E+01	 4.236E-02	-2.235E-02	 9.149E-02	-2.770E-02	-2.585E+01	-1.098E+00	 7.605E+00	 1.328E+01	-6.849E-01	 5.495E+02	 1.082E+03	 1.172E+01	-3.016E-02	 2.772E+00	 1.172E+01	-3.016E-02	 2.772E+00	-3.303E-01	-7.736E+01	-1.651E-01
   10.2400	 1.039E+01	-6.000E+00	 0.000E+00	 9.316E+01	 8.820E-01	-1.201E+00	-3.989E+01	 1.517E-01	-1.475E-02	 3.802E+01	-4.892E+00	 3.666E+01	 4.248E-02	-2.223E-02	 1.036E-01	-4.363E-02	-2.587E+01	-9.311E-01	 9.145E+00	 1.334E+01	-2.501E-01	 5.460E+02	 1.091E+03	 1.164E+01	 6.819E-02	 2.742E+00	 1.164E+01	 6.819E-02	 2.742E+00	-5.137E-01	-7.735E+01	-1.756E-01
   10.2600	 1.039E+01	-6.000E+00	 0.000E+00	 9.968E+01	 8.501E-01	-1.980E+00	-3.781E+01	 1.497E-01	-1.458E-02	 3.817E+01	-4.795E+00	 3.648E+01	 4.265E-02	-2.213E-02	 1.216E-01	-7.735E-02	-2.589E+01	-7.310E-01	 1.086E+01	 1.323E+01	 1.902E-01	 5.460E+02	 1.102E+03	 1.155E+01	 1.634E-01	 2.695E+00	 1.155E+01	 1.634E-01	 2.695E+00	-6.722E-01	-7.734E+01	-1.860E-01
   10.2800	 1.039E+01	-6.000E+00	 0.000E+00	 1.062E+02	 8.032E-01	-2.703E+00	-3.425E+01	 1.474E-01	-1.477E-02	 3.807E+01	-3.927E+00	 3.648E+01	 4.287E-02	-2.207E-02	 1.151E-01	-1.087E-01	-2.590E+01	-4.995E-01	 1.214E+01	 1.289E+01	 5.912E-01	 5.475E+02	 1.113E+03	 1.147E+01	 2.545E-01	 2.635E+00	 1.147E+01	 2.545E-01	 2.635E+00	-8.029E-01	-7.733E+01	-1.947E-01
   10.3000	 1.039E+01	-6.000E+00	 0.000E+00	 1.127E+02	 7.425E-01	-3.342E+00	-2.938E+01	 1.456E-01	-1.529E-02	 3.765E+01	-2.456E+00	 3.650E+01	 4.313E-02	-2.204E-02	 7.810E-02	-1.219E-01	-2.591E+01	-2.535E-01	 1.224E+01	 1.237E+01	 9.148E-01	 5.485E+02	 1.121E+03	 1.140E+01	 3.409E-01	 2.566E+00	 1.140E+01	 3.409E-01	 2.566E+00	-9.188E-01	-7.732E+01	-2.001E-01
   10.3200	 1.039E+01	-6.000E+00	 0.000E+00	 1.192E+02	 6.702E-01	-3.874E+00	-2.409E+01	 1.446E-01	-1.599E-02	 3.712E+01	-7.885E-01	 3.640E+01	 4.343E-02	-2.206E-02	 2.902E-02	-1.158E-01	-2.591E+01	-1.807E-02	 1.113E+01	 1.177E+01	 1.164E+00	 5.486E+02	 1.128E+03	 1.132E+01	 4.218E-01	 2.487E+00	 1.132E+01	 4.218E-01	 2.487E+00	-1.027E+00	-7.734E+01	-2.021E-01
   10.3400	 1.039E+01	-6.000E+00	 0.000E+00	 1.257E+02	 5.882E-01	-4.308E+00	-1.925E+01	 1.444E-01	-1.671E-02	 3.676E+01	 7.644E-01	 3.621E+01	 4.373E-02	-2.213E-02	-6.917E-03	-1.024E-01	-2.591E+01	 1.876E-01	 9.391E+00	 1.120E+01	 1.356E+00	 5.490E+02	 1.135E+03	 1.125E+01	 4.965E-01	 2.397E+00	 1.125E+01	 4.965E-01	 2.397E+00	-1.117E+00	-7.736E+01	-2.016E-01
   10.3600	 1.039E+01	-6.000E+00	 0.000E+00	 1.322E+02	 4.986E-01	-4.643E+00	-1.439E+01	 1.446E-01	-1.736E-02	 3.663E+01	 2.151E+00	 3.605E+01	 4.404E-02	-2.224E-02	-2.138E-02	-9.292E-02	-2.590E+01	 3.585E-01	 7.763E+00	 1.067E+01	 1.510E+00	 5.512E+02	 1.145E+03	 1.118E+01	 5.645E-01	 2.296E+00	 1.118E+01	 5.645E-01	 2.296E+00	-1.171E+00	-7.740E+01	-1.994E-01
   10.3800	 1.039E+01	-6.000E+00	 0.000E+00	 1.388E+02	 4.032E-01	-4.880E+00	-9.413E+00	 1.451E-01	-1.802E-02	 3.660E+01	 3.545E+00	 3.603E+01	 4.433E-02	-2.239E-02	-2.420E-02	-8.972E-02	-2.589E+01	 5.007E-01	 6.515E+00	 1.015E+01	 1.608E+00	 5.561E+02	 1.156E+03	 1.113E+01	 6.251E-01	 2.189E+00	 1.113E+01	 6.251E-01	 2.189E+00	-1.177E+00	-7.743E+01	-1.962E-01
   10.4000	 1.039E+01	-6.000E+00	 0.000E+00	 1.453E+02	 3.040E-01	-5.018E+00	-4.286E+00	 1.457E-01	-1.878E-02	 3.656E+01	 5.172E+00	 3.614E+01	 4.462E-02	-2.257E-02	-2.764E-02	-8.835E-02	-2.588E+01	 6.191E-01	 5.274E+00	 9.603E+00	 1.603E+00	 5.633E+02	 1.166E+03	 1.108E+01	 6.780E-01	 2.081E+00	 1.108E+01	 6.780E-01	 2.081E+00	-1.145E+00	-7.746E+01	-1.918E-01
   10.4200	 1.039E+01	-6.000E+00	 0.000E+00	 1.518E+02	 2.032E-01	-5.046E+00	 1.616E+00	 1.463E-01	-1.968E-02	 3.645E+01	 7.105E+00	 3.627E+01	 4.489E-02	-2.279E-02	-3.822E-02	-8.182E-02	-2.587E+01	 7.085E-01	 3.579E+00	 9.028E+00	 1.464E+00	 5.718E+02	 1.175E+03	 1.103E+01	 7.228E-01	 1.973E+00	 1.103E+01	 7.228E-01	 1.973E+00	-1.093E+00	-7.748E+01	-1.857E-01
   10.4400	 1.039E+01	-6.000E+00	 0.000E+00	 1.583E+02	 1.030E-01	-4.955E+00	 7.272E+00	 1.469E-01	-2.071E-02	 3.637E+01	 9.224E+00	 3.634E+01	 4.515E-02	-2.304E-02	-5.244E-02	-6.657E-02	-2.585E+01	 7.592E-01	 1.441E+00	 8.465E+00	 1.199E+00	 5.806E+02	 1.181E+03	 1.100E+01	 7.589E-01	 1.866E+00	 1.100E+01	 7.589E-01	 1.866E+00	-1.040E+00	-7.750E+01	-1.781E-01
   10.4600	 1.039E+01	-6.000E+00	 0.000E+00	 1.648E+02	 5.637E-03	-4.765E+00	 1.145E+01	 1.474E-01	-2.175E-02	 3.638E+01	 1.135E+01	 3.634E+01	 4.539E-02	-2.332E-02	-6.464E-02	-4.268E-02	-2.584E+01	 7.656E-01	-7.913E-01	 7.965E+00	 8.356E-01	 5.892E+02	 1.186E+03	 1.098E+01	 7.861E-01	 1.759E+00	 1.098E+01	 7.861E-01	 1.759E+00	-9.917E-01	-7.752E+01	-1.698E-01
   10.4800	 1.039E+01	-6.000E+00	 0.000E+00	 1.713E+02	-8.726E-02	-4.526E+00	 1.084E+01	 1.479E-01	-2.277E-02	 3.637E+01	 1.342E+01	 3.628E+01	 4.560E-02	-2.362E-02	-7.611E-02	-1.080E-02	-2.582E+01	 7.277E-01	-3.038E+00	 7.577E+00	 3.923E-01	 5.978E+02	 1.190E+03	 1.097E+01	 8.040E-01	 1.653E+00	 1.097E+01	 8.040E-01	 1.653E+00	-9.443E-01	-7.753E+01	-1.620E-01
   10.5000	 1.039E+01	-6.000E+00	 0.000E+00	 1.778E+02	-1.756E-01	-4.295E+00	 1.301E+01	 1.483E-01	-2.375E-02	 3.624E+01	 1.550E+01	 3.622E+01	 4.578E-02	-2.391E-02	-7.905E-02	 2.112E-02	-2.581E+01	 6.430E-01	-5.283E+00	 7.349E+00	-1.207E-01	 6.067E+02	 1.194E+03	 1.097E+01	 8.122E-01	 1.550E+00	 8.571E+00	 6.357E-01	 1.207E+00	-9.172E-01	-7.753E+01	-1.560E-01
   10.5200	 1.039E+01	-6.000E+00	 0.000E+00	 1.844E+02	-2.609E-01	-4.376E+00	-2.639E+01	 1.482E-01	-2.470E-02	 3.483E+01	 1.787E+01	 3.598E+01	 4.593E-02	-2.420E-02	-1.277E-01	 7.653E-02	-2.580E+01	 5.090E-01	-8.897E+00	 7.470E+00	-7.474E-01	 6.159E+02	 1.198E+03	 1.099E+01	 8.104E-01	 1.457E+00	 1.099E+01	 8.104E-01	 1.457E+00	-1.051E+00	-7.748E+01	-1.506E-01
   10.5400	 1.039E+01	-6.000E+00	 0.000E+00	 1.909E+02	-3.528E-01	-4.682E+00	 1.207E+01	 1.452E-01	-2.564E-02	 3.326E+01	 2.080E+01	 3.502E+01	 4.603E-02	-2.446E-02	-1.341E-01	 1.150E-01	-2.579E+01	 2.738E-01	-1.406E+01	 8.057E+00	-1.508E+00	 6.259E+02	 1.203E+03	 1.102E+01	 7.985E-01	 1.359E+00	 1.102E+01	 7.985E-01	 1.359E+00	-1.118E+00	-7.747E+01	-1.415E-01
   10.5600	 1.039E+01	-6.000E+00	 0.000E+00	 1.974E+02	-4.408E-01	-4.009E+00	 4.243E+01	 1.410E-01	-2.617E-02	 3.397E+01	 2.227E+01	 3.428E+01	 4.608E-02	-2.468E-02	-5.608E-02	 1.022E-01	-2.579E+01	-1.070E-02	-1.330E+01	 8.078E+00	-2.010E+00	 6.356E+02	 1.207E+03	 1.106E+01	 7.760E-01	 1.244E+00	 1.106E+01	 7.760E-01	 1.244E+00	-1.136E+00	-7.751E+01	-1.329E-01
   10.5800	 1.039E+01	-6.000E+00	 0.000E+00	 2.039E+02	-5.137E-01	-3.362E+00	 2.101E+01	 1.395E-01	-2.649E-02	 3.603E+01	 2.271E+01	 3.458E+01	 4.610E-02	-2.485E-02	 1.301E-02	 7.307E-02	-2.579E+01	-2.341E-01	-8.978E+00	 8.052E+00	-2.200E+00	 6.423E+02	 1.205E+03	 1.112E+01	 7.432E-01	 1.125E+00	 1.112E+01	 7.432E-01	 1.125E+00	-1.043E+00	-7.755E+01	-1.308E-01
   10.6000	 1.039E+01	-6.000E+00	 0.000E+00	 2.104E+02	-5.774E-01	-3.020E+00	 1.722E+01	 1.418E-01	-2.732E-02	 3.705E+01	 2.418E+01	 3.578E+01	 4.613E-02	-2.500E-02	 1.404E-02	 7.497E-02	-2.580E+01	-3.841E-01	-6.671E+00	 8.382E+00	-2.420E+00	 6.441E+02	 1.199E+03	 1.118E+01	 7.006E-01	 1.015E+00	 1.118E+01	 7.006E-01	 1.015E+00	-8.375E-01	-7.754E+01	-1.315E-01
   10.6200	 1.039E+01	-6.000E+00	 0.000E+00	 2.169E+02	-6.341E-01	-2.644E+00	 1.800E+01	 1.476E-01	-2.887E-02	 3.657E+01	 2.688E+01	 3.690E+01	 4.616E-02	-2.511E-02	-3.810E-02	 1.192E-01	-2.580E+01	-5.265E-01	-8.097E+00	 8.989E+00	-2.813E+00	 6.417E+02	 1.192E+03	 1.125E+01	 6.487E-01	 9.301E-01	 1.125E+01	 6.487E-01	 9.301E-01	-5.827E-01	-7.752E+01	-1.300E-01
   10.6400	 1.039E+01	-6.000E+00	 0.000E+00	 2.234E+02	-6.840E-01	-2.385E+00	 6.965E+00	 1.549E-01	-3.078E-02	 3.585E+01	 2.992E+01	 3.719E+01	 4.618E-02	-2.517E-02	-7.505E-02	 1.639E-01	-2.582E+01	-7.174E-01	-1.092E+01	 9.921E+00	-3.149E+00	 6.387E+02	 1.189E+03	 1.133E+01	 5.880E-01	 8.676E-01	 1.133E+01	 5.880E-01	 8.676E-01	-3.864E-01	-7.750E+01	-1.271E-01
   10.6600	 1.039E+01	-6.000E+00	 0.000E+00	 2.300E+02	-7.308E-01	-2.314E+00	 2.101E+00	 1.608E-01	-3.257E-02	 3.600E+01	 3.256E+01	 3.673E+01	 4.617E-02	-2.518E-02	-4.980E-02	 1.660E-01	-2.583E+01	-9.502E-01	-1.182E+01	 1.105E+01	-3.196E+00	 6.377E+02	 1.193E+03	 1.142E+01	 5.191E-01	 8.147E-01	 1.142E+01	 5.191E-01	 8.147E-01	-2.708E-01	-7.751E+01	-1.251E-01
   10.6800	 1.039E+01	-6.000E+00	 0.000E+00	 2.365E+02	-7.764E-01	-2.225E+00	 7.884E+00	 1.639E-01	-3.389E-02	 3.709E+01	 3.434E+01	 3.622E+01	 4.614E-02	-2.511E-02	 1.509E-02	 1.227E-01	-2.585E+01	-1.167E+00	-9.283E+00	 1.204E+01	-2.920E+00	 6.384E+02	 1.199E+03	 1.151E+01	 4.427E-01	 7.643E-01	 1.151E+01	 4.427E-01	 7.643E-01	-1.729E-01	-7.756E+01	-1.258E-01
   10.7000	 1.039E+01	-6.000E+00	 0.000E+00	 2.430E+02	-8.187E-01	-1.980E+00	 1.679E+01	 1.650E-01	-3.464E-02	 3.834E+01	 3.522E+01	 3.621E+01	 4.612E-02	-2.500E-02	 5.950E-02	 6.638E-02	-2.588E+01	-1.305E+00	-4.355E+00	 1.266E+01	-2.423E+00	 6.377E+02	 1.201E+03	 1.160E+01	 3.601E-01	 7.213E-01	 1.160E+01	 3.601E-01	 7.213E-01	-4.488E-02	-7.761E+01	-1.287E-01
   10.7200	 1.039E+01	-6.000E+00	 0.000E+00	 2.495E+02	-8.543E-01	-1.549E+00	 2.631E+01	 1.654E-01	-3.493E-02	 3.893E+01	 3.557E+01	 3.665E+01	 4.612E-02	-2.486E-02	 4.754E-02	 3.283E-02	-2.591E+01	-1.340E+00	 7.825E-01	 1.297E+01	-1.860E+00	 6.329E+02	 1.198E+03	 1.169E+01	 2.724E-01	 6.933E-01	 1.169E+01	 2.724E-01	 6.933E-01	 1.028E-01	-7.764E+01	-1.309E-01
   10.7400	 1.039E+01	-6.000E+00	 0.000E+00	 2.560E+02	-8.795E-01	-9.334E-01	 3.479E+01	 1.659E-01	-3.499E-02	 3.874E+01	 3.576E+01	 3.708E+01	 4.613E-02	-2.471E-02	-2.916E-03	 3.215E-02	-2.593E+01	-1.284E+00	 4.506E+00	 1.312E+01	-1.350E+00	 6.240E+02	 1.192E+03	 1.179E+01	 1.809E-01	 6.824E-01	 1.179E+01	 1.809E-01	 6.824E-01	 2.317E-01	-7.765E+01	-1.293E-01
   10.7600	 1.039E+01	-6.000E+00	 0.000E+00	 2.625E+02	-8.908E-01	-1.840E-01	 3.942E+01	 1.664E-01	-3.502E-02	 3.826E+01	 3.600E+01	 3.714E+01	 4.615E-02	-2.454E-02	-4.461E-02	 4.400E-02	-2.596E+01	-1.170E+00	 6.668E+00	 1.324E+01	-9.077E-01	 6.137E+02	 1.189E+03	 1.188E+01	 8.694E-02	 6.846E-01	 1.188E+01	 8.694E-02	 6.846E-01	 3.201E-01	-7.764E+01	-1.226E-01
   10.7800	 1.039E+01	-6.000E+00	 0.000E+00	 2.690E+02	-8.865E-01	 6.197E-01	 4.052E+01	 1.665E-01	-3.510E-02	 3.801E+01	 3.624E+01	 3.689E+01	 4.615E-02	-2.436E-02	-4.752E-02	 4.072E-02	-2.598E+01	-1.021E+00	 8.199E+00	 1.335E+01	-4.807E-01	 6.052E+02	 1.190E+03	 1.197E+01	-8.431E-03	 6.940E-01	 1.197E+01	-8.431E-03	 6.940E-01	 3.834E-01	-7.764E+01	-1.118E-01
   10.8000	 1.039E+01	-6.000E+00	 0.000E+00	 2.756E+02	-8.660E-01	 1.424E+00	 3.964E+01	 1.660E-01	-3.515E-02	 3.800E+01	 3.626E+01	 3.661E+01	 4.613E-02	-2.416E-02	-2.152E-02	 1.246E-02	-2.600E+01	-8.411E-01	 9.867E+00	 1.335E+01	-4.153E-02	 6.001E+02	 1.195E+03	 1.205E+01	-1.041E-01	 7.091E-01	 1.205E+01	-1.041E-01	 7.091E-01	 4.569E-01	-7.765E+01	-9.934E-02
   10.8200	 1.039E+01	-6.000E+00	 0.000E+00	 2.821E+02	-8.297E-01	 2.195E+00	 3.716E+01	 1.648E-01	-3.496E-02	 3.794E+01	 3.580E+01	 3.652E+01	 4.610E-02	-2.395E-02	-1.471E-04	-2.796E-02	-2.601E+01	-6.266E-01	 1.153E+01	 1.314E+01	 3.851E-01	 5.972E+02	 1.200E+03	 1.213E+01	-1.989E-01	 7.333E-01	 1.213E+01	-1.989E-01	 7.333E-01	 5.619E-01	-7.766E+01	-8.764E-02
   10.8400	 1.039E+01	-6.000E+00	 0.000E+00	 2.886E+02	-7.786E-01	 2.900E+00	 3.319E+01	 1.633E-01	-3.435E-02	 3.758E+01	 3.469E+01	 3.657E+01	 4.607E-02	-2.376E-02	-6.887E-03	-5.985E-02	-2.602E+01	-3.852E-01	 1.242E+01	 1.272E+01	 7.533E-01	 5.943E+02	 1.201E+03	 1.221E+01	-2.920E-01	 7.714E-01	 1.221E+01	-2.920E-01	 7.714E-01	 6.910E-01	-7.767E+01	-7.822E-02
   10.8600	 1.039E+01	-6.000E+00	 0.000E+00	 2.951E+02	-7.143E-01	 3.514E+00	 2.764E+01	 1.613E-01	-3.336E-02	 3.694E+01	 3.307E+01	 3.656E+01	 4.604E-02	-2.359E-02	-3.828E-02	-7.182E-02	-2.603E+01	-1.386E-01	 1.201E+01	 1.215E+01	 1.039E+00	 5.898E+02	 1.198E+03	 1.228E+01	-3.824E-01	 8.254E-01	 1.228E+01	-3.824E-01	 8.254E-01	 8.201E-01	-7.767E+01	-7.161E-02
   10.8800	 1.039E+01	-6.000E+00	 0.000E+00	 3.016E+02	-6.388E-01	 4.019E+00	 2.281E+01	 1.587E-01	-3.217E-02	 3.629E+01	 3.128E+01	 3.643E+01	 4.599E-02	-2.345E-02	-7.019E-02	-6.902E-02	-2.603E+01	 8.843E-02	 1.057E+01	 1.156E+01	 1.257E+00	 5.843E+02	 1.195E+03	 1.234E+01	-4.689E-01	 8.937E-01	 1.234E+01	-4.689E-01	 8.937E-01	 9.303E-01	-7.765E+01	-6.758E-02
   10.9000	 1.039E+01	-6.000E+00	 0.000E+00	 3.081E+02	-5.542E-01	 4.426E+00	 1.794E+01	 1.555E-01	-3.102E-02	 3.586E+01	 2.961E+01	 3.625E+01	 4.591E-02	-2.333E-02	-8.312E-02	-6.387E-02	-2.602E+01	 2.817E-01	 8.770E+00	 1.100E+01	 1.428E+00	 5.791E+02	 1.192E+03	 1.239E+01	-5.506E-01	 9.740E-01	 1.239E+01	-5.506E-01	 9.740E-01	 1.016E+00	-7.763E+01	-6.569E-02
   10.9200	 1.039E+01	-6.000E+00	 0.000E+00	 3.146E+02	-4.624E-01	 4.735E+00	 1.277E+01	 1.522E-01	-3.006E-02	 3.565E+01	 2.814E+01	 3.614E+01	 4.580E-02	-2.324E-02	-7.609E-02	-6.493E-02	-2.602E+01	 4.413E-01	 7.263E+00	 1.048E+01	 1.561E+00	 5.760E+02	 1.190E+03	 1.244E+01	-6.263E-01	 1.064E+00	 1.244E+01	-6.263E-01	 1.064E+00	 1.080E+00	-7.760E+01	-6.574E-02
   10.9400	 1.039E+01	-6.000E+00	 0.000E+00	 3.212E+02	-3.655E-01	 4.943E+00	 7.961E+00	 1.494E-01	-2.922E-02	 3.555E+01	 2.669E+01	 3.618E+01	 4.567E-02	-2.318E-02	-6.082E-02	-7.185E-02	-2.601E+01	 5.743E-01	 6.053E+00	 9.955E+00	 1.621E+00	 5.752E+02	 1.188E+03	 1.247E+01	-6.949E-01	 1.163E+00	 1.247E+01	-6.949E-01	 1.163E+00	 1.125E+00	-7.758E+01	-6.796E-02
   10.9600	 1.039E+01	-6.000E+00	 0.000E+00	 3.277E+02	-2.654E-01	 5.048E+00	 2.407E+00	 1.479E-01	-2.838E-02	 3.547E+01	 2.505E+01	 3.630E+01	 4.550E-02	-2.315E-02	-4.937E-02	-7.814E-02	-2.599E+01	 6.821E-01	 4.646E+00	 9.396E+00	 1.564E+00	 5.763E+02	 1.185E+03	 1.250E+01	-7.553E-01	 1.270E+00	 1.250E+01	-7.553E-01	 1.270E+00	 1.149E+00	-7.757E+01	-7.267E-02
