
Predictions were generated on 05-Nov-2019 at 13:41:26 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #05: AWT-27CR2 with many DOFs with startup and shutdown and FF turbulence.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	TipDxb1   	TipDyb1   	TipRDxb1  	TipRDyb1  	Spn3ALxb1 	Spn3ALyb1 	RotSpeed  	LSSGagV   	HSShftV   	RootFxb2  	RootFyb2  	Spn2MLxb1 	Spn2MLyb1 	LSShftTq  	HSShftTq  	LSShftPwr 	HSShftPwr 	YawBrFxn  	YawBrFyn  	YawBrFzn  	GenTq     	GenPwr    
    5.3600	 1.200E+01	-0.000E+00	 0.000E+00	 6.006E-02	-7.903E-03	 5.476E-02	 5.176E-01	-5.922E-02	 6.113E-03	 1.828E-01	 1.828E-01	 4.113E+00	 3.011E+00	 1.579E-01	-3.995E-01	 5.868E+00	 9.632E-03	 4.281E-04	 1.844E-04	 1.844E-04	 2.203E+00	 7.649E-02	-7.182E+01	 0.000E+00	 0.000E+00
    5.4000	 1.200E+01	-0.000E+00	 0.000E+00	 6.059E-02	-7.975E-03	 5.528E-02	 5.230E-01	-9.217E-02	 5.250E-03	 1.829E-01	 1.829E-01	 4.116E+00	 3.034E+00	 1.605E-01	-3.985E-01	 5.919E+00	 1.270E-02	 5.643E-04	 2.432E-04	 2.432E-04	 2.350E+00	 7.747E-02	-7.184E+01	 0.000E+00	 0.000E+00
    5.4400	 1.200E+01	-0.000E+00	 0.000E+00	 6.111E-02	-8.044E-03	 5.579E-02	 5.282E-01	-1.221E-01	 4.559E-03	 1.831E-01	 1.831E-01	 4.120E+00	 3.055E+00	 1.631E-01	-3.974E-01	 5.967E+00	 1.537E-02	 6.833E-04	 2.948E-04	 2.948E-04	 2.480E+00	 7.842E-02	-7.185E+01	 0.000E+00	 0.000E+00
    5.4800	 1.200E+01	-0.000E+00	 0.000E+00	 6.152E-02	-8.101E-03	 5.621E-02	 5.323E-01	-1.442E-01	 4.155E-03	 1.833E-01	 1.833E-01	 4.124E+00	 3.073E+00	 1.658E-01	-3.954E-01	 6.004E+00	 1.604E-02	 7.128E-04	 3.079E-04	 3.079E-04	 2.584E+00	 7.929E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.5200	 1.200E+01	-0.000E+00	 0.000E+00	 6.178E-02	-8.139E-03	 5.648E-02	 5.346E-01	-1.556E-01	 4.113E-03	 1.835E-01	 1.835E-01	 4.129E+00	 3.087E+00	 1.688E-01	-3.922E-01	 6.027E+00	 1.383E-02	 6.145E-04	 2.657E-04	 2.657E-04	 2.654E+00	 8.008E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.5600	 1.200E+01	-0.000E+00	 0.000E+00	 6.187E-02	-8.159E-03	 5.662E-02	 5.352E-01	-1.561E-01	 4.459E-03	 1.836E-01	 1.836E-01	 4.132E+00	 3.097E+00	 1.718E-01	-3.879E-01	 6.034E+00	 8.894E-03	 3.953E-04	 1.710E-04	 1.710E-04	 2.687E+00	 8.081E-02	-7.187E+01	 0.000E+00	 0.000E+00
    5.6000	 1.200E+01	-0.000E+00	 0.000E+00	 6.184E-02	-8.164E-03	 5.664E-02	 5.346E-01	-1.480E-01	 5.174E-03	 1.837E-01	 1.837E-01	 4.134E+00	 3.103E+00	 1.750E-01	-3.825E-01	 6.031E+00	 2.280E-03	 1.013E-04	 4.385E-05	 4.385E-05	 2.681E+00	 8.150E-02	-7.187E+01	 0.000E+00	 0.000E+00
    5.6400	 1.200E+01	-0.000E+00	 0.000E+00	 6.177E-02	-8.163E-03	 5.663E-02	 5.335E-01	-1.350E-01	 6.207E-03	 1.837E-01	 1.837E-01	 4.133E+00	 3.107E+00	 1.783E-01	-3.767E-01	 6.024E+00	-4.521E-03	-2.010E-04	-8.696E-05	-8.698E-05	 2.637E+00	 8.224E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.6800	 1.200E+01	-0.000E+00	 0.000E+00	 6.170E-02	-8.164E-03	 5.663E-02	 5.327E-01	-1.206E-01	 7.496E-03	 1.836E-01	 1.836E-01	 4.131E+00	 3.111E+00	 1.815E-01	-3.708E-01	 6.019E+00	-1.012E-02	-4.499E-04	-1.946E-04	-1.946E-04	 2.560E+00	 8.309E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.7200	 1.200E+01	-0.000E+00	 0.000E+00	 6.171E-02	-8.172E-03	 5.669E-02	 5.326E-01	-1.075E-01	 8.977E-03	 1.834E-01	 1.835E-01	 4.128E+00	 3.114E+00	 1.846E-01	-3.650E-01	 6.020E+00	-1.373E-02	-6.102E-04	-2.638E-04	-2.638E-04	 2.454E+00	 8.407E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.7600	 1.200E+01	-0.000E+00	 0.000E+00	 6.178E-02	-8.189E-03	 5.682E-02	 5.335E-01	-9.622E-02	 1.060E-02	 1.833E-01	 1.833E-01	 4.123E+00	 3.118E+00	 1.876E-01	-3.596E-01	 6.028E+00	-1.538E-02	-6.838E-04	-2.952E-04	-2.953E-04	 2.325E+00	 8.521E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.8000	 1.200E+01	-0.000E+00	 0.000E+00	 6.190E-02	-8.210E-03	 5.698E-02	 5.348E-01	-8.581E-02	 1.231E-02	 1.831E-01	 1.831E-01	 4.119E+00	 3.121E+00	 1.905E-01	-3.543E-01	 6.039E+00	-1.588E-02	-7.059E-04	-3.045E-04	-3.045E-04	 2.181E+00	 8.648E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.8400	 1.200E+01	-0.000E+00	 0.000E+00	 6.202E-02	-8.231E-03	 5.715E-02	 5.362E-01	-7.433E-02	 1.407E-02	 1.829E-01	 1.829E-01	 4.114E+00	 3.125E+00	 1.935E-01	-3.489E-01	 6.049E+00	-1.644E-02	-7.306E-04	-3.148E-04	-3.148E-04	 2.029E+00	 8.783E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.8800	 1.200E+01	-0.000E+00	 0.000E+00	 6.208E-02	-8.245E-03	 5.726E-02	 5.369E-01	-6.007E-02	 1.585E-02	 1.826E-01	 1.826E-01	 4.109E+00	 3.127E+00	 1.964E-01	-3.431E-01	 6.053E+00	-1.820E-02	-8.090E-04	-3.481E-04	-3.482E-04	 1.878E+00	 8.920E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.9200	 1.200E+01	-0.000E+00	 0.000E+00	 6.206E-02	-8.250E-03	 5.730E-02	 5.368E-01	-4.243E-02	 1.758E-02	 1.824E-01	 1.824E-01	 4.104E+00	 3.128E+00	 1.995E-01	-3.369E-01	 6.050E+00	-2.185E-02	-9.711E-04	-4.173E-04	-4.173E-04	 1.734E+00	 9.056E-02	-7.186E+01	 0.000E+00	 0.000E+00
    5.9600	 1.200E+01	-0.000E+00	 0.000E+00	 6.196E-02	-8.246E-03	 5.727E-02	 5.357E-01	-2.245E-02	 1.920E-02	 1.821E-01	 1.821E-01	 4.097E+00	 3.128E+00	 2.027E-01	-3.303E-01	 6.040E+00	-2.734E-02	-1.215E-03	-5.211E-04	-5.212E-04	 1.606E+00	 9.187E-02	-7.186E+01	 0.000E+00	 0.000E+00
    6.0000	 1.200E+01	-0.000E+00	 0.000E+00	 6.182E-02	-8.237E-03	 5.720E-02	 5.342E-01	-2.648E-03	 2.064E-02	 1.817E-01	 1.817E-01	 4.088E+00	 3.128E+00	 2.059E-01	-3.236E-01	 6.027E+00	-3.395E-02	-1.509E-03	-6.459E-04	-6.460E-04	 1.501E+00	 9.314E-02	-7.185E+01	-1.104E+01	-3.045E+03
    6.0400	 1.200E+01	-0.000E+00	 0.000E+00	 6.391E-02	 2.760E-02	-2.164E-01	 6.435E-01	-1.668E+00	-3.359E+01	 1.795E+00	 2.469E+00	 5.554E+01	 4.361E+00	 1.286E+01	-3.364E+01	 4.917E+00	-1.636E+02	-7.273E+00	-3.076E+01	-4.230E+01	 2.447E+00	-5.950E+00	-7.313E+01	-1.131E+01	-3.046E+03
    6.0800	 1.200E+01	-0.000E+00	 0.000E+00	 5.823E-02	 3.739E-02	-2.842E-01	 7.828E-01	 6.267E+00	-3.527E+01	 3.369E+00	 3.397E+00	 7.644E+01	 3.262E+00	 1.347E+01	-3.554E+01	 3.134E+00	-1.740E+02	-7.734E+00	-6.139E+01	-6.191E+01	 1.890E+00	-1.539E-01	-7.210E+01	-1.142E+01	-3.046E+03
    6.1200	 1.200E+01	-0.000E+00	 0.000E+00	 3.117E-02	 2.333E-02	-1.807E-01	 3.416E-01	 3.132E+00	-2.442E+01	 5.153E+00	 4.920E+00	 1.107E+02	 3.094E+00	 9.028E+00	-2.161E+01	 1.842E+00	-1.102E+02	-4.898E+00	-5.947E+01	-5.677E+01	 9.077E-01	 6.335E-02	-7.197E+01	-1.160E+01	-3.045E+03
    6.1600	 1.200E+01	-0.000E+00	 0.000E+00	 7.689E-03	 2.484E-02	-1.977E-01	-6.327E-02	-1.417E-01	-2.495E+01	 6.854E+00	 6.895E+00	 1.551E+02	 3.343E+00	 9.860E+00	-2.292E+01	 3.986E-01	-1.179E+02	-5.238E+00	-8.460E+01	-8.510E+01	 1.446E+00	-6.628E+00	-7.252E+01	-1.184E+01	-3.043E+03
    6.2000	 1.200E+01	-0.000E+00	 0.000E+00	 6.433E-03	 3.075E-02	-2.369E-01	 8.984E-02	 6.594E+00	-2.850E+01	 8.532E+00	 8.631E+00	 1.942E+02	 2.521E+00	 1.205E+01	-2.677E+01	-6.070E-01	-1.441E+02	-6.402E+00	-1.287E+02	-1.302E+02	 1.677E+00	-3.596E+00	-7.218E+01	-1.206E+01	-3.039E+03
    6.2400	 1.200E+01	-0.000E+00	 0.000E+00	 1.281E-02	 3.164E-02	-2.434E-01	 1.736E-01	 5.708E+00	-3.026E+01	 1.026E+01	 1.026E+01	 2.309E+02	 2.896E+00	 1.178E+01	-2.782E+01	 9.843E-02	-1.434E+02	-6.375E+00	-1.542E+02	-1.541E+02	 9.699E-01	 1.899E+00	-7.273E+01	-1.226E+01	-3.035E+03
    6.2800	 1.200E+01	-0.000E+00	 0.000E+00	 2.417E-02	 2.910E-02	-2.275E-01	 2.051E-01	 2.211E+00	-2.993E+01	 1.206E+01	 1.203E+01	 2.707E+02	 3.694E+00	 1.133E+01	-2.720E+01	 1.720E+00	-1.361E+02	-6.050E+00	-1.719E+02	-1.715E+02	 1.512E+00	-1.227E+00	-7.375E+01	-1.249E+01	-3.028E+03
    6.3200	 1.200E+01	-0.000E+00	 0.000E+00	 4.312E-02	 2.462E-02	-1.913E-01	 4.636E-01	 4.449E+00	-2.850E+01	 1.389E+01	 1.390E+01	 3.128E+02	 3.672E+00	 1.238E+01	-2.514E+01	 3.257E+00	-1.394E+02	-6.196E+00	-2.027E+02	-2.030E+02	 2.738E+00	-4.126E+00	-7.458E+01	-1.273E+01	-3.019E+03
    6.3600	 1.200E+01	-0.000E+00	 0.000E+00	 5.790E-02	 2.355E-02	-1.825E-01	 6.424E-01	 4.327E+00	-3.004E+01	 1.572E+01	 1.575E+01	 3.545E+02	 4.062E+00	 1.319E+01	-2.619E+01	 4.513E+00	-1.477E+02	-6.565E+00	-2.432E+02	-2.437E+02	 2.790E+00	-3.357E-01	-7.562E+01	-1.296E+01	-3.007E+03
    6.4000	 1.200E+01	-0.000E+00	 0.000E+00	 6.237E-02	 2.665E-02	-2.074E-01	 6.680E-01	 3.554E+00	-3.342E+01	 1.757E+01	 1.759E+01	 3.957E+02	 4.593E+00	 1.315E+01	-2.955E+01	 4.880E+00	-1.523E+02	-6.769E+00	-2.801E+02	-2.805E+02	 2.691E+00	 2.370E+00	-7.607E+01	-1.319E+01	-2.992E+03
    6.4400	 1.200E+01	-0.000E+00	 0.000E+00	 5.717E-02	 2.822E-02	-2.183E-01	 6.433E-01	 6.208E+00	-3.413E+01	 1.943E+01	 1.944E+01	 4.375E+02	 4.430E+00	 1.355E+01	-2.983E+01	 4.137E+00	-1.548E+02	-6.879E+00	-3.149E+02	-3.152E+02	 3.369E+00	 5.722E-01	-7.616E+01	-1.342E+01	-2.973E+03
    6.4800	 1.200E+01	-0.000E+00	 0.000E+00	 4.178E-02	 2.861E-02	-2.213E-01	 4.673E-01	 7.735E+00	-3.393E+01	 2.128E+01	 2.132E+01	 4.796E+02	 4.271E+00	 1.458E+01	-2.866E+01	 2.786E+00	-1.611E+02	-7.162E+00	-3.592E+02	-3.597E+02	 3.789E+00	 3.221E-01	-7.674E+01	-1.364E+01	-2.950E+03
    6.5200	 1.200E+01	-0.000E+00	 0.000E+00	 2.266E-02	 3.241E-02	-2.512E-01	 2.359E-01	 8.883E+00	-3.645E+01	 2.310E+01	 2.314E+01	 5.207E+02	 4.330E+00	 1.528E+01	-3.041E+01	 1.139E+00	-1.705E+02	-7.576E+00	-4.123E+02	-4.131E+02	 3.701E+00	 3.200E+00	-7.676E+01	-1.384E+01	-2.921E+03
    6.5600	 1.200E+01	-0.000E+00	 0.000E+00	 7.508E-03	 3.799E-02	-2.925E-01	 1.117E-01	 1.224E+01	-3.978E+01	 2.487E+01	 2.491E+01	 5.605E+02	 4.217E+00	 1.550E+01	-3.338E+01	-4.655E-01	-1.781E+02	-7.915E+00	-4.639E+02	-4.645E+02	 3.897E+00	 4.823E+00	-7.578E+01	-1.401E+01	-2.888E+03
    6.6000	 1.200E+01	-0.000E+00	 0.000E+00	-2.283E-03	 4.005E-02	-3.079E-01	 1.582E-02	 1.421E+01	-4.096E+01	 2.659E+01	 2.663E+01	 5.992E+02	 4.286E+00	 1.623E+01	-3.376E+01	-1.258E+00	-1.857E+02	-8.253E+00	-5.171E+02	-5.179E+02	 4.546E+00	 4.586E+00	-7.540E+01	-1.415E+01	-2.849E+03
    6.6400	 1.200E+01	-0.000E+00	 0.000E+00	-4.679E-03	 3.978E-02	-3.065E-01	-3.147E-02	 1.507E+01	-4.185E+01	 2.824E+01	 2.828E+01	 6.364E+02	 4.684E+00	 1.711E+01	-3.349E+01	-1.169E+00	-1.941E+02	-8.625E+00	-5.740E+02	-5.748E+02	 5.383E+00	 5.820E+00	-7.519E+01	-1.426E+01	-2.805E+03
    6.6800	 1.200E+01	-0.000E+00	 0.000E+00	 5.993E-04	 4.161E-02	-3.195E-01	 5.994E-02	 1.766E+01	-4.457E+01	 2.982E+01	 2.986E+01	 6.718E+02	 5.162E+00	 1.739E+01	-3.576E+01	-7.603E-01	-2.027E+02	-9.008E+00	-6.328E+02	-6.337E+02	 6.282E+00	 8.328E+00	-7.355E+01	-1.433E+01	-2.755E+03
    6.7200	 1.200E+01	-0.000E+00	 0.000E+00	 4.628E-03	 4.427E-02	-3.380E-01	 1.582E-01	 2.115E+01	-4.699E+01	 3.130E+01	 3.134E+01	 7.051E+02	 5.497E+00	 1.749E+01	-3.811E+01	-6.305E-01	-2.104E+02	-9.349E+00	-6.895E+02	-6.903E+02	 7.015E+00	 9.539E+00	-7.122E+01	-1.436E+01	-2.701E+03
    6.7600	 1.200E+01	-0.000E+00	 0.000E+00	-3.402E-03	 4.598E-02	-3.504E-01	 8.823E-02	 2.432E+01	-4.771E+01	 3.271E+01	 3.274E+01	 7.365E+02	 5.554E+00	 1.765E+01	-3.848E+01	-1.436E+00	-2.155E+02	-9.576E+00	-7.381E+02	-7.386E+02	 7.668E+00	 9.744E+00	-6.920E+01	-1.435E+01	-2.641E+03
    6.8000	 1.200E+01	-0.000E+00	 0.000E+00	-2.571E-02	 4.909E-02	-3.739E-01	-1.489E-01	 2.805E+01	-4.834E+01	 3.406E+01	 3.407E+01	 7.666E+02	 5.250E+00	 1.754E+01	-3.886E+01	-3.533E+00	-2.186E+02	-9.718E+00	-7.798E+02	-7.801E+02	 8.308E+00	 1.038E+01	-6.698E+01	-1.428E+01	-2.576E+03
    6.8400	 1.200E+01	-0.000E+00	 0.000E+00	-5.626E-02	 5.393E-02	-4.103E-01	-4.706E-01	 3.227E+01	-4.921E+01	 3.535E+01	 3.535E+01	 7.955E+02	 4.752E+00	 1.707E+01	-3.970E+01	-6.378E+00	-2.201E+02	-9.783E+00	-8.148E+02	-8.149E+02	 8.608E+00	 1.086E+01	-6.455E+01	-1.417E+01	-2.505E+03
    6.8800	 1.200E+01	-0.000E+00	 0.000E+00	-8.469E-02	 5.705E-02	-4.339E-01	-7.820E-01	 3.598E+01	-4.878E+01	 3.661E+01	 3.660E+01	 8.235E+02	 4.296E+00	 1.649E+01	-3.913E+01	-8.774E+00	-2.178E+02	-9.682E+00	-8.352E+02	-8.349E+02	 8.715E+00	 1.021E+01	-6.291E+01	-1.401E+01	-2.427E+03
    6.9200	 1.200E+01	-0.000E+00	 0.000E+00	-1.022E-01	 5.710E-02	-4.337E-01	-9.649E-01	 3.973E+01	-4.680E+01	 3.787E+01	 3.784E+01	 8.515E+02	 3.913E+00	 1.584E+01	-3.714E+01	-1.013E+01	-2.114E+02	-9.398E+00	-8.387E+02	-8.380E+02	 9.206E+00	 9.080E+00	-6.237E+01	-1.378E+01	-2.340E+03
    6.9600	 1.200E+01	-0.000E+00	 0.000E+00	-1.060E-01	 5.567E-02	-4.223E-01	-1.000E+00	 4.237E+01	-4.465E+01	 3.916E+01	 3.911E+01	 8.801E+02	 3.823E+00	 1.486E+01	-3.559E+01	-1.018E+01	-2.021E+02	-8.982E+00	-8.287E+02	-8.278E+02	 1.011E+01	 8.079E+00	-6.229E+01	-1.347E+01	-2.239E+03
    7.0000	 1.200E+01	-0.000E+00	 0.000E+00	-9.872E-02	 5.301E-02	-4.016E-01	-9.115E-01	 4.448E+01	-4.278E+01	 4.048E+01	 4.042E+01	 9.095E+02	 3.775E+00	 1.356E+01	-3.387E+01	-9.363E+00	-1.895E+02	-8.423E+00	-8.034E+02	-8.022E+02	 1.093E+01	 6.631E+00	-6.290E+01	-1.306E+01	-2.122E+03
    7.0400	 1.200E+01	-0.000E+00	 0.000E+00	-8.676E-02	 4.739E-02	-3.592E-01	-8.045E-01	 4.468E+01	-4.011E+01	 4.186E+01	 4.178E+01	 9.399E+02	 3.633E+00	 1.228E+01	-2.995E+01	-7.950E+00	-1.726E+02	-7.670E+00	-7.565E+02	-7.550E+02	 1.183E+01	 4.677E+00	-6.477E+01	-1.251E+01	-1.986E+03
    7.0800	 1.200E+01	-0.000E+00	 0.000E+00	-7.021E-02	 4.050E-02	-3.086E-01	-6.854E-01	 4.377E+01	-3.592E+01	 4.329E+01	 4.319E+01	 9.718E+02	 3.658E+00	 1.068E+01	-2.620E+01	-5.952E+00	-1.522E+02	-6.765E+00	-6.899E+02	-6.884E+02	 1.333E+01	 2.817E+00	-6.730E+01	-1.179E+01	-1.824E+03
    7.1200	 1.200E+01	-0.000E+00	 0.000E+00	-4.565E-02	 3.590E-02	-2.743E-01	-4.366E-01	 4.405E+01	-3.309E+01	 4.472E+01	 4.463E+01	 1.004E+03	 3.806E+00	 8.537E+00	-2.522E+01	-3.477E+00	-1.332E+02	-5.918E+00	-6.236E+02	-6.223E+02	 1.488E+01	 7.493E-01	-7.011E+01	-1.087E+01	-1.639E+03
    7.1600	 1.200E+01	-0.000E+00	 0.000E+00	-1.795E-02	 3.105E-02	-2.373E-01	-1.365E-01	 4.515E+01	-2.798E+01	 4.611E+01	 4.602E+01	 1.035E+03	 3.826E+00	 6.400E+00	-2.419E+01	-8.628E-01	-1.138E+02	-5.057E+00	-5.494E+02	-5.483E+02	 1.603E+01	-1.222E+00	-7.339E+01	-9.788E+00	-1.438E+03
    7.2000	 1.200E+01	-0.000E+00	 0.000E+00	 1.029E-02	 2.716E-02	-2.100E-01	 1.141E-01	 4.402E+01	-2.421E+01	 4.739E+01	 4.731E+01	 1.064E+03	 4.284E+00	 4.128E+00	-2.446E+01	 2.100E+00	-9.731E+01	-4.325E+00	-4.829E+02	-4.821E+02	 1.763E+01	-3.013E+00	-7.652E+01	-8.584E+00	-1.231E+03
    7.2400	 1.200E+01	-0.000E+00	 0.000E+00	 3.699E-02	 2.041E-02	-1.595E-01	 3.721E-01	 4.452E+01	-2.167E+01	 4.856E+01	 4.847E+01	 1.091E+03	 4.208E+00	 2.313E+00	-2.070E+01	 4.834E+00	-7.787E+01	-3.461E+00	-3.960E+02	-3.952E+02	 1.937E+01	-3.539E+00	-7.895E+01	-7.327E+00	-1.028E+03
    7.2800	 1.200E+01	-0.000E+00	 0.000E+00	 5.934E-02	 9.913E-03	-8.280E-02	 5.124E-01	 4.255E+01	-1.614E+01	 4.962E+01	 4.953E+01	 1.114E+03	 3.843E+00	 1.139E+00	-1.437E+01	 7.574E+00	-5.684E+01	-2.526E+00	-2.954E+02	-2.948E+02	 2.094E+01	-2.980E+00	-7.888E+01	-6.021E+00	-8.276E+02
    7.3200	 1.200E+01	-0.000E+00	 0.000E+00	 8.697E-02	 4.249E-03	-4.550E-02	 6.577E-01	 3.656E+01	-1.340E+01	 5.052E+01	 5.045E+01	 1.135E+03	 4.103E+00	-6.963E-01	-1.410E+01	 1.086E+01	-4.150E+01	-1.844E+00	-2.196E+02	-2.192E+02	 2.287E+01	-3.167E+00	-7.818E+01	-4.755E+00	-6.427E+02
    7.3600	 1.200E+01	-0.000E+00	 0.000E+00	 1.275E-01	 1.649E-03	-2.919E-02	 1.020E+00	 3.223E+01	-1.287E+01	 5.125E+01	 5.119E+01	 1.152E+03	 4.542E+00	-2.693E+00	-1.668E+01	 1.479E+01	-3.016E+01	-1.340E+00	-1.619E+02	-1.617E+02	 2.565E+01	-3.717E+00	-7.793E+01	-3.643E+00	-4.862E+02
    7.4000	 1.200E+01	-0.000E+00	 0.000E+00	 1.713E-01	-5.560E-03	 2.392E-02	 1.450E+00	 2.735E+01	-9.300E+00	 5.182E+01	 5.178E+01	 1.165E+03	 4.838E+00	-3.288E+00	-1.490E+01	 1.885E+01	-2.057E+01	-9.140E-01	-1.116E+02	-1.115E+02	 2.852E+01	-3.125E+00	-7.536E+01	-2.711E+00	-3.591E+02
    7.4400	 1.200E+01	-0.000E+00	 0.000E+00	 2.021E-01	-1.343E-02	 8.402E-02	 1.780E+00	 2.334E+01	-4.870E+00	 5.226E+01	 5.223E+01	 1.175E+03	 4.600E+00	-3.064E+00	-1.148E+01	 2.146E+01	-1.395E+01	-6.200E-01	-7.635E+01	-7.630E+01	 2.971E+01	-2.029E+00	-7.113E+01	-1.962E+00	-2.592E+02
    7.4800	 1.200E+01	-0.000E+00	 0.000E+00	 2.037E-01	-1.471E-02	 9.587E-02	 1.850E+00	 2.209E+01	-2.895E+00	 5.257E+01	 5.255E+01	 1.182E+03	 3.650E+00	-3.114E+00	-1.058E+01	 2.088E+01	-1.050E+01	-4.665E-01	-5.779E+01	-5.777E+01	 2.966E+01	-1.921E+00	-6.824E+01	-1.403E+00	-1.859E+02
