------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
 1.783740000000000e+01  7.198908036155398e-02  0.000000000000000e+00  6.530765158224484e-01  7.703201040301229e+00  4.249728815921601e+00        9    0.0    0.0    0.0    0.0    0.0    0.0
 2.008440000000000e+01  1.005589960905779e-01  0.000000000000000e+00  7.932376670084436e-01  6.135667253921880e+00  4.136555685850785e+00       10    0.0    0.0    0.0    0.0    0.0    0.0
 2.223480000000000e+01  1.328674193201557e-01  0.000000000000000e+00  9.182167878032688e-01  4.777044546806994e+00  3.983835908858277e+00       11    0.0    0.0    0.0    0.0    0.0    0.0
 2.438520000000000e+01  1.694802631913820e-01  0.000000000000000e+00  1.025658969223758e+00  3.622919568747473e+00  3.808318192243926e+00       12    0.0    0.0    0.0    0.0    0.0    0.0
 2.653560000000000e+01  2.098524702869033e-01  0.000000000000000e+00  1.132375449206753e+00  2.738402203156721e+00  3.630336527349230e+00       13    0.0    0.0    0.0    0.0    0.0    0.0
 2.868600000000000e+01  2.544743645409036e-01  0.000000000000000e+00  1.299435749510654e+00  2.143843468172232e+00  3.455225765819628e+00       14    0.0    0.0    0.0    0.0    0.0    0.0
 3.083640000000000e+01  3.073838110111619e-01  0.000000000000000e+00  1.519592128598148e+00  1.669651810836452e+00  3.238739354768384e+00       15    0.0    0.0    0.0    0.0    0.0    0.0
 3.298680000000000e+01  3.685263195682411e-01  0.000000000000000e+00  1.721549451030393e+00  1.274205796466499e+00  2.998336719256023e+00       16    0.0    0.0    0.0    0.0    0.0    0.0
 3.493350000000000e+01  4.304696484445531e-01  0.000000000000000e+00  1.908813727755488e+00  9.671573932359061e-01  2.781463948887949e+00       17    0.0    0.0    0.0    0.0    0.0    0.0
 3.688020000000000e+01  4.982112764513240e-01  0.000000000000000e+00  2.072935244392907e+00  6.929128310038408e-01  2.584967875654404e+00       18    0.0    0.0    0.0    0.0    0.0    0.0
 3.882690000000000e+01  5.713003613990025e-01  0.000000000000000e+00  2.245996115743351e+00  4.363959880214202e-01  2.427842982009474e+00       19    0.0    0.0    0.0    0.0    0.0    0.0
 4.077360000000000e+01  6.507935779723768e-01  0.000000000000000e+00  2.486179248553677e+00  2.017885252761641e-01  2.319069792161036e+00       20    0.0    0.0    0.0    0.0    0.0    0.0
 4.272030000000000e+01  7.401898164312699e-01  0.000000000000000e+00  2.782199704934067e+00  1.439716270075658e-02  2.237660324355659e+00       21    0.0    0.0    0.0    0.0    0.0    0.0
 4.464022500000000e+01  8.384774852358398e-01  0.000000000000000e+00  3.088772509464237e+00 -1.467222869441089e-01  2.171249148459557e+00       22    0.0    0.0    0.0    0.0    0.0    0.0
 4.656015000000000e+01  9.470929993182065e-01  0.000000000000000e+00  3.401598695013333e+00 -3.085689941679083e-01  2.106524110292263e+00       23    0.0    0.0    0.0    0.0    0.0    0.0
 4.848007500000000e+01  1.066312016518386e+00  0.000000000000000e+00  3.722770171251215e+00 -4.952884210022683e-01  2.031444840509289e+00       24    0.0    0.0    0.0    0.0    0.0    0.0
 5.040000000000001e+01  1.196410194676395e+00  0.000000000000000e+00  4.104791787659194e+00 -7.310260294788140e-01  1.933970969766147e+00       25    0.0    0.0    0.0    0.0    0.0    0.0
 5.243070000000000e+01  1.349101161513865e+00  0.000000000000000e+00  4.668550841941363e+00 -1.070722408346974e+00  1.788606590292074e+00       26    0.0    0.0    0.0    0.0    0.0    0.0
 5.446140000000000e+01  1.526973432421139e+00  0.000000000000000e+00  5.358027226889858e+00 -1.547050621380030e+00  1.579801876492360e+00       27    0.0    0.0    0.0    0.0    0.0    0.0
 5.649210000000000e+01  1.728350535396258e+00  0.000000000000000e+00  6.080694773634835e+00 -2.144520896254370e+00  1.314982879985992e+00       28    0.0    0.0    0.0    0.0    0.0    0.0
 5.922000000000000e+01  2.031047330374948e+00  0.000000000000000e+00  6.809649222360962e+00 -3.102598722758067e+00  8.877523627099576e-01       29    0.0    0.0    0.0    0.0    0.0    0.0
 6.300000000000000e+01  2.499999999999999e+00  0.000000000000000e+00  7.126564880363077e+00 -4.640958140559668e+00  2.000000000000002e-01       30    0.0    0.0    0.0    0.0    0.0    0.0
