
Predictions were generated on 05-Feb-2026 at 17:40:39 using FAST.Farm, compiled on Feb  5 2026 at 14:22:10 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
   30.0000	 7.090E+00	 7.820E+00	 7.667E+00	 1.386E+00	-3.264E+00	 8.124E-01	 8.124E-01	 8.124E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.549E-04	-9.092E-02	 4.368E+02	-8.442E+00	 9.351E+01	-3.625E+00	-3.625E+00	-3.625E+00	-3.257E+00	-2.442E-01	-7.322E-04	-1.006E-18	 0.000E+00	-3.058E-06	-1.204E-04	-5.754E-02	-1.535E-01	-1.070E-01	-5.753E-02	-1.503E+00	-2.401E+00	-3.570E+00	-4.491E+00	-3.875E-01	-6.009E-04	-9.382E-17	 0.000E+00	 5.214E-02	 2.607E-02	-8.828E-02	-3.373E-01	-2.588E-01	-1.393E-01
   33.0000	 7.021E+00	 7.554E+00	 7.218E+00	 8.829E+00	 3.410E-01	 7.951E-01	 7.951E-01	 7.951E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.989E-04	-9.099E-02	 4.368E+02	-1.004E+01	 9.380E+01	-3.598E+00	-3.598E+00	-3.597E+00	-3.201E+00	-2.208E-01	-6.901E-04	-1.316E-18	 0.000E+00	-3.554E-06	-1.361E-04	-6.220E-02	-1.491E-01	-1.043E-01	-5.612E-02	-1.501E+00	-2.507E+00	-3.957E+00	-4.759E+00	-5.847E-01	-1.159E-03	-1.149E-16	 0.000E+00	 6.304E-02	 3.739E-02	-1.178E-01	-4.212E-01	-3.304E-01	-1.779E-01
   36.0000	 6.995E+00	 7.369E+00	 7.046E+00	-9.294E-01	 2.071E-01	 8.134E-01	 8.134E-01	 8.134E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.193E-04	-9.090E-02	 4.368E+02	-1.064E+01	 9.398E+01	-3.618E+00	-3.618E+00	-3.617E+00	-3.226E+00	-2.374E-01	-7.893E-04	-1.857E-18	 0.000E+00	-4.163E-06	-1.513E-04	-6.166E-02	-1.525E-01	-1.061E-01	-5.705E-02	-1.491E+00	-2.508E+00	-4.024E+00	-4.802E+00	-6.810E-01	-1.788E-03	-1.057E-16	 0.000E+00	 6.548E-02	 4.143E-02	-1.190E-01	-4.325E-01	-3.403E-01	-1.831E-01
   39.0000	 7.006E+00	 7.401E+00	 7.291E+00	 8.006E+00	 1.433E+00	 7.889E-01	 7.889E-01	 7.889E-01	 0.000E+00	 0.000E+00	 9.958E-01	 9.914E-05	-9.104E-02	 4.369E+02	-9.875E+00	 9.409E+01	-3.604E+00	-3.604E+00	-3.603E+00	-3.222E+00	-2.318E-01	-7.785E-04	-1.917E-18	 0.000E+00	-4.041E-06	-1.459E-04	-5.960E-02	-1.496E-01	-1.042E-01	-5.605E-02	-1.479E+00	-2.425E+00	-3.763E+00	-4.605E+00	-5.919E-01	-1.638E-03	-8.397E-17	 0.000E+00	 5.923E-02	 3.468E-02	-1.040E-01	-3.782E-01	-2.928E-01	-1.576E-01
   42.0000	 6.964E+00	 7.434E+00	 7.323E+00	 1.298E+00	 2.417E+00	 8.056E-01	 8.056E-01	 8.056E-01	 0.000E+00	 0.000E+00	 9.958E-01	 5.877E-05	-9.105E-02	 4.368E+02	-8.006E+00	 9.399E+01	-3.589E+00	-3.589E+00	-3.588E+00	-3.236E+00	-2.640E-01	-8.843E-04	-1.084E-18	 0.000E+00	-3.449E-06	-1.323E-04	-5.523E-02	-1.533E-01	-1.053E-01	-5.662E-02	-1.541E+00	-2.480E+00	-3.695E+00	-4.248E+00	-4.165E-01	-9.499E-04	-9.689E-17	 0.000E+00	 5.795E-02	 2.106E-02	-7.280E-02	-2.891E-01	-2.176E-01	-1.171E-01
   45.0000	 7.090E+00	 7.487E+00	 7.838E+00	 6.585E-01	 4.531E+00	 7.980E-01	 7.980E-01	 7.980E-01	 0.000E+00	 0.000E+00	 9.959E-01	 3.753E-05	-9.053E-02	 4.368E+02	-5.851E+00	 9.337E+01	-3.560E+00	-3.560E+00	-3.559E+00	-3.233E+00	-3.155E-01	-1.372E-03	-2.802E-18	 0.000E+00	-3.823E-06	-1.390E-04	-5.321E-02	-1.616E-01	-1.094E-01	-5.879E-02	-1.572E+00	-2.423E+00	-3.394E+00	-4.070E+00	-3.537E-01	-7.013E-04	-9.648E-17	 0.000E+00	 5.170E-02	 1.372E-02	-6.583E-02	-2.777E-01	-2.087E-01	-1.123E-01
   48.0000	 7.086E+00	 7.514E+00	 7.623E+00	 4.795E+00	 4.742E+00	 7.930E-01	 7.930E-01	 7.930E-01	 0.000E+00	 0.000E+00	 9.959E-01	 2.152E-05	-9.036E-02	 4.366E+02	-2.997E+00	 9.228E+01	-3.480E+00	-3.480E+00	-3.479E+00	-3.139E+00	-3.109E-01	-1.681E-03	-7.930E-18	 0.000E+00	-5.292E-06	-1.739E-04	-5.659E-02	-1.588E-01	-1.071E-01	-5.751E-02	-1.688E+00	-2.486E+00	-3.382E+00	-3.786E+00	-3.430E-01	-8.561E-04	-7.905E-17	 0.000E+00	 5.315E-02	 8.834E-03	-6.048E-02	-2.341E-01	-1.711E-01	-9.207E-02
   51.0000	 7.037E+00	 7.470E+00	 7.415E+00	-5.182E+00	 5.813E+00	 8.129E-01	 8.129E-01	 8.129E-01	 0.000E+00	 0.000E+00	 9.959E-01	-1.871E-05	-9.021E-02	 4.366E+02	 1.458E-01	 9.158E+01	-3.469E+00	-3.469E+00	-3.468E+00	-3.120E+00	-3.224E-01	-1.830E-03	-1.374E-17	 0.000E+00	-6.898E-06	-2.108E-04	-5.802E-02	-1.637E-01	-1.101E-01	-5.912E-02	-1.750E+00	-2.545E+00	-3.523E+00	-3.851E+00	-4.387E-01	-1.440E-03	-7.546E-17	 0.000E+00	 5.687E-02	 1.540E-02	-7.364E-02	-2.723E-01	-2.025E-01	-1.089E-01
   54.0000	 7.054E+00	 7.288E+00	 7.376E+00	 1.933E+00	 3.595E+00	 8.148E-01	 8.148E-01	 8.148E-01	 0.000E+00	 0.000E+00	 9.959E-01	-1.350E-05	-9.015E-02	 4.365E+02	 2.480E+00	 9.081E+01	-3.432E+00	-3.432E+00	-3.431E+00	-3.061E+00	-3.024E-01	-1.913E-03	-2.323E-17	 0.000E+00	-7.973E-06	-2.336E-04	-6.194E-02	-1.588E-01	-1.070E-01	-5.745E-02	-1.509E+00	-2.216E+00	-3.094E+00	-3.774E+00	-3.519E-01	-1.008E-03	-7.336E-17	 0.000E+00	 4.802E-02	 1.669E-02	-6.694E-02	-2.784E-01	-2.100E-01	-1.130E-01
   57.0000	 7.210E+00	 7.181E+00	 7.221E+00	-5.877E+00	 3.488E+00	 7.976E-01	 7.976E-01	 7.976E-01	 0.000E+00	 0.000E+00	 9.959E-01	 8.279E-05	-9.100E-02	 4.365E+02	 4.201E+00	 9.042E+01	-3.446E+00	-3.446E+00	-3.445E+00	-3.074E+00	-3.142E-01	-1.935E-03	-3.086E-17	 0.000E+00	-9.148E-06	-2.558E-04	-6.196E-02	-1.635E-01	-1.101E-01	-5.913E-02	-1.612E+00	-2.372E+00	-3.377E+00	-3.696E+00	-3.297E-01	-9.454E-04	-7.096E-17	 0.000E+00	 5.436E-02	 2.024E-02	-8.024E-02	-2.416E-01	-1.779E-01	-9.573E-02
   60.0000	 7.412E+00	 7.268E+00	 6.337E+00	 9.089E-01	-2.438E+00	 7.778E-01	 7.778E-01	 7.778E-01	 0.000E+00	 0.000E+00	 9.959E-01	 5.532E-05	-9.079E-02	 4.365E+02	 5.567E+00	 9.067E+01	-3.471E+00	-3.471E+00	-3.470E+00	-3.113E+00	-3.083E-01	-1.870E-03	-3.432E-17	 0.000E+00	-8.453E-06	-2.334E-04	-5.924E-02	-1.596E-01	-1.075E-01	-5.774E-02	-1.860E+00	-2.723E+00	-3.846E+00	-3.484E+00	-2.458E-01	-6.552E-04	-6.518E-17	 0.000E+00	 6.454E-02	 1.581E-02	-1.063E-01	-2.086E-01	-1.534E-01	-8.256E-02
   63.0000	 7.479E+00	 7.294E+00	 4.457E+00	 2.846E-01	-8.151E+00	 7.837E-01	 7.837E-01	 7.837E-01	 0.000E+00	 0.000E+00	 9.959E-01	-6.710E-07	-9.065E-02	 4.365E+02	 6.332E+00	 9.061E+01	-3.462E+00	-3.462E+00	-3.461E+00	-3.108E+00	-2.880E-01	-1.507E-03	-1.220E-17	 0.000E+00	-6.092E-06	-1.906E-04	-5.778E-02	-1.536E-01	-1.037E-01	-5.572E-02	-1.693E+00	-2.516E+00	-3.538E+00	-3.704E+00	-2.868E-01	-6.730E-04	-9.052E-17	 0.000E+00	 5.556E-02	 1.662E-02	-8.603E-02	-2.348E-01	-1.739E-01	-9.359E-02
   66.0000	 7.495E+00	 7.251E+00	 4.807E+00	-3.756E+00	-5.563E-01	 7.860E-01	 7.860E-01	 7.860E-01	 0.000E+00	 0.000E+00	 9.959E-01	 3.626E-06	-9.061E-02	 4.364E+02	 6.535E+00	 8.981E+01	-3.461E+00	-3.461E+00	-3.460E+00	-3.144E+00	-3.159E-01	-1.531E-03	-7.774E-18	 0.000E+00	-4.762E-06	-1.546E-04	-5.130E-02	-1.572E-01	-1.056E-01	-5.674E-02	-1.565E+00	-2.381E+00	-3.476E+00	-3.841E+00	-3.179E-01	-7.339E-04	-7.438E-17	 0.000E+00	 5.388E-02	 2.454E-02	-9.160E-02	-2.627E-01	-1.966E-01	-1.058E-01
   69.0000	 7.510E+00	 7.150E+00	 4.479E+00	 3.400E+00	 3.764E+00	 7.867E-01	 7.867E-01	 7.867E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.497E-05	-9.039E-02	 4.364E+02	 5.915E+00	 8.942E+01	-3.479E+00	-3.479E+00	-3.479E+00	-3.202E+00	-3.314E-01	-1.453E-03	-4.899E-18	 0.000E+00	-2.815E-06	-1.005E-04	-4.516E-02	-1.581E-01	-1.065E-01	-5.724E-02	-1.535E+00	-2.331E+00	-3.392E+00	-3.806E+00	-3.161E-01	-7.217E-04	-4.873E-17	 0.000E+00	 5.353E-02	 2.221E-02	-8.723E-02	-2.706E-01	-2.037E-01	-1.096E-01
   72.0000	 7.649E+00	 7.025E+00	 4.138E+00	-6.067E+00	 6.302E+00	 7.752E-01	 7.752E-01	 7.752E-01	 0.000E+00	 0.000E+00	 9.959E-01	 2.406E-05	-9.008E-02	 4.364E+02	 4.706E+00	 8.982E+01	-3.415E+00	-3.415E+00	-3.415E+00	-3.157E+00	-2.713E-01	-8.486E-04	-9.927E-19	 0.000E+00	-1.249E-06	-5.690E-05	-4.019E-02	-1.361E-01	-9.162E-02	-4.926E-02	-1.539E+00	-2.301E+00	-3.240E+00	-3.716E+00	-3.012E-01	-7.428E-04	-5.043E-17	 0.000E+00	 5.170E-02	 1.598E-02	-7.398E-02	-2.633E-01	-1.976E-01	-1.064E-01
   75.0000	 7.783E+00	 6.986E+00	 4.559E+00	 3.081E+00	 5.984E+00	 7.811E-01	 7.811E-01	 7.811E-01	 0.000E+00	 0.000E+00	 9.959E-01	 4.256E-05	-8.995E-02	 4.364E+02	 3.695E+00	 9.020E+01	-3.487E+00	-3.487E+00	-3.487E+00	-3.164E+00	-2.284E-01	-6.828E-04	-1.215E-18	 0.000E+00	-1.935E-06	-8.285E-05	-4.962E-02	-1.352E-01	-9.258E-02	-4.979E-02	-1.524E+00	-2.277E+00	-3.178E+00	-3.709E+00	-2.958E-01	-8.295E-04	-7.949E-17	 0.000E+00	 5.013E-02	 1.601E-02	-7.579E-02	-2.631E-01	-1.973E-01	-1.062E-01
   78.0000	 8.006E+00	 6.922E+00	 4.550E+00	-6.533E+00	 9.217E+00	 7.503E-01	 7.503E-01	 7.503E-01	 0.000E+00	 0.000E+00	 9.960E-01	 5.686E-05	-8.984E-02	 4.365E+02	 3.716E+00	 9.099E+01	-3.509E+00	-3.509E+00	-3.508E+00	-3.203E+00	-2.426E-01	-7.333E-04	-1.184E-18	 0.000E+00	-1.667E-06	-7.342E-05	-4.693E-02	-1.356E-01	-9.215E-02	-4.956E-02	-1.544E+00	-2.259E+00	-3.134E+00	-3.685E+00	-2.953E-01	-6.612E-04	-1.028E-16	 0.000E+00	 4.752E-02	 1.814E-02	-7.927E-02	-2.502E-01	-1.864E-01	-1.003E-01
   81.0000	 8.181E+00	 6.949E+00	 4.811E+00	 1.135E-01	 4.817E+00	 7.248E-01	 7.248E-01	 7.248E-01	 0.000E+00	 0.000E+00	 9.960E-01	 2.985E-05	-8.987E-02	 4.367E+02	 6.433E+00	 9.342E+01	-3.533E+00	-3.533E+00	-3.533E+00	-3.235E+00	-2.478E-01	-7.387E-04	-1.093E-18	 0.000E+00	-1.593E-06	-6.986E-05	-4.551E-02	-1.389E-01	-9.471E-02	-5.094E-02	-1.362E+00	-2.053E+00	-3.036E+00	-3.995E+00	-7.756E-01	-5.180E-03	-1.061E-16	 0.000E+00	 4.757E-02	 2.848E-02	-5.559E-02	-3.107E-01	-2.392E-01	-1.284E-01
   84.0000	 8.250E+00	 6.942E+00	 5.352E+00	-2.033E+00	 9.410E+00	 7.251E-01	 7.251E-01	 7.251E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.805E-04	-9.001E-02	 4.369E+02	 1.044E+01	 9.581E+01	-3.545E+00	-3.545E+00	-3.544E+00	-3.236E+00	-2.459E-01	-8.098E-04	-2.232E-18	 0.000E+00	-1.997E-06	-8.048E-05	-4.672E-02	-1.412E-01	-9.666E-02	-5.198E-02	-1.092E+00	-1.564E+00	-1.999E+00	-2.980E+00	-1.086E+00	-3.977E-02	-2.330E-04	 0.000E+00	 2.900E-02	 8.504E-03	 4.591E-03	-1.483E-01	-8.846E-02	-4.616E-02
   87.0000	 8.213E+00	 7.057E+00	 5.527E+00	 4.881E-01	 5.685E+00	 7.431E-01	 7.431E-01	 7.431E-01	 0.000E+00	 0.000E+00	 9.960E-01	 2.043E-04	-8.910E-02	 4.370E+02	 1.202E+01	 9.700E+01	-3.572E+00	-3.572E+00	-3.572E+00	-3.265E+00	-2.288E-01	-6.794E-04	-2.553E-18	 0.000E+00	-1.976E-06	-7.743E-05	-4.518E-02	-1.386E-01	-9.552E-02	-5.138E-02	-1.022E+00	-1.415E+00	-1.896E+00	-3.096E+00	-1.132E+00	-5.413E-02	-4.391E-04	 0.000E+00	 2.409E-02	 1.968E-02	-5.851E-03	-1.608E-01	-1.013E-01	-5.295E-02
   90.0000	 8.306E+00	 6.954E+00	 5.494E+00	 3.225E+00	 2.365E+00	 7.556E-01	 7.556E-01	 7.556E-01	 0.000E+00	 0.000E+00	 9.961E-01	 2.532E-04	-8.865E-02	 4.369E+02	 1.054E+01	 9.597E+01	-3.595E+00	-3.595E+00	-3.595E+00	-3.286E+00	-1.786E-01	-4.710E-04	-1.624E-18	 0.000E+00	-1.289E-06	-5.472E-05	-4.429E-02	-1.300E-01	-9.217E-02	-4.959E-02	-1.628E+00	-1.632E+00	-1.593E+00	-1.322E+00	-7.523E-01	-4.025E-01	-7.886E-03	 0.000E+00	-3.850E-04	-3.364E-03	-1.209E-02	-2.237E-02	-1.395E-02	-5.038E-03
