
Predictions were generated on 05-Feb-2026 at 17:39:56 using FAST.Farm, compiled on Feb  5 2026 at 14:22:10 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
   27.0000	7.23289394	8.03264141	7.73046780	3.64404655	-5.46030426	0.452783018	0.777464509	0.885503769	-0.260153785E-3	-0.108559937E-5	0.995873213	0.146852690E-3	-0.907551870E-1	436.793793	-7.32913733	93.6496201	-1.58556271	-2.38586473	-3.51708698	-3.84578896	-0.320763469	-0.763072865E-3	-0.741039347E-16	0.00000000	0.565488860E-1	0.283007510E-1	-0.969688371E-1	-0.277975738	-0.209135666	-0.112549946	-1.65618896	-2.57694316	-3.81722736	-4.33673000	-0.350969434	-0.783747702E-3	-0.109391407E-15	0.00000000	0.588857867E-1	0.269536935E-1	-0.906926319E-1	-0.305914164	-0.231232777	-0.124452330
   30.0000	7.08990574	7.82021427	7.66680956	6.02522182	-3.26376295	0.482129216	0.790847123	0.898133576	-0.253050675E-3	-0.105595882E-5	0.995858312	0.154939044E-3	-0.909185708E-1	436.791992	-8.44174576	93.5082321	-1.52694166	-2.31174374	-3.46181989	-4.04199791	-0.476542294	-0.125458755E-2	-0.982738213E-16	0.00000000	0.561323687E-1	0.336859226E-1	-0.980528668E-1	-0.362472355	-0.284303069	-0.152993187	-1.50264668	-2.40079522	-3.57013798	-4.49106550	-0.387503028	-0.600914238E-3	-0.938190037E-16	0.00000000	0.521375723E-1	0.260720886E-1	-0.882820562E-1	-0.337251365	-0.258838266	-0.139330894
   33.0000	7.01952982	7.55383301	7.21829748	5.25461912	0.340976030	0.443170935	0.843689620	0.922786295	-0.269479788E-3	-0.112451596E-5	0.995851636	0.198886075E-3	-0.909916982E-1	436.826935	-10.0373449	93.7976837	-1.43185663	-2.20832062	-3.41397977	-4.36809635	-0.680562794	-0.246791774E-2	-0.879195119E-16	0.00000000	0.556492507E-1	0.414333120E-1	-0.102214411	-0.458941877	-0.371329248	-0.199782670	-1.50143802	-2.50714135	-3.95720077	-4.75948906	-0.584686577	-0.115891616E-2	-0.114923723E-15	0.00000000	0.630358011E-1	0.373857506E-1	-0.117796063	-0.421156824	-0.330445856	-0.177853733
   36.0000	6.99201679	7.36943722	7.04618597	4.68401289	0.207127333	0.468569845	0.782170534	0.952926993	-0.268287142E-3	-0.111953921E-5	0.995859981	0.119320532E-3	-0.909004435E-1	436.834869	-10.6405029	93.9824066	-1.40371859	-2.19647288	-3.45925736	-4.42977905	-0.752558172	-0.334970816E-2	-0.958088231E-16	0.00000000	0.589412116E-1	0.432832502E-1	-0.102973588	-0.478097588	-0.391484976	-0.210586533	-1.49101949	-2.50771689	-4.02376175	-4.80210400	-0.681025267	-0.178807520E-2	-0.105668280E-15	0.00000000	0.654774532E-1	0.414262041E-1	-0.119007900	-0.432507932	-0.340294659	-0.183117479
   39.0000	7.00619984	7.40070772	7.29125977	3.20669818	1.43299019	0.467472255	0.768951654	0.925834000	-0.260631845E-3	-0.108759423E-5	0.995846987	0.991377019E-4	-0.910428017E-1	436.855957	-9.87450409	94.0945663	-1.57044446	-2.34647799	-3.41617727	-4.03222466	-0.577019572	-0.233679637E-2	-0.643177594E-16	0.00000000	0.580800623E-1	0.235832613E-1	-0.627236143E-1	-0.335965693	-0.256421953	-0.137888521	-1.47937965	-2.42491364	-3.76313710	-4.60544348	-0.591914952	-0.163795205E-2	-0.839723847E-16	0.00000000	0.592321903E-1	0.346767716E-1	-0.104017556	-0.378216177	-0.292828172	-0.157564849
   42.0000	6.96146441	7.43408155	7.32332182	1.70090890	2.41709232	0.462482929	0.803371072	0.970857322	-0.262823247E-3	-0.109673886E-5	0.995846093	0.587734648E-4	-0.910525024E-1	436.848114	-8.00634098	93.9947205	-1.45720303	-2.25914192	-3.50646949	-4.06919575	-0.482124180	-0.142328057E-2	-0.937638076E-16	0.00000000	0.599163361E-1	0.384721979E-1	-0.117107019	-0.366921455	-0.284403443	-0.153031096	-1.54115927	-2.47960162	-3.69456053	-4.24847841	-0.416466206	-0.949938549E-3	-0.968935944E-16	0.00000000	0.579477511E-1	0.210598931E-1	-0.728034005E-1	-0.289147079	-0.217646942	-0.117122740
   45.0000	7.08807850	7.48726845	7.83821583	-0.444393009	4.53050423	0.450850964	0.768204927	0.909992218	-0.263464666E-3	-0.109941539E-5	0.995893478	0.375316522E-4	-0.905328766E-1	436.756439	-5.85073376	93.3664932	-1.53103435	-2.24251127	-3.30161643	-3.80551791	-0.411394566	-0.145406788E-2	-0.933857927E-16	0.00000000	0.549907312E-1	0.311938245E-1	-0.995870084E-1	-0.306391150	-0.232186764	-0.124906301	-1.57204330	-2.42287588	-3.39403939	-4.07044601	-0.353746802	-0.701317680E-3	-0.964769998E-16	0.00000000	0.517005771E-1	0.137183880E-1	-0.658349469E-1	-0.277652770	-0.208652869	-0.112295337
   48.0000	7.08502007	7.51434946	7.62250853	0.721650183	4.74220753	0.467617512	0.710084856	0.899922788	-0.263205409E-3	-0.109833354E-5	0.995909512	0.215173532E-4	-0.903560445E-1	436.646301	-2.99654055	92.2788467	-1.64996314	-2.31766748	-3.30013514	-3.56157422	-0.376151860	-0.160602131E-2	-0.762448436E-16	0.00000000	0.574668609E-1	0.260423254E-1	-0.841221735E-1	-0.266130745	-0.197095796	-0.105990894	-1.68838120	-2.48595262	-3.38211322	-3.78583765	-0.343002945	-0.856093247E-3	-0.790491976E-16	0.00000000	0.531527735E-1	0.883407518E-2	-0.604795367E-1	-0.234050572	-0.171127632	-0.920745432E-1
   51.0000	7.03244925	7.46963501	7.41475010	0.202371746	5.81304073	0.520211577	0.744691074	0.924821377	-0.256066036E-3	-0.106854156E-5	0.995922446	-0.187084152E-4	-0.902133808E-1	436.573792	0.145755634	91.5829849	-1.62547028	-2.28484607	-3.30048013	-3.70017719	-0.495571584	-0.270888861E-2	-0.573572860E-16	0.00000000	0.587531514E-1	0.316401646E-1	-0.854810476E-1	-0.317524076	-0.241664410	-0.129905775	-1.75026107	-2.54497027	-3.52341437	-3.85069561	-0.438672513	-0.143971655E-2	-0.754595448E-16	0.00000000	0.568661094E-1	0.153957531E-1	-0.736388192E-1	-0.272328645	-0.202493533	-0.108921155
   54.0000	7.05720758	7.28764439	7.37597847	-1.18034017	3.59533095	0.513902366	0.743519783	0.903953791	-0.267838797E-3	-0.111766826E-5	0.995927870	-0.135007685E-4	-0.901535228E-1	436.499420	2.48040557	90.8104553	-1.56322932	-2.17276239	-3.17667484	-3.89043140	-0.594145477	-0.442170072E-2	-0.829850090E-16	0.00000000	0.550811216E-1	0.401310883E-1	-0.950811207E-1	-0.381819576	-0.298579395	-0.160447896	-1.50889337	-2.21577358	-3.09372354	-3.77369642	-0.351924062	-0.100764656E-2	-0.733594788E-16	0.00000000	0.480247550E-1	0.166877024E-1	-0.669434071E-1	-0.278385371	-0.210038781	-0.113020644
   57.0000	7.20560598	7.18139696	7.22134495	0.431744426	3.48775172	0.450316668	0.713202238	0.905479729	-0.259447814E-3	-0.108265351E-5	0.995851040	0.827914118E-4	-0.909982696E-1	436.516205	4.20132303	90.4174118	-1.63673067	-2.25066376	-3.20860577	-3.67826319	-0.477244645	-0.264905416E-2	-0.885645540E-16	0.00000000	0.563802607E-1	0.332415961E-1	-0.892125517E-1	-0.338837177	-0.262121022	-0.140930265	-1.61246026	-2.37152219	-3.37748933	-3.69602418	-0.329742849	-0.945382111E-3	-0.709622299E-16	0.00000000	0.543632694E-1	0.202399865E-1	-0.802391544E-1	-0.241566330	-0.177919850	-0.957273319E-1
   60.0000	7.41125441	7.26767206	4.94298649	1.67347884	-8.05023289	0.436585754	0.652472258	0.970679522	-0.272923673E-3	-0.113888700E-5	0.995869696	0.553196005E-4	-0.907940120E-1	436.525269	5.56719494	90.6744308	-1.64179528	-2.27839541	-3.27293015	-3.80869126	-0.537898779	-0.393041689E-2	-0.816194794E-16	0.00000000	0.576910339E-1	0.344560668E-1	-0.867026076E-1	-0.350119919	-0.271142006	-0.145703331	-1.86005437	-2.72252989	-3.84604526	-3.48440003	-0.245833024	-0.655221171E-3	-0.651755457E-16	0.00000000	0.645419657E-1	0.158115439E-1	-0.106309719	-0.208642945	-0.153419659	-0.825574324E-1
   63.0000	7.47895527	7.29366541	4.66306639	1.99626482	-7.70356989	0.434044480	0.787083805	0.932014167	-0.265110604E-3	-0.110628378E-5	0.995882809	-0.671013822E-6	-0.906498656E-1	436.509094	6.33223391	90.6095734	-1.62183571	-2.25028944	-3.15396905	-3.50761151	-0.339843422	-0.149159168E-2	-0.994930194E-16	0.00000000	0.529386662E-1	0.254203640E-1	-0.849222541E-1	-0.256175578	-0.189069480	-0.101678312	-1.69309783	-2.51613951	-3.53785014	-3.70399380	-0.286839813	-0.672958035E-3	-0.905222523E-16	0.00000000	0.555561297E-1	0.166186187E-1	-0.860309154E-1	-0.234772816	-0.173909485	-0.935893208E-1
   66.0000	7.49500608	7.25130892	5.04521370	-0.539797425	-0.306665361	0.505577028	0.690199614	0.956116080	-0.255983759E-3	-0.106819823E-5	0.995886803	0.360979129E-5	-0.906063542E-1	436.435547	6.53539181	89.8078003	-1.61190629	-2.23047042	-3.07570601	-3.51672935	-0.364924788	-0.151130185E-2	-0.909689364E-16	0.00000000	0.498598628E-1	0.224002600E-1	-0.733744428E-1	-0.255334109	-0.188581884	-0.101417482	-1.56457233	-2.38084602	-3.47629404	-3.84118509	-0.317840904	-0.734073343E-3	-0.744051343E-16	0.00000000	0.538769551E-1	0.245363321E-1	-0.915887654E-1	-0.262619317	-0.196573913	-0.105788603
   69.0000	7.51243734	7.15012693	4.78950262	0.242996335	4.36544895	0.431744963	0.745649397	0.890190899	-0.261416833E-3	-0.109087000E-5	0.995899141	0.149539746E-4	-0.904701501E-1	436.322540	5.41012144	88.6362839	-1.55994678	-2.22327399	-3.16032982	-3.61027193	-0.415057123	-0.169391476E-2	-0.624726569E-16	0.00000000	0.502100252E-1	0.274619889E-1	-0.780001283E-1	-0.259519607	-0.191985548	-0.103240713	-1.52101886	-2.33713126	-3.43229055	-3.83425713	-0.313978195	-0.760123541E-3	-0.547425913E-16	0.00000000	0.545474067E-1	0.235315785E-1	-0.914939567E-1	-0.273735821	-0.206198394	-0.110969350
   72.0000	7.64311171	7.02465010	4.44690847	-2.33926153	5.15630484	0.454934359	0.717053235	0.925116837	-0.263625901E-3	-0.110008830E-5	0.995918334	0.149903026E-4	-0.902587846E-1	436.220551	3.29129100	87.6547241	-1.43263662	-2.13594031	-3.07776403	-3.63920712	-0.328412831	-0.963780330E-3	-0.951457419E-16	0.00000000	0.475210175E-1	0.221335813E-1	-0.728232563E-1	-0.249242619	-0.185672998	-0.999023169E-1	-1.53929842	-2.32308292	-3.32942080	-3.74963379	-0.297455400	-0.748682127E-3	-0.448705149E-16	0.00000000	0.526318364E-1	0.189428739E-1	-0.802556723E-1	-0.256427526	-0.191811010	-0.103221491
   75.0000	7.78274822	6.98568106	4.81928205	-1.54819000	5.94686556	0.477489769	0.827587843	0.805238307	-0.233931321E-3	-0.976175329E-6	0.995938480	0.305052181E-4	-0.900363773E-1	436.273407	2.61338544	88.3823624	-1.33015871	-2.00257635	-2.90844727	-3.89288783	-0.434033185	-0.105809048E-2	-0.712870936E-16	0.00000000	0.438629091E-1	0.241939109E-1	-0.648005605E-1	-0.321358114	-0.247684032	-0.133289188	-1.55140138	-2.29347587	-3.22023726	-3.69981980	-0.293729246	-0.629241054E-3	-0.602601341E-16	0.00000000	0.497919656E-1	0.177230649E-1	-0.771863833E-1	-0.248874515	-0.185418412	-0.997827277E-1
   78.0000	8.00128269	6.92155457	4.83825731	-2.51054573	8.53406715	0.467550755	0.741890669	0.862500429	-0.253683567E-3	-0.105859965E-5	0.995952427	0.840042703E-4	-0.898815766E-1	436.529938	4.19915676	91.3173218	-1.34365427	-2.10295749	-3.22276378	-4.08941412	-0.559366703	-0.178190100E-2	-0.909954525E-16	0.00000000	0.521008559E-1	0.320771746E-1	-0.747194737E-1	-0.330560982	-0.251999468	-0.135558143	-1.39056265	-2.00435257	-2.83595419	-3.55236936	-0.605602324	-0.206135418E-1	-0.160042371E-3	0.00000000	0.414022170E-1	0.221494380E-1	-0.583849289E-1	-0.224876836	-0.161893636	-0.866982862E-1
   81.0000	8.18286228	6.94851732	5.19024992	-3.15658259	4.12550449	0.434267431	0.800449371	0.802575946	-0.229975514E-3	-0.959668000E-6	0.995937407	0.157609160E-3	-0.900483355E-1	436.757233	7.32919502	93.7318039	-1.44891965	-2.20834994	-3.16693640	-4.13148260	-0.623353541	-0.227181241E-2	-0.900972204E-16	0.00000000	0.494072735E-1	0.216376204E-1	-0.570324957E-1	-0.337068349	-0.258359194	-0.138954565	-1.06665659	-1.56813216	-2.25210643	-3.22704673	-1.20819438	-0.511171892E-1	-0.310843985E-3	0.00000000	0.335595906E-1	0.186668355E-1	-0.191451062E-2	-0.171858415	-0.110376038	-0.577475093E-1
   84.0000	8.24811459	6.94163704	5.46008778	-0.918839216	9.16052055	0.400261074	0.808528244	0.820083737	-0.246187759E-3	-0.102732031E-5	0.995952070	0.198106150E-3	-0.898857191E-1	436.906830	10.3777456	95.5073700	-1.51861656	-2.29476714	-3.32304001	-3.84171033	-0.340892583	-0.863738765E-3	-0.108313842E-15	0.00000000	0.547081195E-1	0.200440250E-1	-0.768437982E-1	-0.281267941	-0.212101892	-0.114143074	-1.16751111	-1.74189889	-2.25198269	-3.18427873	-1.15737867	-0.197610818E-1	0.395054016E-16	0.00000000	0.355127417E-1	0.408763858E-2	0.555341924E-2	-0.178244606	-0.115358599	-0.605505146E-1
   87.0000	8.21375370	7.05710983	5.56894827	0.547175765	5.50967026	0.410150856	0.831623435	0.908515155	-0.263520109E-3	-0.109964685E-5	0.996015787	0.212376122E-3	-0.891769379E-1	436.972198	11.9043350	96.7879486	-1.51799762	-2.31454134	-3.37687635	-3.70998764	-0.304260314	-0.827270269E-3	-0.983747043E-16	0.00000000	0.542821549E-1	0.191463623E-1	-0.687328056E-1	-0.236338139	-0.175609753	-0.944976360E-1	-1.05362034	-1.52646875	-2.06100321	-3.35662198	-1.19089448	-0.267436188E-1	-0.669107758E-4	0.00000000	0.288724881E-1	0.173998047E-1	-0.655652164E-2	-0.196161911	-0.132423982	-0.697455108E-1
   90.0000	8.30353928	6.95380974	5.40657234	1.97374058	2.41590881	0.433067441	0.764475226	0.858695209	-0.263163151E-3	-0.109815721E-5	0.996056259	0.248850061E-3	-0.887233913E-1	436.887512	10.8091717	96.2087555	-1.60009027	-2.49950743	-3.61395383	-3.75416327	-0.274934500	-0.564089394E-3	-0.930061565E-16	0.00000000	0.568261743E-1	0.149459811E-1	-0.720540658E-1	-0.214854300	-0.157639563	-0.848415196E-1	-1.49511421	-1.63535869	-1.88072574	-2.14074659	-1.03868628	-0.274548829	-0.412637228E-2	0.00000000	0.120764188E-1	0.120396353E-1	-0.992108230E-2	-0.684921369E-1	-0.351249054E-1	-0.160863288E-1
