
Predictions were generated on 18-Sep-2019 at 00:08:08 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn14; ServoDyn

Description from the FAST input file: FAST Certification Test #09: UAE Phase VI (downwind) with many DOFs with yaw ramp and a steady wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	Azimuth   	TipALxb1  	TipALyb1  	TipALxb2  	TipALyb2  	Spn2ALxb1 	Spn2ALyb1 	RotAccel  	LSSGagA   	HSShftA   	NacYaw    	RootMEdg1 	RootMFlp1 	RootMEdg2 	RootMFlp2 	Spn3MLxb1 	Spn3MLyb1 	Spn5MLxb1 	Spn5MLyb1 	YawBrFxp  	YawBrFyp  	YawBrMxn  	YawBrMyn  
    1.4880	 9.526E+00	-5.500E+00	 0.000E+00	 2.812E+02	 5.022E+00	-1.454E+00	 3.353E+00	 1.838E+00	-1.212E-01	 1.379E-01	-5.764E+00	 4.953E+00	 1.245E+02	 2.986E+01	-8.807E-01	 1.516E+00	 1.095E+00	 7.506E-01	-5.725E-01	 7.995E-01	-2.459E-01	 5.191E-01	 1.586E+00	 8.524E-01	 5.081E-01	 9.264E+00
    1.5360	 9.526E+00	-5.500E+00	 0.000E+00	 3.019E+02	-2.667E+00	 1.326E+00	-4.221E+00	 7.304E-01	-7.084E-01	-4.179E-01	-1.366E+00	 6.470E-01	 1.626E+01	 2.982E+01	-6.368E-01	 1.692E+00	 8.797E-01	 7.111E-01	-4.606E-01	 9.294E-01	-1.719E-01	 5.913E-01	 1.697E+00	 1.012E+00	 4.878E-01	 9.914E+00
    1.5840	 9.526E+00	-5.500E+00	 0.000E+00	 3.226E+02	 5.435E-01	 7.591E-01	 1.910E+00	 1.221E+00	-1.268E+00	-5.857E-01	-1.709E+01	-2.851E+00	-7.165E+01	 2.975E+01	-4.319E-01	 1.326E+00	 6.977E-01	 5.209E-01	-3.242E-01	 7.249E-01	-1.135E-01	 4.596E-01	 1.679E+00	 1.079E+00	 4.155E-01	 1.046E+01
    1.6320	 9.526E+00	-5.500E+00	 0.000E+00	 3.432E+02	-4.935E-01	 2.135E-02	 1.023E+01	 1.478E+00	-5.215E-01	 9.321E-02	-1.120E+01	-7.467E+00	-1.876E+02	 2.967E+01	-1.465E-01	 1.146E+00	 3.543E-01	 3.714E-01	-1.869E-01	 6.548E-01	-5.022E-02	 4.104E-01	 6.562E-01	 5.020E-01	 3.075E-01	 9.103E+00
    1.6800	 9.526E+00	-5.500E+00	 0.000E+00	 3.871E+00	-3.093E+00	 7.184E-01	-6.064E+00	-8.907E-01	-4.131E-01	-3.095E-01	 1.255E+01	-5.664E+00	-1.423E+02	 2.960E+01	 1.969E-01	 1.179E+00	-1.761E-01	 1.451E+00	-3.096E-02	 6.999E-01	 3.446E-02	 4.218E-01	 7.150E-01	 5.012E-01	 2.108E-01	 8.432E+00
    1.7280	 9.526E+00	-5.500E+00	 0.000E+00	 2.452E+01	 4.318E+00	-2.211E+00	 4.474E+00	-5.963E-03	 3.786E-01	 2.320E-01	-6.021E+00	-1.136E+00	-2.855E+01	 2.956E+01	 4.461E-01	 8.378E-01	-4.240E-01	 1.210E+00	 9.711E-02	 5.138E-01	 7.805E-02	 2.925E-01	-1.408E-02	 2.232E-02	 2.050E-01	 7.436E+00
    1.7760	 9.526E+00	-5.500E+00	 0.000E+00	 4.518E+01	 2.842E+00	 1.310E+00	 5.222E+00	-2.553E+00	 1.255E+00	-2.806E-02	 1.980E+01	 1.755E+00	 4.409E+01	 2.954E+01	 8.589E-01	 8.620E-01	-8.365E-01	 1.338E+00	 3.000E-01	 5.632E-01	 1.909E-01	 2.945E-01	-5.410E-01	-4.524E-01	 3.218E-01	 6.750E+00
    1.8240	 9.526E+00	-5.500E+00	 0.000E+00	 6.586E+01	-1.123E+00	-2.888E+00	-2.294E+00	 7.030E-01	 5.047E-01	 1.000E-01	 9.650E+00	 6.128E+00	 1.540E+02	 2.953E+01	 8.593E-01	 1.017E+00	-8.382E-01	 1.919E+00	 2.475E-01	 6.175E-01	 1.551E-01	 3.167E-01	-1.437E-01	-2.921E-01	 4.383E-01	 7.379E+00
    1.8720	 9.526E+00	-5.500E+00	 0.000E+00	 8.657E+01	 2.361E+00	 7.289E-01	 5.300E+00	-6.879E-01	 6.981E-01	-1.160E-01	 1.045E+00	 6.677E+00	 1.678E+02	 2.950E+01	 1.054E+00	 6.642E-01	-8.699E-01	 1.551E+00	 4.047E-01	 4.494E-01	 2.375E-01	 2.131E-01	-4.821E-01	-5.479E-01	 5.949E-01	 7.021E+00
    1.9200	 9.526E+00	-5.500E+00	 0.000E+00	 1.073E+02	-4.503E-01	 1.090E+00	 4.413E+00	 5.404E-01	 3.519E-01	 1.664E-01	 5.070E-01	 3.143E+00	 7.897E+01	 2.947E+01	 1.016E+00	 6.647E-01	-7.583E-01	 1.489E+00	 3.833E-01	 4.690E-01	 2.266E-01	 2.420E-01	 1.832E-01	-1.688E-01	 6.728E-01	 8.217E+00
    1.9680	 9.526E+00	-5.500E+00	 0.000E+00	 1.280E+02	-7.442E-01	-4.081E-01	-1.713E+00	 1.985E+00	-2.186E-01	 2.238E-01	-1.404E+01	-2.304E-01	-5.789E+00	 2.943E+01	 7.822E-01	 7.578E-01	-5.191E-01	 1.487E+00	 2.574E-01	 4.937E-01	 1.587E-01	 2.609E-01	 8.352E-01	 2.892E-01	 6.342E-01	 9.156E+00
    2.0160	 9.526E+00	-5.500E+00	 0.000E+00	 1.487E+02	 5.243E+00	 2.769E+00	 1.787E+00	-3.410E-01	-1.131E-01	 9.002E-02	-1.474E+01	-5.160E+00	-1.297E+02	 2.939E+01	 6.455E-01	 3.438E-01	-3.650E-01	 1.118E+00	 2.694E-01	 2.426E-01	 1.580E-01	 9.648E-02	 9.650E-01	 4.431E-01	 5.269E-01	 9.298E+00
    2.0640	 9.526E+00	-5.500E+00	 0.000E+00	 1.693E+02	 3.272E+00	-1.009E+00	 1.110E+00	 1.999E+00	-3.207E-01	-3.699E-01	 1.049E+00	-7.647E+00	-1.922E+02	 2.937E+01	 9.660E-02	 9.563E-01	 3.340E-02	 1.093E+00	-7.481E-02	 5.699E-01	-6.895E-03	 3.287E-01	 1.929E+00	 1.007E+00	 3.904E-01	 9.956E+00
    2.1120	 9.526E+00	-5.500E+00	 0.000E+00	 1.900E+02	-7.534E+00	-3.944E-01	-2.072E+00	-1.628E+00	-8.479E-01	-5.815E-01	-6.191E+00	-4.300E+00	-1.081E+02	 2.938E+01	-2.462E-01	 1.672E+00	 2.230E-01	 1.138E+00	-3.106E-01	 9.746E-01	-1.013E-01	 6.002E-01	 1.858E+00	 1.036E+00	 2.486E-01	 8.801E+00
    2.1600	 9.526E+00	-5.500E+00	 0.000E+00	 2.106E+02	 6.943E+00	-1.106E+00	 5.082E+00	 2.307E-01	-6.541E-01	-8.030E-01	 1.950E+01	-1.849E-01	-4.648E+00	 2.943E+01	-6.065E-01	 1.290E+00	 6.247E-01	 8.078E-01	-4.256E-01	 7.112E-01	-1.758E-01	 4.504E-01	 1.716E+00	 8.832E-01	 2.678E-01	 8.756E+00
    2.2080	 9.526E+00	-5.500E+00	 0.000E+00	 2.313E+02	-1.387E+00	-2.082E+00	 5.956E-02	-7.372E-01	-4.516E-01	-6.842E-01	 5.396E+00	 3.565E+00	 8.959E+01	 2.949E+01	-8.869E-01	 1.877E+00	 8.618E-01	 1.006E+00	-6.251E-01	 1.024E+00	-2.608E-01	 6.530E-01	 1.632E+00	 8.121E-01	 3.200E-01	 8.823E+00
    2.2560	 9.526E+00	-5.500E+00	 0.000E+00	 2.520E+02	-3.333E+00	-9.330E-02	-7.462E-01	-1.528E+00	 7.155E-02	 1.185E-01	 1.360E+01	 7.246E+00	 1.821E+02	 2.956E+01	-8.621E-01	 2.084E+00	 9.131E-01	 9.794E-01	-6.248E-01	 1.160E+00	-2.465E-01	 7.440E-01	 6.388E-01	 2.743E-01	 4.091E-01	 7.677E+00
    2.3040	 9.526E+00	-5.500E+00	 0.000E+00	 2.727E+02	 7.443E+00	-3.652E-01	 2.509E+00	 1.098E+00	 3.936E-01	 5.707E-02	 1.770E+00	 6.898E+00	 1.733E+02	 2.959E+01	-8.537E-01	 1.622E+00	 1.088E+00	 5.551E-01	-5.609E-01	 8.680E-01	-2.310E-01	 5.554E-01	 3.223E-01	 1.041E-01	 5.315E-01	 8.247E+00
    2.3520	 9.526E+00	-5.500E+00	 0.000E+00	 2.934E+02	 7.434E-01	 1.304E+00	-3.351E-01	-1.328E-01	 5.677E-01	 5.694E-01	-1.218E+01	 2.359E+00	 5.927E+01	 2.961E+01	-6.550E-01	 1.551E+00	 9.350E-01	 7.408E-01	-4.602E-01	 8.660E-01	-1.771E-01	 5.605E-01	-2.331E-01	-1.403E-01	 5.548E-01	 7.984E+00
    2.4000	 9.526E+00	-5.500E+00	 0.000E+00	 3.141E+02	 2.755E-01	 8.805E-01	-2.316E+00	 1.920E+00	 6.922E-01	 7.510E-01	-1.159E+01	-2.591E+00	-6.511E+01	 2.961E+01	-4.832E-01	 1.288E+00	 7.968E-01	 5.368E-01	-3.541E-01	 7.345E-01	-1.312E-01	 4.777E-01	-7.128E-01	-3.266E-01	 4.913E-01	 7.739E+00
    2.4480	 9.526E+00	-5.500E+00	 0.000E+00	 3.348E+02	 7.488E+00	 1.258E+00	 1.014E+01	 1.166E+00	 2.888E-01	 4.074E-01	-1.244E+01	-7.122E+00	-1.790E+02	 2.961E+01	-2.070E-01	 7.743E-01	 4.972E-01	 3.624E-01	-1.630E-01	 4.453E-01	-4.786E-02	 2.873E-01	-3.138E-01	-9.437E-02	 3.941E-01	 8.296E+00
    2.4960	 9.526E+00	-5.500E+00	 0.000E+00	 3.554E+02	-6.318E-01	 5.319E-01	-5.244E+00	-1.079E+00	 6.929E-01	 5.958E-01	-1.110E+01	-8.434E+00	-2.119E+02	 2.963E+01	 8.431E-02	 9.715E-01	-1.104E-02	 1.256E+00	-6.546E-02	 5.936E-01	 7.795E-03	 3.702E-01	-1.999E-01	-5.484E-02	 2.625E-01	 7.268E+00
    2.5440	 9.526E+00	-5.500E+00	 0.000E+00	 1.607E+01	 2.232E+00	-1.309E+00	-3.031E+00	 7.611E-01	 6.116E-01	-1.462E-01	 2.005E+01	-3.302E+00	-8.298E+01	 2.967E+01	 3.035E-01	 8.580E-01	-3.079E-01	 1.459E+00	 3.798E-02	 5.266E-01	 5.259E-02	 3.121E-01	 4.128E-01	 2.352E-01	 2.073E-01	 7.527E+00
    2.5920	 9.526E+00	-5.500E+00	 0.000E+00	 3.672E+01	 5.118E+00	-2.333E-01	 9.066E+00	-2.321E+00	-1.589E-01	 1.291E-01	-2.274E+00	 9.832E-01	 2.471E+01	 2.972E+01	 7.171E-01	 7.929E-01	-7.127E-01	 1.209E+00	 2.357E-01	 4.948E-01	 1.496E-01	 2.594E-01	 1.054E+00	 4.695E-01	 2.792E-01	 8.474E+00
    2.6400	 9.526E+00	-5.500E+00	 0.000E+00	 5.739E+01	-4.310E+00	-7.363E-01	-3.977E+00	-1.223E+00	-3.635E-02	-6.116E-01	 1.808E+01	 4.321E+00	 1.086E+02	 2.976E+01	 8.589E-01	 1.215E+00	-8.969E-01	 1.859E+00	 2.459E-01	 7.331E-01	 1.680E-01	 3.852E-01	 1.273E+00	 5.625E-01	 3.502E-01	 8.336E+00
    2.6880	 9.526E+00	-5.500E+00	 0.000E+00	 7.810E+01	-8.316E-01	-1.347E+00	 2.824E+00	 3.358E-01	-7.417E-01	-3.071E-01	 8.923E+00	 7.978E+00	 2.005E+02	 2.980E+01	 9.651E-01	 9.391E-01	-8.773E-01	 1.843E+00	 3.197E-01	 5.668E-01	 1.941E-01	 2.780E-01	 1.826E+00	 8.805E-01	 4.712E-01	 9.223E+00
    2.7360	 9.526E+00	-5.500E+00	 0.000E+00	 9.881E+01	 3.502E+00	 1.200E+00	 5.312E+00	-9.827E-01	-9.903E-01	-9.108E-02	-7.446E+00	 5.397E+00	 1.356E+02	 2.980E+01	 1.090E+00	 7.632E-01	-8.712E-01	 1.564E+00	 4.138E-01	 4.888E-01	 2.447E-01	 2.285E-01	 1.683E+00	 8.547E-01	 5.493E-01	 9.432E+00
    2.7840	 9.526E+00	-5.500E+00	 0.000E+00	 1.195E+02	-6.249E+00	 5.677E-01	-2.803E+00	 1.209E+00	-3.221E-01	 2.687E-02	-5.257E+00	 9.647E-01	 2.424E+01	 2.977E+01	 8.920E-01	 7.865E-01	-6.445E-01	 1.714E+00	 3.082E-01	 5.271E-01	 1.894E-01	 2.850E-01	 1.379E+00	 8.216E-01	 5.087E-01	 9.502E+00
    2.8320	 9.526E+00	-5.500E+00	 0.000E+00	 1.402E+02	 2.955E+00	 1.994E+00	 1.244E+00	 7.637E-01	-1.619E-01	 4.885E-01	-9.706E+00	-2.738E+00	-6.879E+01	 2.973E+01	 7.547E-01	 4.414E-01	-4.593E-01	 1.286E+00	 2.983E-01	 3.046E-01	 1.733E-01	 1.353E-01	 1.141E+00	 8.136E-01	 4.099E-01	 9.913E+00
    2.8800	 9.526E+00	-5.500E+00	 0.000E+00	 1.609E+02	 1.153E+01	 6.140E-01	 1.536E+00	 4.715E-01	 3.158E-01	 5.638E-01	-2.091E+01	-7.773E+00	-1.953E+02	 2.967E+01	 3.753E-01	 3.930E-01	-1.499E-01	 1.044E+00	 1.223E-01	 2.706E-01	 7.768E-02	 1.369E-01	 3.525E-01	 4.188E-01	 2.700E-01	 8.886E+00
    2.9280	 9.526E+00	-5.500E+00	 0.000E+00	 1.815E+02	-9.451E+00	-2.950E-02	-2.788E+00	 3.978E-01	 5.601E-01	-2.043E-01	 1.625E+01	-6.768E+00	-1.701E+02	 2.963E+01	-1.058E-01	 1.425E+00	 1.349E-01	 1.138E+00	-2.220E-01	 8.647E-01	-6.230E-02	 5.351E-01	 1.533E-01	 2.890E-01	 1.479E-01	 7.802E+00
    2.9760	 9.526E+00	-5.500E+00	 0.000E+00	 2.022E+02	 5.248E+00	-3.048E-01	 4.855E+00	-1.879E+00	 3.746E-01	 1.885E-01	-5.057E+00	-1.407E+00	-3.536E+01	 2.962E+01	-3.994E-01	 1.227E+00	 4.193E-01	 7.540E-01	-3.280E-01	 7.107E-01	-1.264E-01	 4.431E-01	-1.820E-01	 1.636E-02	 1.418E-01	 7.269E+00
    3.0240	 9.526E+00	-5.500E+00	 0.000E+00	 2.228E+02	 4.069E+00	-2.328E+00	 3.035E+00	 7.192E-01	 6.988E-01	 1.729E-01	 1.330E+01	 9.770E-01	 2.455E+01	 2.962E+01	-7.982E-01	 1.288E+00	 8.074E-01	 8.540E-01	-5.286E-01	 7.174E-01	-2.333E-01	 4.740E-01	-5.142E-01	-3.544E-01	 2.520E-01	 6.882E+00
    3.0720	 9.526E+00	-5.500E+00	 0.000E+00	 2.435E+02	-2.279E+00	 3.106E-01	-2.401E+00	-2.334E+00	 7.674E-01	 2.171E-02	 1.518E+01	 6.069E+00	 1.525E+02	 2.962E+01	-8.473E-01	 1.911E+00	 8.479E-01	 1.056E+00	-5.984E-01	 1.070E+00	-2.381E-01	 6.872E-01	-8.196E-02	-2.236E-01	 3.935E-01	 7.305E+00
    3.1200	 9.526E+00	-5.500E+00	 0.000E+00	 2.642E+02	 5.759E+00	-6.565E-01	 4.598E+00	-3.581E-03	 8.152E-01	 6.131E-01	-3.024E+00	 7.196E+00	 1.808E+02	 2.961E+01	-8.813E-01	 1.547E+00	 1.043E+00	 7.220E-01	-5.752E-01	 8.431E-01	-2.429E-01	 5.516E-01	 3.477E-02	-2.589E-01	 5.783E-01	 7.581E+00
    3.1680	 9.526E+00	-5.500E+00	 0.000E+00	 2.849E+02	 4.461E+00	 2.775E-01	-1.452E+00	 1.073E+00	 3.451E-01	 3.080E-01	-4.008E-01	 3.589E+00	 9.019E+01	 2.959E+01	-7.825E-01	 1.510E+00	 1.025E+00	 7.259E-01	-5.174E-01	 8.124E-01	-2.124E-01	 5.231E-01	 5.431E-01	 1.398E-02	 6.760E-01	 8.397E+00
    3.2160	 9.526E+00	-5.500E+00	 0.000E+00	 3.056E+02	-2.050E+00	 1.817E+00	-1.168E+00	 1.051E-01	-3.395E-01	-8.805E-02	-6.434E+00	 5.226E-01	 1.313E+01	 2.955E+01	-5.653E-01	 1.554E+00	 8.245E-01	 7.783E-01	-4.113E-01	 8.657E-01	-1.499E-01	 5.543E-01	 1.204E+00	 4.603E-01	 6.599E-01	 9.455E+00
    3.2640	 9.526E+00	-5.500E+00	 0.000E+00	 3.263E+02	 2.258E+00	-1.356E-01	 5.388E+00	 2.235E+00	-7.780E-01	 1.973E-01	-2.075E+01	-4.402E+00	-1.106E+02	 2.950E+01	-3.862E-01	 1.146E+00	 6.734E-01	 3.712E-01	-2.957E-01	 6.323E-01	-1.089E-01	 4.058E-01	 1.336E+00	 6.359E-01	 5.543E-01	 9.710E+00
    3.3120	 9.526E+00	-5.500E+00	 0.000E+00	 3.470E+02	-2.047E-01	 1.817E+00	 3.424E+00	-1.335E-01	-1.137E+00	-3.465E-01	 2.390E+00	-7.948E+00	-1.997E+02	 2.947E+01	-2.192E-02	 1.161E+00	 1.774E-01	 7.860E-01	-1.171E-01	 6.644E-01	-8.551E-03	 4.058E-01	 1.800E+00	 9.628E-01	 3.940E-01	 9.987E+00
    3.3600	 9.526E+00	-5.500E+00	 0.000E+00	 7.617E+00	-3.037E+00	-1.315E+00	-5.281E+00	-5.225E-01	-6.528E-01	-9.631E-02	-4.964E+00	-4.411E+00	-1.109E+02	 2.946E+01	 1.931E-01	 1.171E+00	-2.043E-01	 1.639E+00	-4.716E-02	 6.910E-01	 1.922E-02	 4.178E-01	 1.776E+00	 1.032E+00	 2.387E-01	 8.914E+00
    3.4080	 9.526E+00	-5.500E+00	 0.000E+00	 2.827E+01	 6.370E+00	-2.501E-01	 4.831E+00	-9.276E-01	-4.293E-02	-1.480E-01	 1.072E+01	-1.195E+00	-3.002E+01	 2.948E+01	 5.787E-01	 8.073E-01	-5.557E-01	 1.230E+00	 1.766E-01	 4.973E-01	 1.232E-01	 2.703E-01	 1.358E+00	 7.746E-01	 2.145E-01	 8.536E+00
    3.4560	 9.526E+00	-5.500E+00	 0.000E+00	 4.893E+01	 6.071E-01	-3.928E-01	 9.030E-01	-1.927E+00	 1.564E-01	-8.333E-02	 1.257E+01	 2.942E+00	 7.393E+01	 2.952E+01	 8.366E-01	 9.910E-01	-8.569E-01	 1.760E+00	 2.628E-01	 6.171E-01	 1.696E-01	 3.249E-01	 1.092E+00	 6.008E-01	 2.528E-01	 8.331E+00
    3.5040	 9.526E+00	-5.500E+00	 0.000E+00	 6.962E+01	-3.371E-01	-1.947E+00	-3.631E+00	-3.281E-01	 5.482E-01	-2.475E-01	 6.939E+00	 6.843E+00	 1.720E+02	 2.956E+01	 9.024E-01	 9.770E-01	-8.689E-01	 2.054E+00	 2.827E-01	 5.926E-01	 1.752E-01	 2.952E-01	 3.491E-01	 1.754E-01	 3.488E-01	 7.541E+00
    3.5520	 9.526E+00	-5.500E+00	 0.000E+00	 9.034E+01	 1.935E+00	 9.825E-01	 6.838E+00	-1.978E-01	 5.985E-01	 1.470E-01	 5.246E+00	 6.635E+00	 1.667E+02	 2.958E+01	 1.070E+00	 5.452E-01	-8.523E-01	 1.598E+00	 4.226E-01	 3.935E-01	 2.425E-01	 1.886E-01	-7.635E-02	-8.600E-02	 4.851E-01	 7.752E+00
    3.6000	 9.526E+00	-5.500E+00	 0.000E+00	 1.111E+02	-1.380E+00	 2.223E-01	 1.802E+00	 1.112E+00	 4.435E-01	 2.584E-01	-5.479E+00	 2.893E+00	 7.269E+01	 2.958E+01	 9.587E-01	 7.331E-01	-6.918E-01	 1.551E+00	 3.444E-01	 4.970E-01	 2.063E-01	 2.551E-01	-3.263E-01	-2.108E-01	 5.478E-01	 7.890E+00
    3.6480	 9.526E+00	-5.500E+00	 0.000E+00	 1.318E+02	-1.162E+00	 1.206E+00	-4.042E-01	 8.484E-01	 4.967E-01	 3.940E-01	-1.692E+01	-1.578E+00	-3.966E+01	 2.957E+01	 8.053E-01	 5.764E-01	-5.048E-01	 1.330E+00	 2.970E-01	 4.065E-01	 1.771E-01	 2.112E-01	-5.235E-01	-2.921E-01	 5.316E-01	 7.904E+00
    3.6960	 9.526E+00	-5.500E+00	 0.000E+00	 1.524E+02	 8.022E+00	 1.595E+00	 6.645E+00	 1.335E+00	 4.912E-01	 3.820E-01	-6.746E+00	-6.587E+00	-1.655E+02	 2.956E+01	 5.380E-01	 3.271E-01	-2.418E-01	 8.523E-01	 2.130E-01	 2.334E-01	 1.255E-01	 9.747E-02	-1.298E-01	-8.602E-02	 4.612E-01	 8.420E+00
    3.7440	 9.526E+00	-5.500E+00	 0.000E+00	 1.731E+02	-1.532E+00	-9.750E-01	-6.186E-01	 5.470E-01	-7.301E-02	-4.356E-02	-1.306E+01	-7.824E+00	-1.966E+02	 2.956E+01	 4.357E-02	 1.176E+00	 4.920E-02	 1.007E+00	-1.276E-01	 7.022E-01	-2.663E-02	 4.137E-01	 3.214E-01	 1.293E-01	 3.491E-01	 7.935E+00
    3.7920	 9.526E+00	-5.500E+00	 0.000E+00	 1.937E+02	-5.785E+00	 2.880E-01	 2.089E+00	-1.032E+00	-6.827E-02	-4.561E-01	 1.394E+01	-3.958E+00	-9.947E+01	 2.959E+01	-2.949E-01	 1.485E+00	 2.921E-01	 9.457E-01	-3.090E-01	 8.834E-01	-1.041E-01	 5.563E-01	 8.251E-01	 3.621E-01	 2.860E-01	 7.882E+00
    3.8400	 9.526E+00	-5.500E+00	 0.000E+00	 2.144E+02	 9.741E+00	-1.705E+00	 4.194E+00	-1.191E-01	-3.175E-01	-4.622E-01	 5.319E+00	 7.732E-01	 1.943E+01	 2.963E+01	-6.635E-01	 1.216E+00	 6.774E-01	 8.017E-01	-4.472E-01	 6.622E-01	-1.919E-01	 4.195E-01	 1.392E+00	 5.923E-01	 3.291E-01	 8.691E+00
