
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 22-Dec-2025 at 21:57:45.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        FAIRTEN7
    0.5500   2.7171528E+06   2.5203116E+06   2.6991811E+06   3.0387456E+06   2.7150022E+06   2.5188891E+06   2.7011653E+06   3.0620364E+06   3.0322482E+06   1.1190691E+06   1.1079843E+06
    0.6000   2.7170075E+06   2.5203027E+06   2.6973735E+06   3.0390409E+06   2.7148655E+06   2.5186578E+06   2.6993450E+06   3.0623414E+06   3.0325562E+06   1.1181863E+06   1.1070973E+06
    0.6500   2.7165856E+06   2.5202490E+06   2.6957018E+06   3.0393650E+06   2.7144540E+06   2.5184150E+06   2.6976613E+06   3.0626764E+06   3.0328941E+06   1.1172813E+06   1.1061879E+06
    0.7000   2.7158601E+06   2.5201412E+06   2.6942052E+06   3.0397170E+06   2.7137407E+06   2.5181624E+06   2.6961536E+06   3.0630469E+06   3.0332676E+06   1.1163670E+06   1.1052693E+06
    0.7500   2.7148086E+06   2.5199711E+06   2.6929197E+06   3.0400965E+06   2.7127031E+06   2.5179005E+06   2.6948582E+06   3.0634580E+06   3.0336820E+06   1.1154594E+06   1.1043573E+06
    0.8000   2.7134129E+06   2.5197321E+06   2.6918772E+06   3.0405041E+06   2.7113235E+06   2.5176284E+06   2.6938072E+06   3.0639136E+06   3.0341412E+06   1.1145718E+06   1.1034654E+06
    0.8500   2.7116597E+06   2.5194189E+06   2.6911052E+06   3.0409406E+06   2.7095887E+06   2.5173437E+06   2.6930283E+06   3.0644162E+06   3.0346479E+06   1.1137119E+06   1.1026015E+06
    0.9000   2.7095406E+06   2.5190278E+06   2.6906262E+06   3.0414073E+06   2.7074905E+06   2.5170428E+06   2.6925444E+06   3.0649673E+06   3.0352036E+06   1.1128816E+06   1.1017676E+06
    0.9500   2.7070520E+06   2.5185562E+06   2.6904576E+06   3.0419061E+06   2.7050256E+06   2.5167211E+06   2.6923732E+06   3.0655674E+06   3.0358087E+06   1.1120783E+06   1.1009608E+06
    1.0000   2.7041958E+06   2.5180024E+06   2.6906111E+06   3.0424396E+06   2.7021958E+06   2.5163735E+06   2.6925265E+06   3.0662153E+06   3.0364620E+06   1.1112972E+06   1.1001768E+06
    1.0500   2.7009792E+06   2.5173650E+06   2.6910918E+06   3.0430105E+06   2.6990087E+06   2.5159949E+06   2.6930097E+06   3.0669099E+06   3.0371620E+06   1.1105336E+06   1.0994106E+06
    1.1000   2.6974138E+06   2.5166434E+06   2.6918993E+06   3.0436220E+06   2.6954762E+06   2.5155800E+06   2.6938227E+06   3.0676503E+06   3.0379078E+06   1.1097833E+06   1.0986582E+06
    1.1500   2.6935158E+06   2.5158365E+06   2.6930271E+06   3.0442772E+06   2.6916147E+06   2.5151245E+06   2.6949593E+06   3.0684359E+06   3.0386986E+06   1.1090438E+06   1.0979168E+06
    1.2000   2.6893066E+06   2.5149434E+06   2.6944624E+06   3.0449790E+06   2.6874455E+06   2.5146245E+06   2.6964065E+06   3.0692655E+06   3.0395329E+06   1.1083135E+06   1.0971851E+06
    1.2500   2.6848119E+06   2.5139631E+06   2.6961862E+06   3.0457298E+06   2.6829948E+06   2.5140767E+06   2.6981455E+06   3.0701388E+06   3.0404102E+06   1.1075915E+06   1.0964621E+06
    1.3000   2.6800609E+06   2.5128942E+06   2.6981740E+06   3.0465314E+06   2.6782922E+06   2.5134786E+06   2.7001521E+06   3.0710563E+06   3.0413310E+06   1.1068765E+06   1.0957463E+06
    1.3500   2.6750855E+06   2.5117350E+06   2.7003966E+06   3.0473849E+06   2.6733701E+06   2.5128280E+06   2.7023971E+06   3.0720191E+06   3.0422962E+06   1.1061669E+06   1.0950362E+06
    1.4000   2.6699215E+06   2.5104845E+06   2.7028196E+06   3.0482907E+06   2.6682644E+06   2.5121230E+06   2.7048457E+06   3.0730275E+06   3.0433062E+06   1.1054613E+06   1.0943304E+06
    1.4500   2.6646072E+06   2.5091411E+06   2.7054040E+06   3.0492486E+06   2.6630141E+06   2.5113616E+06   2.7074589E+06   3.0740828E+06   3.0443621E+06   1.1047586E+06   1.0936276E+06
    1.5000   2.6591817E+06   2.5077041E+06   2.7081075E+06   3.0502581E+06   2.6576592E+06   2.5105415E+06   2.7101943E+06   3.0751869E+06   3.0454658E+06   1.1040578E+06   1.0929269E+06
    1.5500   2.6536849E+06   2.5061731E+06   2.7108853E+06   3.0513185E+06   2.6522399E+06   2.5096599E+06   2.7130068E+06   3.0763419E+06   3.0466195E+06   1.1033584E+06   1.0922278E+06
    1.6000   2.6481581E+06   2.5045481E+06   2.7136900E+06   3.0524289E+06   2.6467977E+06   2.5087132E+06   2.7158482E+06   3.0775488E+06   3.0478242E+06   1.1026615E+06   1.0915312E+06
    1.6500   2.6426425E+06   2.5028298E+06   2.7164719E+06   3.0535886E+06   2.6413747E+06   2.5076975E+06   2.7186688E+06   3.0788088E+06   3.0490811E+06   1.1019684E+06   1.0908384E+06
    1.7000   2.6371776E+06   2.5010194E+06   2.7191813E+06   3.0547970E+06   2.6360115E+06   2.5066079E+06   2.7214181E+06   3.0801235E+06   3.0503919E+06   1.1012804E+06   1.0901510E+06
    1.7500   2.6318007E+06   2.4991184E+06   2.7217683E+06   3.0560538E+06   2.6307459E+06   2.5054396E+06   2.7240461E+06   3.0814943E+06   3.0517581E+06   1.1005991E+06   1.0894702E+06
    1.8000   2.6265485E+06   2.4971286E+06   2.7241838E+06   3.0573588E+06   2.6256146E+06   2.5041875E+06   2.7265023E+06   3.0829210E+06   3.0531795E+06   1.0999260E+06   1.0887979E+06
    1.8500   2.6214552E+06   2.4950517E+06   2.7263791E+06   3.0587123E+06   2.6206525E+06   2.5028472E+06   2.7287377E+06   3.0844032E+06   3.0546558E+06   1.0992623E+06   1.0881351E+06
    1.9000   2.6165509E+06   2.4928895E+06   2.7283080E+06   3.0601145E+06   2.6158907E+06   2.5014150E+06   2.7307056E+06   3.0859413E+06   3.0561872E+06   1.0986084E+06   1.0874823E+06
    1.9500   2.6118614E+06   2.4906433E+06   2.7299276E+06   3.0615659E+06   2.6113556E+06   2.4998894E+06   2.7323621E+06   3.0875351E+06   3.0577737E+06   1.0979640E+06   1.0868394E+06
    2.0000   2.6074104E+06   2.4883139E+06   2.7311978E+06   3.0630671E+06   2.6070701E+06   2.4982707E+06   2.7336662E+06   3.0891832E+06   3.0594136E+06   1.0973291E+06   1.0862063E+06
    2.0500   2.6032173E+06   2.4859020E+06   2.7320819E+06   3.0646186E+06   2.6030543E+06   2.4965619E+06   2.7345807E+06   3.0908842E+06   3.0611057E+06   1.0967032E+06   1.0855826E+06
    2.1000   2.5992961E+06   2.4834076E+06   2.7325482E+06   3.0662208E+06   2.5993228E+06   2.4947688E+06   2.7350732E+06   3.0926376E+06   3.0628494E+06   1.0960853E+06   1.0849673E+06
    2.1500   2.5956554E+06   2.4808306E+06   2.7325704E+06   3.0678740E+06   2.5958840E+06   2.4928987E+06   2.7351169E+06   3.0944429E+06   3.0646442E+06   1.0954743E+06   1.0843593E+06
    2.2000   2.5923008E+06   2.4781709E+06   2.7321277E+06   3.0695783E+06   2.5927425E+06   2.4909605E+06   2.7346900E+06   3.0962985E+06   3.0664882E+06   1.0948694E+06   1.0837579E+06
    2.2500   2.5892330E+06   2.4754285E+06   2.7312042E+06   3.0713336E+06   2.5898991E+06   2.4889616E+06   2.7337767E+06   3.0982029E+06   3.0683802E+06   1.0942701E+06   1.0831624E+06
    2.3000   2.5864472E+06   2.4726039E+06   2.7297891E+06   3.0731394E+06   2.5873488E+06   2.4869076E+06   2.7323681E+06   3.1001561E+06   3.0703199E+06   1.0936754E+06   1.0825720E+06
    2.3500   2.5839329E+06   2.4696988E+06   2.7278789E+06   3.0749953E+06   2.5850808E+06   2.4848006E+06   2.7304634E+06   3.1021576E+06   3.0723071E+06   1.0930848E+06   1.0819861E+06
    2.4000   2.5816771E+06   2.4667155E+06   2.7254778E+06   3.0769005E+06   2.5830804E+06   2.4826411E+06   2.7280668E+06   3.1042061E+06   3.0743402E+06   1.0924983E+06   1.0814045E+06
    2.4500   2.5796628E+06   2.4636575E+06   2.7225961E+06   3.0788541E+06   2.5813301E+06   2.4804285E+06   2.7251887E+06   3.1063006E+06   3.0764184E+06   1.0919159E+06   1.0808274E+06
    2.5000   2.5778681E+06   2.4605294E+06   2.7192508E+06   3.0808551E+06   2.5798078E+06   2.4781613E+06   2.7218464E+06   3.1084409E+06   3.0785415E+06   1.0913379E+06   1.0802548E+06
    2.5500   2.5762671E+06   2.4573364E+06   2.7154655E+06   3.0829024E+06   2.5784866E+06   2.4758370E+06   2.7180631E+06   3.1106268E+06   3.0807093E+06   1.0907644E+06   1.0796871E+06
    2.6000   2.5748327E+06   2.4540842E+06   2.7112687E+06   3.0849949E+06   2.5773377E+06   2.4734529E+06   2.7138672E+06   3.1128569E+06   3.0829204E+06   1.0901962E+06   1.0791251E+06
    2.6500   2.5735359E+06   2.4507784E+06   2.7066936E+06   3.0871317E+06   2.5763314E+06   2.4710054E+06   2.7092919E+06   3.1151301E+06   3.0851738E+06   1.0896341E+06   1.0785693E+06
    2.7000   2.5723446E+06   2.4474242E+06   2.7017781E+06   3.0893116E+06   2.5754353E+06   2.4684913E+06   2.7043751E+06   3.1174456E+06   3.0874690E+06   1.0890787E+06   1.0780204E+06
    2.7500   2.5712248E+06   2.4440260E+06   2.6965642E+06   3.0915336E+06   2.5746147E+06   2.4659073E+06   2.6991588E+06   3.1198031E+06   3.0898053E+06   1.0885303E+06   1.0774790E+06
    2.8000   2.5701440E+06   2.4405876E+06   2.6910967E+06   3.0937968E+06   2.5738350E+06   2.4632504E+06   2.6936872E+06   3.1222006E+06   3.0921809E+06   1.0879897E+06   1.0769456E+06
    2.8500   2.5690695E+06   2.4371116E+06   2.6854219E+06   3.0961001E+06   2.5730634E+06   2.4605184E+06   2.6880068E+06   3.1246366E+06   3.0945945E+06   1.0874572E+06   1.0764207E+06
    2.9000   2.5679683E+06   2.4336000E+06   2.6795878E+06   3.0984428E+06   2.5722666E+06   2.4577092E+06   2.6821659E+06   3.1271102E+06   3.0970450E+06   1.0869331E+06   1.0759046E+06
    2.9500   2.5668076E+06   2.4300538E+06   2.6736436E+06   3.1008238E+06   2.5714113E+06   2.4548218E+06   2.6762136E+06   3.1296202E+06   3.0995313E+06   1.0864173E+06   1.0753972E+06
    3.0000   2.5655581E+06   2.4264730E+06   2.6676379E+06   3.1032423E+06   2.5704667E+06   2.4518556E+06   2.6701984E+06   3.1321646E+06   3.1020515E+06   1.0859099E+06   1.0748987E+06
    3.0500   2.5641926E+06   2.4228573E+06   2.6616179E+06   3.1056972E+06   2.5694054E+06   2.4488107E+06   2.6641677E+06   3.1347417E+06   3.1046039E+06   1.0854107E+06   1.0744090E+06
    3.1000   2.5626853E+06   2.4192054E+06   2.6556294E+06   3.1081875E+06   2.5682019E+06   2.4456876E+06   2.6581676E+06   3.1373503E+06   3.1071871E+06   1.0849197E+06   1.0739278E+06
    3.1500   2.5610126E+06   2.4155158E+06   2.6497162E+06   3.1107123E+06   2.5668323E+06   2.4424876E+06   2.6522423E+06   3.1399892E+06   3.1098002E+06   1.0844364E+06   1.0734549E+06
    3.2000   2.5591555E+06   2.4117862E+06   2.6439189E+06   3.1132704E+06   2.5652767E+06   2.4392124E+06   2.6464322E+06   3.1426565E+06   3.1124412E+06   1.0839607E+06   1.0729903E+06
    3.2500   2.5570988E+06   2.4080145E+06   2.6382739E+06   3.1158605E+06   2.5635198E+06   2.4358642E+06   2.6407743E+06   3.1453504E+06   3.1151084E+06   1.0834926E+06   1.0725337E+06
    3.3000   2.5548295E+06   2.4041979E+06   2.6328139E+06   3.1184816E+06   2.5615491E+06   2.4324456E+06   2.6353017E+06   3.1480698E+06   3.1178006E+06   1.0830319E+06   1.0720850E+06
    3.3500   2.5523379E+06   2.4003339E+06   2.6275675E+06   3.1211323E+06   2.5593550E+06   2.4289598E+06   2.6300431E+06   3.1508136E+06   3.1205168E+06   1.0825786E+06   1.0716442E+06
    3.4000   2.5496193E+06   2.3964197E+06   2.6225580E+06   3.1238114E+06   2.5569321E+06   2.4254102E+06   2.6250222E+06   3.1535799E+06   3.1232552E+06   1.0821327E+06   1.0712113E+06
    3.4500   2.5466732E+06   2.3924530E+06   2.6178031E+06   3.1265175E+06   2.5542798E+06   2.4218006E+06   2.6202570E+06   3.1563672E+06   3.1260144E+06   1.0816946E+06   1.0707867E+06
    3.5000   2.5435016E+06   2.3884313E+06   2.6133157E+06   3.1292492E+06   2.5514009E+06   2.4181353E+06   2.6157608E+06   3.1591744E+06   3.1287931E+06   1.0812644E+06   1.0703704E+06
    3.5500   2.5401094E+06   2.3843527E+06   2.6091035E+06   3.1320053E+06   2.5483003E+06   2.4144186E+06   2.6115414E+06   3.1620004E+06   3.1315902E+06   1.0808423E+06   1.0699626E+06
    3.6000   2.5365065E+06   2.3802156E+06   2.6051685E+06   3.1347844E+06   2.5449872E+06   2.4106551E+06   2.6076009E+06   3.1648433E+06   3.1344043E+06   1.0804288E+06   1.0695639E+06
    3.6500   2.5327061E+06   2.3760192E+06   2.6015069E+06   3.1375851E+06   2.5414748E+06   2.4068495E+06   2.6039359E+06   3.1677018E+06   3.1372337E+06   1.0800241E+06   1.0691744E+06
    3.7000   2.5287234E+06   2.3717628E+06   2.5981103E+06   3.1404061E+06   2.5377788E+06   2.4030066E+06   2.6005379E+06   3.1705745E+06   3.1400773E+06   1.0796285E+06   1.0687944E+06
    3.7500   2.5245756E+06   2.3674470E+06   2.5949654E+06   3.1432461E+06   2.5339165E+06   2.3991312E+06   2.5973938E+06   3.1734604E+06   3.1429340E+06   1.0792423E+06   1.0684242E+06
    3.8000   2.5202838E+06   2.3630727E+06   2.5920542E+06   3.1461038E+06   2.5299078E+06   2.3952280E+06   2.5944854E+06   3.1763578E+06   3.1458021E+06   1.0788657E+06   1.0680640E+06
    3.8500   2.5158712E+06   2.3586418E+06   2.5893543E+06   3.1489779E+06   2.5257759E+06   2.3913016E+06   2.5917903E+06   3.1792651E+06   3.1486803E+06   1.0784988E+06   1.0677140E+06
    3.9000   2.5113616E+06   2.3541570E+06   2.5868396E+06   3.1518671E+06   2.5215448E+06   2.3873563E+06   2.5892824E+06   3.1821811E+06   3.1515672E+06   1.0781419E+06   1.0673743E+06
    3.9500   2.5067798E+06   2.3496218E+06   2.5844813E+06   3.1547702E+06   2.5172389E+06   2.3833966E+06   2.5869327E+06   3.1851046E+06   3.1544618E+06   1.0777948E+06   1.0670449E+06
    4.0000   2.5021525E+06   2.3450406E+06   2.5822475E+06   3.1576857E+06   2.5128838E+06   2.3794263E+06   2.5847089E+06   3.1880340E+06   3.1573625E+06   1.0774576E+06   1.0667257E+06
    4.0500   2.4975075E+06   2.3404186E+06   2.5801041E+06   3.1606126E+06   2.5085067E+06   2.3754493E+06   2.5825769E+06   3.1909679E+06   3.1602678E+06   1.0771304E+06   1.0664168E+06
    4.1000   2.4928715E+06   2.3357618E+06   2.5780158E+06   3.1635495E+06   2.5041342E+06   2.3714691E+06   2.5805011E+06   3.1939050E+06   3.1631767E+06   1.0768129E+06   1.0661181E+06
    4.1500   2.4882708E+06   2.3310769E+06   2.5759465E+06   3.1664950E+06   2.4997921E+06   2.3674890E+06   2.5784452E+06   3.1968442E+06   3.1660879E+06   1.0765053E+06   1.0658296E+06
    4.2000   2.4837324E+06   2.3263711E+06   2.5738599E+06   3.1694481E+06   2.4955056E+06   2.3635122E+06   2.5763724E+06   3.1997840E+06   3.1690001E+06   1.0762074E+06   1.0655510E+06
    4.2500   2.4792825E+06   2.3216525E+06   2.5717201E+06   3.1724073E+06   2.4913004E+06   2.3595412E+06   2.5742466E+06   3.2027231E+06   3.1719119E+06   1.0759192E+06   1.0652825E+06
    4.3000   2.4749454E+06   2.3169292E+06   2.5694922E+06   3.1753714E+06   2.4872001E+06   2.3555787E+06   2.5720326E+06   3.2056602E+06   3.1748222E+06   1.0756407E+06   1.0650240E+06
    4.3500   2.4707436E+06   2.3122101E+06   2.5671432E+06   3.1783391E+06   2.4832264E+06   2.3516268E+06   2.5696972E+06   3.2085943E+06   3.1777300E+06   1.0753720E+06   1.0647754E+06
    4.4000   2.4666991E+06   2.3075043E+06   2.5646423E+06   3.1813092E+06   2.4793995E+06   2.3476874E+06   2.5672091E+06   3.2115240E+06   3.1806339E+06   1.0751131E+06   1.0645368E+06
    4.4500   2.4628321E+06   2.3028208E+06   2.5619613E+06   3.1842804E+06   2.4757388E+06   2.3437622E+06   2.5645398E+06   3.2144480E+06   3.1835328E+06   1.0748639E+06   1.0643082E+06
    4.5000   2.4591600E+06   2.2981692E+06   2.5590753E+06   3.1872514E+06   2.4722609E+06   2.3398525E+06   2.5616642E+06   3.2173654E+06   3.1864256E+06   1.0746247E+06   1.0640896E+06
    4.5500   2.4556979E+06   2.2935587E+06   2.5559631E+06   3.1902210E+06   2.4689797E+06   2.3359592E+06   2.5585608E+06   3.2202750E+06   3.1893112E+06   1.0743955E+06   1.0638812E+06
    4.6000   2.4524594E+06   2.2889987E+06   2.5526075E+06   3.1931880E+06   2.4659072E+06   2.3320829E+06   2.5552121E+06   3.2231755E+06   3.1921885E+06   1.0741765E+06   1.0636829E+06
    4.6500   2.4494558E+06   2.2844982E+06   2.5489954E+06   3.1961511E+06   2.4630537E+06   2.3282240E+06   2.5516045E+06   3.2260659E+06   3.1950563E+06   1.0739675E+06   1.0634948E+06
    4.7000   2.4466957E+06   2.2800661E+06   2.5451181E+06   3.1991091E+06   2.4604270E+06   2.3243825E+06   2.5477293E+06   3.2289450E+06   3.1979137E+06   1.0737689E+06   1.0633169E+06
    4.7500   2.4441848E+06   2.2757112E+06   2.5409715E+06   3.2020609E+06   2.4580316E+06   2.3205580E+06   2.5435822E+06   3.2318118E+06   3.2007595E+06   1.0735806E+06   1.0631494E+06
    4.8000   2.4419272E+06   2.2714415E+06   2.5365562E+06   3.2050052E+06   2.4558703E+06   2.3167500E+06   2.5391633E+06   3.2346652E+06   3.2035928E+06   1.0734026E+06   1.0629921E+06
    4.8500   2.4399249E+06   2.2672648E+06   2.5318770E+06   3.2079409E+06   2.4539442E+06   2.3129578E+06   2.5344775E+06   3.2375041E+06   3.2064125E+06   1.0732350E+06   1.0628449E+06
    4.9000   2.4381771E+06   2.2631883E+06   2.5269433E+06   3.2108668E+06   2.4522520E+06   2.3091805E+06   2.5295340E+06   3.2403275E+06   3.2092175E+06   1.0730778E+06   1.0627080E+06
    4.9500   2.4366809E+06   2.2592187E+06   2.5217687E+06   3.2137818E+06   2.4507897E+06   2.3054169E+06   2.5243464E+06   3.2431343E+06   3.2120069E+06   1.0729309E+06   1.0625811E+06
    5.0000   2.4354318E+06   2.2553620E+06   2.5163708E+06   3.2166848E+06   2.4495521E+06   2.3016662E+06   2.5189321E+06   3.2459235E+06   3.2147797E+06   1.0727943E+06   1.0624642E+06
    5.0500   2.4344237E+06   2.2516236E+06   2.5107710E+06   3.2195745E+06   2.4485322E+06   2.2979273E+06   2.5133125E+06   3.2486941E+06   3.2175349E+06   1.0726679E+06   1.0623571E+06
    5.1000   2.4336483E+06   2.2480081E+06   2.5049937E+06   3.2224500E+06   2.4477218E+06   2.2941993E+06   2.5075122E+06   3.2514452E+06   3.2202717E+06   1.0725517E+06   1.0622597E+06
    5.1500   2.4330959E+06   2.2445195E+06   2.4990663E+06   3.2253101E+06   2.4471107E+06   2.2904816E+06   2.5015587E+06   3.2541756E+06   3.2229890E+06   1.0724456E+06   1.0621719E+06
    5.2000   2.4327557E+06   2.2411609E+06   2.4930189E+06   3.2281536E+06   2.4466878E+06   2.2867740E+06   2.4954822E+06   3.2568847E+06   3.2256861E+06   1.0723493E+06   1.0620934E+06
    5.2500   2.4326159E+06   2.2379348E+06   2.4868834E+06   3.2309796E+06   2.4464410E+06   2.2830765E+06   2.4893151E+06   3.2595716E+06   3.2283622E+06   1.0722628E+06   1.0620240E+06
    5.3000   2.4326634E+06   2.2348427E+06   2.4806935E+06   3.2337869E+06   2.4463577E+06   2.2793897E+06   2.4830912E+06   3.2622354E+06   3.2310166E+06   1.0721859E+06   1.0619636E+06
    5.3500   2.4328845E+06   2.2318855E+06   2.4744833E+06   3.2365744E+06   2.4464242E+06   2.2757147E+06   2.4768451E+06   3.2648751E+06   3.2336482E+06   1.0721185E+06   1.0619121E+06
    5.4000   2.4332649E+06   2.2290633E+06   2.4682879E+06   3.2393412E+06   2.4466265E+06   2.2720532E+06   2.4706123E+06   3.2674903E+06   3.2362567E+06   1.0720603E+06   1.0618693E+06
    5.4500   2.4337899E+06   2.2263757E+06   2.4621425E+06   3.2420861E+06   2.4469505E+06   2.2684076E+06   2.4644286E+06   3.2700801E+06   3.2388412E+06   1.0720112E+06   1.0618347E+06
    5.5000   2.4344447E+06   2.2238213E+06   2.4560815E+06   3.2448081E+06   2.4473820E+06   2.2647809E+06   2.4583286E+06   3.2726438E+06   3.2414011E+06   1.0719710E+06   1.0618085E+06
    5.5500   2.4352148E+06   2.2213983E+06   2.4501381E+06   3.2475063E+06   2.4479068E+06   2.2611769E+06   2.4523463E+06   3.2751805E+06   3.2439355E+06   1.0719396E+06   1.0617906E+06
    5.6000   2.4360851E+06   2.2191044E+06   2.4443442E+06   3.2501796E+06   2.4485113E+06   2.2576000E+06   2.4465141E+06   3.2776898E+06   3.2464440E+06   1.0719168E+06   1.0617805E+06
    5.6500   2.4370413E+06   2.2169367E+06   2.4387301E+06   3.2528272E+06   2.4491816E+06   2.2540552E+06   2.4408630E+06   3.2801711E+06   3.2489260E+06   1.0719023E+06   1.0617781E+06
    5.7000   2.4380693E+06   2.2148919E+06   2.4333237E+06   3.2554481E+06   2.4499049E+06   2.2505483E+06   2.4354210E+06   3.2826237E+06   3.2513809E+06   1.0718961E+06   1.0617833E+06
    5.7500   2.4391564E+06   2.2129666E+06   2.4281498E+06   3.2580415E+06   2.4506692E+06   2.2470856E+06   2.4302136E+06   3.2850466E+06   3.2538078E+06   1.0718980E+06   1.0617960E+06
    5.8000   2.4402894E+06   2.2111568E+06   2.4232306E+06   3.2606064E+06   2.4514630E+06   2.2436739E+06   2.4252637E+06   3.2874398E+06   3.2562065E+06   1.0719078E+06   1.0618158E+06
    5.8500   2.4414560E+06   2.2094586E+06   2.4185858E+06   3.2631421E+06   2.4522751E+06   2.2403205E+06   2.4205913E+06   3.2898027E+06   3.2585766E+06   1.0719251E+06   1.0618423E+06
    5.9000   2.4426452E+06   2.2078680E+06   2.4142313E+06   3.2656477E+06   2.4530957E+06   2.2370330E+06   2.4162126E+06   3.2921348E+06   3.2609175E+06   1.0719498E+06   1.0618755E+06
    5.9500   2.4438475E+06   2.2063809E+06   2.4101795E+06   3.2681225E+06   2.4539163E+06   2.2338191E+06   2.4121402E+06   3.2944351E+06   3.2632283E+06   1.0719819E+06   1.0619150E+06
