      Time         Node0px         Node0py         Node0pz         Node1px         Node1py         Node1pz         Node2px         Node2py         Node2pz         Node3px         Node3py         Node3pz         Node4px         Node4py         Node4pz         Node5px         Node5py         Node5pz         Node6px         Node6py         Node6pz         Node7px         Node7py         Node7pz         Node8px         Node8py         Node8pz         Node9px         Node9py         Node9pz        Node10px        Node10py        Node10pz        Node11px        Node11py        Node11pz 
    0.9000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788260E+02  -7.3162971E+02  -5.4731348E+02  -6.5581110E+02  -6.6330285E+02  -4.9450317E+02  -5.8378556E+02  -5.9501942E+02  -4.4156928E+02  -5.1180603E+02  -5.2677939E+02  -3.8851207E+02  -4.3987253E+02  -4.5858277E+02  -3.3533179E+02  -3.6798511E+02  -3.9042955E+02  -2.8202865E+02  -2.9614377E+02  -3.2231979E+02  -2.2860286E+02  -2.2434841E+02  -2.5425384E+02  -1.7505437E+02  -1.5259794E+02  -1.8623336E+02  -1.2138279E+02  -8.0887011E+01  -1.1826250E+02  -6.7590261E+01  -9.2036477E+00  -5.0345298E+01  -1.3687938E+01
    0.9500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788225E+02  -7.3162943E+02  -5.4731318E+02  -6.5581039E+02  -6.6330229E+02  -4.9450258E+02  -5.8378450E+02  -5.9501855E+02  -4.4156841E+02  -5.1180461E+02  -5.2677820E+02  -3.8851094E+02  -4.3987076E+02  -4.5858125E+02  -3.3533038E+02  -3.6798298E+02  -3.9042769E+02  -2.8202698E+02  -2.9614128E+02  -3.2231761E+02  -2.2860089E+02  -2.2434548E+02  -2.5425146E+02  -1.7505204E+02  -1.5259411E+02  -1.8623121E+02  -1.2138011E+02  -8.0880871E+01  -1.1826123E+02  -6.7588278E+01  -9.1932942E+00  -5.0345331E+01  -1.3688602E+01
    1.0000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788187E+02  -7.3162914E+02  -5.4731285E+02  -6.5580964E+02  -6.6330168E+02  -4.9450195E+02  -5.8378337E+02  -5.9501761E+02  -4.4156749E+02  -5.1180310E+02  -5.2677692E+02  -3.8850973E+02  -4.3986887E+02  -4.5857961E+02  -3.3532888E+02  -3.6798071E+02  -3.9042570E+02  -2.8202519E+02  -2.9613861E+02  -3.2231528E+02  -2.2859878E+02  -2.2434230E+02  -2.5424893E+02  -1.7504953E+02  -1.5258986E+02  -1.8622898E+02  -1.2137730E+02  -8.0874012E+01  -1.1825992E+02  -6.7586403E+01  -9.1819341E+00  -5.0345365E+01  -1.3689593E+01
    1.0500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788148E+02  -7.3162881E+02  -5.4731251E+02  -6.5580884E+02  -6.6330102E+02  -4.9450128E+02  -5.8378216E+02  -5.9501659E+02  -4.4156651E+02  -5.1180149E+02  -5.2677554E+02  -3.8850844E+02  -4.3986686E+02  -4.5857785E+02  -3.3532729E+02  -3.6797829E+02  -3.9042355E+02  -2.8202327E+02  -2.9613574E+02  -3.2231277E+02  -2.2859651E+02  -2.2433885E+02  -2.5424626E+02  -1.7504683E+02  -1.5258515E+02  -1.8622669E+02  -1.2137438E+02  -8.0866389E+01  -1.1825856E+02  -6.7584669E+01  -9.1695272E+00  -5.0345401E+01  -1.3690935E+01
    1.1000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788105E+02  -7.3162846E+02  -5.4731215E+02  -6.5580799E+02  -6.6330030E+02  -4.9450057E+02  -5.8378088E+02  -5.9501550E+02  -4.4156547E+02  -5.1179978E+02  -5.2677405E+02  -3.8850707E+02  -4.3986471E+02  -4.5857595E+02  -3.3532559E+02  -3.6797569E+02  -3.9042124E+02  -2.8202123E+02  -2.9613268E+02  -3.2231010E+02  -2.2859409E+02  -2.2433512E+02  -2.5424345E+02  -1.7504395E+02  -1.5257992E+02  -1.8622432E+02  -1.2137137E+02  -8.0857962E+01  -1.1825716E+02  -6.7583104E+01  -9.1560342E+00  -5.0345437E+01  -1.3692653E+01
    1.1500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788060E+02  -7.3162808E+02  -5.4731176E+02  -6.5580708E+02  -6.6329953E+02  -4.9449982E+02  -5.8377951E+02  -5.9501432E+02  -4.4156437E+02  -5.1179795E+02  -5.2677244E+02  -3.8850562E+02  -4.3986242E+02  -4.5857391E+02  -3.3532378E+02  -3.6797293E+02  -3.9041877E+02  -2.8201906E+02  -2.9612939E+02  -3.2230724E+02  -2.2859150E+02  -2.2433106E+02  -2.5424050E+02  -1.7504089E+02  -1.5257414E+02  -1.8622188E+02  -1.2136830E+02  -8.0848694E+01  -1.1825570E+02  -6.7581736E+01  -9.1414166E+00  -5.0345474E+01  -1.3694772E+01
    1.2000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788012E+02  -7.3162768E+02  -5.4731135E+02  -6.5580611E+02  -6.6329870E+02  -4.9449902E+02  -5.8377806E+02  -5.9501305E+02  -4.4156319E+02  -5.1179600E+02  -5.2677072E+02  -3.8850406E+02  -4.3985998E+02  -4.5857172E+02  -3.3532185E+02  -3.6796998E+02  -3.9041612E+02  -2.8201673E+02  -2.9612587E+02  -3.2230422E+02  -2.2858872E+02  -2.2432665E+02  -2.5423742E+02  -1.7503764E+02  -1.5256775E+02  -1.8621937E+02  -1.2136520E+02  -8.0838551E+01  -1.1825418E+02  -6.7580588E+01  -9.1256374E+00  -5.0345513E+01  -1.3697314E+01
    1.2500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787961E+02  -7.3162723E+02  -5.4731091E+02  -6.5580508E+02  -6.6329780E+02  -4.9449817E+02  -5.8377650E+02  -5.9501168E+02  -4.4156193E+02  -5.1179393E+02  -5.2676886E+02  -3.8850241E+02  -4.3985737E+02  -4.5856937E+02  -3.3531980E+02  -3.6796683E+02  -3.9041329E+02  -2.8201425E+02  -2.9612210E+02  -3.2230101E+02  -2.2858576E+02  -2.2432185E+02  -2.5423422E+02  -1.7503421E+02  -1.5256071E+02  -1.8621680E+02  -1.2136211E+02  -8.0827503E+01  -1.1825260E+02  -6.7579681E+01  -9.1086626E+00  -5.0345552E+01  -1.3700302E+01
    1.3000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787906E+02  -7.3162676E+02  -5.4731044E+02  -6.5580398E+02  -6.6329683E+02  -4.9449726E+02  -5.8377485E+02  -5.9501021E+02  -4.4156060E+02  -5.1179172E+02  -5.2676688E+02  -3.8850065E+02  -4.3985460E+02  -4.5856686E+02  -3.3531761E+02  -3.6796348E+02  -3.9041027E+02  -2.8201161E+02  -2.9611806E+02  -3.2229763E+02  -2.2858261E+02  -2.2431663E+02  -2.5423091E+02  -1.7503063E+02  -1.5255299E+02  -1.8621415E+02  -1.2135906E+02  -8.0815523E+01  -1.1825096E+02  -6.7579032E+01  -9.0904595E+00  -5.0345593E+01  -1.3703759E+01
    1.3500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787849E+02  -7.3162625E+02  -5.4730995E+02  -6.5580282E+02  -6.6329580E+02  -4.9449629E+02  -5.8377310E+02  -5.9500863E+02  -4.4155918E+02  -5.1178937E+02  -5.2676475E+02  -3.8849878E+02  -4.3985166E+02  -4.5856418E+02  -3.3531529E+02  -3.6795992E+02  -3.9040707E+02  -2.8200881E+02  -2.9611374E+02  -3.2229408E+02  -2.2857926E+02  -2.2431096E+02  -2.5422748E+02  -1.7502690E+02  -1.5254454E+02  -1.8621143E+02  -1.2135609E+02  -8.0802587E+01  -1.1824924E+02  -6.7578656E+01  -9.0709959E+00  -5.0345634E+01  -1.3707706E+01
    1.4000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787787E+02  -7.3162570E+02  -5.4730942E+02  -6.5580158E+02  -6.6329469E+02  -4.9449527E+02  -5.8377124E+02  -5.9500695E+02  -4.4155767E+02  -5.1178688E+02  -5.2676249E+02  -3.8849680E+02  -4.3984854E+02  -4.5856134E+02  -3.3531282E+02  -3.6795614E+02  -3.9040368E+02  -2.8200583E+02  -2.9610913E+02  -3.2229036E+02  -2.2857571E+02  -2.2430480E+02  -2.5422395E+02  -1.7502304E+02  -1.5253532E+02  -1.8620863E+02  -1.2135322E+02  -8.0788674E+01  -1.1824746E+02  -6.7578568E+01  -9.0502415E+00  -5.0345677E+01  -1.3712165E+01
    1.4500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787722E+02  -7.3162511E+02  -5.4730887E+02  -6.5580028E+02  -6.6329351E+02  -4.9449419E+02  -5.8376927E+02  -5.9500516E+02  -4.4155608E+02  -5.1178426E+02  -5.2676008E+02  -3.8849470E+02  -4.3984525E+02  -4.5855832E+02  -3.3531021E+02  -3.6795213E+02  -3.9040012E+02  -2.8200267E+02  -2.9610419E+02  -3.2228649E+02  -2.2857197E+02  -2.2429811E+02  -2.5422033E+02  -1.7501909E+02  -1.5252531E+02  -1.8620575E+02  -1.2135049E+02  -8.0773765E+01  -1.1824560E+02  -6.7578778E+01  -9.0281696E+00  -5.0345721E+01  -1.3717154E+01
    1.5000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787654E+02  -7.3162449E+02  -5.4730829E+02  -6.5579891E+02  -6.6329225E+02  -4.9449305E+02  -5.8376720E+02  -5.9500327E+02  -4.4155440E+02  -5.1178149E+02  -5.2675754E+02  -3.8849249E+02  -4.3984177E+02  -4.5855514E+02  -3.3530746E+02  -3.6794790E+02  -3.9039637E+02  -2.8199933E+02  -2.9609891E+02  -3.2228248E+02  -2.2856805E+02  -2.2429086E+02  -2.5421663E+02  -1.7501507E+02  -1.5251448E+02  -1.8620279E+02  -1.2134793E+02  -8.0757844E+01  -1.1824367E+02  -6.7579297E+01  -9.0047550E+00  -5.0345765E+01  -1.3722693E+01
    1.5500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787583E+02  -7.3162383E+02  -5.4730767E+02  -6.5579747E+02  -6.6329093E+02  -4.9449184E+02  -5.8376503E+02  -5.9500126E+02  -4.4155263E+02  -5.1177859E+02  -5.2675486E+02  -3.8849016E+02  -4.3983813E+02  -4.5855179E+02  -3.3530456E+02  -3.6794344E+02  -3.9039246E+02  -2.8199582E+02  -2.9609328E+02  -3.2227835E+02  -2.2856395E+02  -2.2428301E+02  -2.5421285E+02  -1.7501103E+02  -1.5250282E+02  -1.8619975E+02  -1.2134557E+02  -8.0740895E+01  -1.1824166E+02  -6.7580135E+01  -8.9799725E+00  -5.0345812E+01  -1.3728802E+01
    1.6000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787508E+02  -7.3162314E+02  -5.4730703E+02  -6.5579596E+02  -6.6328953E+02  -4.9449059E+02  -5.8376276E+02  -5.9499916E+02  -4.4155078E+02  -5.1177554E+02  -5.2675204E+02  -3.8848772E+02  -4.3983430E+02  -4.5854829E+02  -3.3530151E+02  -3.6793873E+02  -3.9038839E+02  -2.8199213E+02  -2.9608726E+02  -3.2227409E+02  -2.2855970E+02  -2.2427454E+02  -2.5420899E+02  -1.7500698E+02  -1.5249030E+02  -1.8619661E+02  -1.2134341E+02  -8.0722904E+01  -1.1823958E+02  -6.7581302E+01  -8.9537998E+00  -5.0345859E+01  -1.3735496E+01
    1.6500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787430E+02  -7.3162242E+02  -5.4730635E+02  -6.5579439E+02  -6.6328807E+02  -4.9448927E+02  -5.8376039E+02  -5.9499695E+02  -4.4154884E+02  -5.1177237E+02  -5.2674909E+02  -3.8848516E+02  -4.3983030E+02  -4.5854462E+02  -3.3529832E+02  -3.6793378E+02  -3.9038417E+02  -2.8198827E+02  -2.9608084E+02  -3.2226974E+02  -2.2855530E+02  -2.2426540E+02  -2.5420507E+02  -1.7500297E+02  -1.5247691E+02  -1.8619338E+02  -1.2134149E+02  -8.0703859E+01  -1.1823743E+02  -6.7582807E+01  -8.9262179E+00  -5.0345908E+01  -1.3742794E+01
    1.7000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787349E+02  -7.3162166E+02  -5.4730565E+02  -6.5579275E+02  -6.6328654E+02  -4.9448789E+02  -5.8375792E+02  -5.9499464E+02  -4.4154681E+02  -5.1176905E+02  -5.2674601E+02  -3.8848249E+02  -4.3982611E+02  -4.5854081E+02  -3.3529498E+02  -3.6792856E+02  -3.9037982E+02  -2.8198423E+02  -2.9607398E+02  -3.2226530E+02  -2.2855078E+02  -2.2425558E+02  -2.5420109E+02  -1.7499904E+02  -1.5246265E+02  -1.8619006E+02  -1.2133982E+02  -8.0683748E+01  -1.1823521E+02  -6.7584661E+01  -8.8972093E+00  -5.0345959E+01  -1.3750711E+01
    1.7500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2787264E+02  -7.3162086E+02  -5.4730492E+02  -6.5579105E+02  -6.6328494E+02  -4.9448646E+02  -5.8375535E+02  -5.9499224E+02  -4.4154470E+02  -5.1176561E+02  -5.2674280E+02  -3.8847970E+02  -4.3982175E+02  -4.5853686E+02  -3.3529149E+02  -3.6792308E+02  -3.9037534E+02  -2.8198002E+02  -2.9606667E+02  -3.2226079E+02  -2.2854616E+02  -2.2424505E+02  -2.5419704E+02  -1.7499521E+02  -1.5244751E+02  -1.8618664E+02  -1.2133840E+02  -8.0662561E+01  -1.1823292E+02  -6.7586874E+01  -8.8667571E+00  -5.0346012E+01  -1.3759262E+01
