      Time         Node0px         Node0py         Node0pz         Node1px         Node1py         Node1pz         Node2px         Node2py         Node2pz         Node3px         Node3py         Node3pz 
    0.7000   7.7702231E+01  -1.1601967E-01  -1.6975212E+01   1.2545800E+02  -1.1868135E-01  -3.5983953E+01   1.7323123E+02  -1.2130585E-01  -5.4947737E+01   2.2101859E+02  -1.2392184E-01  -7.3874919E+01
    0.7500   7.7709647E+01  -1.1595784E-01  -1.6956621E+01   1.2546302E+02  -1.1864122E-01  -3.5970069E+01   1.7323383E+02  -1.2128829E-01  -5.4938662E+01   2.2101804E+02  -1.2393579E-01  -7.3872492E+01
    0.8000   7.7717934E+01  -1.1589215E-01  -1.6937014E+01   1.2546857E+02  -1.1859912E-01  -3.5955553E+01   1.7323653E+02  -1.2127114E-01  -5.4929538E+01   2.2101743E+02  -1.2395086E-01  -7.3869965E+01
    0.8500   7.7727135E+01  -1.1582255E-01  -1.6916423E+01   1.2547465E+02  -1.1855535E-01  -3.5940511E+01   1.7323932E+02  -1.2125510E-01  -5.4920499E+01   2.2101677E+02  -1.2396701E-01  -7.3867342E+01
    0.9000   7.7737292E+01  -1.1574903E-01  -1.6894882E+01   1.2548127E+02  -1.1851023E-01  -3.5925060E+01   1.7324222E+02  -1.2124056E-01  -5.4911598E+01   2.2101612E+02  -1.2398418E-01  -7.3864632E+01
    0.9500   7.7748450E+01  -1.1567156E-01  -1.6872424E+01   1.2548843E+02  -1.1846411E-01  -3.5909309E+01   1.7324530E+02  -1.2122761E-01  -5.4902818E+01   2.2101551E+02  -1.2400234E-01  -7.3861845E+01
    1.0000   7.7760649E+01  -1.1559014E-01  -1.6849081E+01   1.2549616E+02  -1.1841726E-01  -3.5893343E+01   1.7324863E+02  -1.2121601E-01  -5.4894084E+01   2.2101499E+02  -1.2402145E-01  -7.3858996E+01
    1.0500   7.7773927E+01  -1.1550473E-01  -1.6824892E+01   1.2550449E+02  -1.1836983E-01  -3.5877207E+01   1.7325231E+02  -1.2120528E-01  -5.4885295E+01   2.2101462E+02  -1.2404148E-01  -7.3856104E+01
    1.1000   7.7788323E+01  -1.1541532E-01  -1.6799894E+01   1.2551349E+02  -1.1832178E-01  -3.5860890E+01   1.7325646E+02  -1.2119486E-01  -5.4876347E+01   2.2101445E+02  -1.2406238E-01  -7.3853190E+01
    1.1500   7.7803872E+01  -1.1532188E-01  -1.6774127E+01   1.2552325E+02  -1.1827284E-01  -3.5844333E+01   1.7326116E+02  -1.2118413E-01  -5.4867155E+01   2.2101456E+02  -1.2408412E-01  -7.3850278E+01
    1.2000   7.7820612E+01  -1.1522436E-01  -1.6747627E+01   1.2553385E+02  -1.1822254E-01  -3.5827437E+01   1.7326652E+02  -1.2117258E-01  -5.4857670E+01   2.2101502E+02  -1.2410666E-01  -7.3847395E+01
    1.2500   7.7838572E+01  -1.1512272E-01  -1.6720438E+01   1.2554541E+02  -1.1817025E-01  -3.5810088E+01   1.7327262E+02  -1.2115980E-01  -5.4847871E+01   2.2101591E+02  -1.2412995E-01  -7.3844570E+01
    1.3000   7.7857785E+01  -1.1501694E-01  -1.6692602E+01   1.2555804E+02  -1.1811529E-01  -3.5792182E+01   1.7327954E+02  -1.2114553E-01  -5.4837768E+01   2.2101730E+02  -1.2415396E-01  -7.3841834E+01
    1.3500   7.7878279E+01  -1.1490694E-01  -1.6664161E+01   1.2557183E+02  -1.1805700E-01  -3.5773646E+01   1.7328734E+02  -1.2112960E-01  -5.4827388E+01   2.2101930E+02  -1.2417863E-01  -7.3839220E+01
    1.4000   7.7900084E+01  -1.1479266E-01  -1.6635159E+01   1.2558684E+02  -1.1799490E-01  -3.5754462E+01   1.7329610E+02  -1.2111194E-01  -5.4816765E+01   2.2102198E+02  -1.2420392E-01  -7.3836761E+01
    1.4500   7.7923225E+01  -1.1467402E-01  -1.6605640E+01   1.2560314E+02  -1.1792867E-01  -3.5734664E+01   1.7330588E+02  -1.2109249E-01  -5.4805934E+01   2.2102544E+02  -1.2422977E-01  -7.3834493E+01
    1.5000   7.7947722E+01  -1.1455091E-01  -1.6575651E+01   1.2562075E+02  -1.1785828E-01  -3.5714337E+01   1.7331677E+02  -1.2107124E-01  -5.4794933E+01   2.2102978E+02  -1.2425614E-01  -7.3832452E+01
    1.5500   7.7973600E+01  -1.1442319E-01  -1.6545238E+01   1.2563969E+02  -1.1778384E-01  -3.5693600E+01   1.7332882E+02  -1.2104814E-01  -5.4783804E+01   2.2103508E+02  -1.2428297E-01  -7.3830673E+01
    1.6000   7.8000879E+01  -1.1429065E-01  -1.6514445E+01   1.2565996E+02  -1.1770566E-01  -3.5672585E+01   1.7334210E+02  -1.2102319E-01  -5.4772600E+01   2.2104144E+02  -1.2431019E-01  -7.3829193E+01
    1.6500   7.8029576E+01  -1.1415308E-01  -1.6483323E+01   1.2568157E+02  -1.1762405E-01  -3.5651422E+01   1.7335667E+02  -1.2099641E-01  -5.4761388E+01   2.2104894E+02  -1.2433775E-01  -7.3828046E+01
    1.7000   7.8059703E+01  -1.1401021E-01  -1.6451919E+01   1.2570454E+02  -1.1753930E-01  -3.5630222E+01   1.7337256E+02  -1.2096788E-01  -5.4750250E+01   2.2105769E+02  -1.2436558E-01  -7.3827268E+01
    1.7500   7.8091276E+01  -1.1386171E-01  -1.6420281E+01   1.2572888E+02  -1.1745161E-01  -3.5609072E+01   1.7338983E+02  -1.2093773E-01  -5.4739281E+01   2.2106775E+02  -1.2439362E-01  -7.3826893E+01
    1.8000   7.8124309E+01  -1.1370727E-01  -1.6388459E+01   1.2575462E+02  -1.1736103E-01  -3.5588037E+01   1.7340850E+02  -1.2090614E-01  -5.4728578E+01   2.2107922E+02  -1.2442179E-01  -7.3826953E+01
    1.8500   7.8158807E+01  -1.1354656E-01  -1.6356503E+01   1.2578179E+02  -1.1726745E-01  -3.5567159E+01   1.7342861E+02  -1.2087327E-01  -5.4718232E+01   2.2109217E+02  -1.2445003E-01  -7.3827478E+01
    1.9000   7.8194777E+01  -1.1337927E-01  -1.6324465E+01   1.2581043E+02  -1.1717064E-01  -3.5546469E+01   1.7345018E+02  -1.2083925E-01  -5.4708318E+01   2.2110665E+02  -1.2447826E-01  -7.3828498E+01
    1.9500   7.8232226E+01  -1.1320508E-01  -1.6292394E+01   1.2584056E+02  -1.1707028E-01  -3.5525993E+01   1.7347326E+02  -1.2080410E-01  -5.4698888E+01   2.2112275E+02  -1.2450642E-01  -7.3830040E+01
    2.0000   7.8271158E+01  -1.1302377E-01  -1.6260342E+01   1.2587221E+02  -1.1696599E-01  -3.5505756E+01   1.7349787E+02  -1.2076772E-01  -5.4689968E+01   2.2114050E+02  -1.2453441E-01  -7.3832129E+01
    2.0500   7.8311573E+01  -1.1283515E-01  -1.6228361E+01   1.2590540E+02  -1.1685738E-01  -3.5485784E+01   1.7352408E+02  -1.2072986E-01  -5.4681558E+01   2.2115997E+02  -1.2456217E-01  -7.3834788E+01
    2.1000   7.8353467E+01  -1.1263907E-01  -1.6196503E+01   1.2594015E+02  -1.1674409E-01  -3.5466102E+01   1.7355191E+02  -1.2069015E-01  -5.4673642E+01   2.2118117E+02  -1.2458962E-01  -7.3838035E+01
    2.1500   7.8396839E+01  -1.1243545E-01  -1.6164820E+01   1.2597648E+02  -1.1662580E-01  -3.5446738E+01   1.7358142E+02  -1.2064812E-01  -5.4666193E+01   2.2120415E+02  -1.2461669E-01  -7.3841888E+01
    2.2000   7.8441686E+01  -1.1222422E-01  -1.6133365E+01   1.2601440E+02  -1.1650221E-01  -3.5427713E+01   1.7361263E+02  -1.2060326E-01  -5.4659187E+01   2.2122893E+02  -1.2464327E-01  -7.3846361E+01
    2.2500   7.8487998E+01  -1.1200537E-01  -1.6102188E+01   1.2605391E+02  -1.1637310E-01  -3.5409044E+01   1.7364557E+02  -1.2055508E-01  -5.4652604E+01   2.2125551E+02  -1.2466930E-01  -7.3851465E+01
    2.3000   7.8535766E+01  -1.1177893E-01  -1.6071342E+01   1.2609502E+02  -1.1623826E-01  -3.5390745E+01   1.7368024E+02  -1.2050319E-01  -5.4646436E+01   2.2128390E+02  -1.2469468E-01  -7.3857208E+01
    2.3500   7.8584979E+01  -1.1154493E-01  -1.6040880E+01   1.2613772E+02  -1.1609751E-01  -3.5372826E+01   1.7371665E+02  -1.2044731E-01  -5.4640692E+01   2.2131409E+02  -1.2471933E-01  -7.3863595E+01
    2.4000   7.8635627E+01  -1.1130343E-01  -1.6010851E+01   1.2618202E+02  -1.1595075E-01  -3.5355298E+01   1.7375478E+02  -1.2038729E-01  -5.4635392E+01   2.2134607E+02  -1.2474313E-01  -7.3870629E+01
    2.4500   7.8687692E+01  -1.1105449E-01  -1.5981308E+01   1.2622791E+02  -1.1579788E-01  -3.5338178E+01   1.7379461E+02  -1.2032314E-01  -5.4630563E+01   2.2137982E+02  -1.2476600E-01  -7.3878308E+01
    2.5000   7.8741157E+01  -1.1079823E-01  -1.5952301E+01   1.2627536E+02  -1.1563891E-01  -3.5321489E+01   1.7383610E+02  -1.2025494E-01  -5.4626240E+01   2.2141530E+02  -1.2478782E-01  -7.3886630E+01
    2.5500   7.8796005E+01  -1.1053473E-01  -1.5923879E+01   1.2632436E+02  -1.1547388E-01  -3.5305265E+01   1.7387922E+02  -1.2018290E-01  -5.4622453E+01   2.2145248E+02  -1.2480849E-01  -7.3895589E+01
    2.6000   7.8852218E+01  -1.1026411E-01  -1.5896093E+01   1.2637487E+02  -1.1530293E-01  -3.5289549E+01   1.7392393E+02  -1.2010720E-01  -5.4619233E+01   2.2149131E+02  -1.2482790E-01  -7.3905178E+01
    2.6500   7.8909772E+01  -1.0998650E-01  -1.5868990E+01   1.2642685E+02  -1.1512624E-01  -3.5274388E+01   1.7397017E+02  -1.2002806E-01  -5.4616602E+01   2.2153176E+02  -1.2484592E-01  -7.3915387E+01
    2.7000   7.8968643E+01  -1.0970201E-01  -1.5842618E+01   1.2648026E+02  -1.1494405E-01  -3.5259834E+01   1.7401791E+02  -1.1994564E-01  -5.4614577E+01   2.2157375E+02  -1.2486245E-01  -7.3926208E+01
    2.7500   7.9028808E+01  -1.0941076E-01  -1.5817025E+01   1.2653506E+02  -1.1475663E-01  -3.5245939E+01   1.7406708E+02  -1.1986005E-01  -5.4613174E+01   2.2161724E+02  -1.2487736E-01  -7.3937628E+01
    2.8000   7.9090241E+01  -1.0911284E-01  -1.5792256E+01   1.2659120E+02  -1.1456423E-01  -3.5232750E+01   1.7411766E+02  -1.1977133E-01  -5.4612404E+01   2.2166217E+02  -1.2489053E-01  -7.3949636E+01
    2.8500   7.9152913E+01  -1.0880836E-01  -1.5768357E+01   1.2664863E+02  -1.1436706E-01  -3.5220308E+01   1.7416958E+02  -1.1967949E-01  -5.4612276E+01   2.2170848E+02  -1.2490184E-01  -7.3962220E+01
    2.9000   7.9216795E+01  -1.0849743E-01  -1.5745370E+01   1.2670732E+02  -1.1416526E-01  -3.5208648E+01   1.7422279E+02  -1.1958447E-01  -5.4612802E+01   2.2175610E+02  -1.2491115E-01  -7.3975367E+01
    2.9500   7.9281858E+01  -1.0818018E-01  -1.5723340E+01   1.2676721E+02  -1.1395892E-01  -3.5197795E+01   1.7427723E+02  -1.1948620E-01  -5.4613992E+01   2.2180497E+02  -1.2491836E-01  -7.3989065E+01
    3.0000   7.9348070E+01  -1.0785674E-01  -1.5702307E+01   1.2682827E+02  -1.1374803E-01  -3.5187772E+01   1.7433286E+02  -1.1938457E-01  -5.4615858E+01   2.2185503E+02  -1.2492332E-01  -7.4003304E+01
    3.0500   7.9415398E+01  -1.0752726E-01  -1.5682313E+01   1.2689047E+02  -1.1353252E-01  -3.5178597E+01   1.7438962E+02  -1.1927948E-01  -5.4618410E+01   2.2190622E+02  -1.2492592E-01  -7.4018074E+01
    3.1000   7.9483807E+01  -1.0719190E-01  -1.5663395E+01   1.2695375E+02  -1.1331230E-01  -3.5170285E+01   1.7444746E+02  -1.1917080E-01  -5.4621656E+01   2.2195848E+02  -1.2492602E-01  -7.4033366E+01
    3.1500   7.9553264E+01  -1.0685080E-01  -1.5645591E+01   1.2701808E+02  -1.1308723E-01  -3.5162852E+01   1.7450633E+02  -1.1905840E-01  -5.4625604E+01   2.2201176E+02  -1.2492350E-01  -7.4049173E+01
    3.2000   7.9623732E+01  -1.0650413E-01  -1.5628939E+01   1.2708343E+02  -1.1285719E-01  -3.5156318E+01   1.7456619E+02  -1.1894215E-01  -5.4630258E+01   2.2206599E+02  -1.2491823E-01  -7.4065489E+01
    3.2500   7.9695175E+01  -1.0615207E-01  -1.5613472E+01   1.2714974E+02  -1.1262209E-01  -3.5150701E+01   1.7462698E+02  -1.1882189E-01  -5.4635624E+01   2.2212113E+02  -1.2491007E-01  -7.4082311E+01
    3.3000   7.9767553E+01  -1.0579477E-01  -1.5599221E+01   1.2721699E+02  -1.1238187E-01  -3.5146024E+01   1.7468868E+02  -1.1869748E-01  -5.4641705E+01   2.2217714E+02  -1.2489891E-01  -7.4099638E+01
    3.3500   7.9840828E+01  -1.0543242E-01  -1.5586220E+01   1.2728512E+02  -1.1213652E-01  -3.5142309E+01   1.7475123E+02  -1.1856880E-01  -5.4648505E+01   2.2223396E+02  -1.2488461E-01  -7.4117471E+01
    3.4000   7.9914963E+01  -1.0506516E-01  -1.5574499E+01   1.2735410E+02  -1.1188607E-01  -3.5139580E+01   1.7481461E+02  -1.1843572E-01  -5.4656034E+01   2.2229157E+02  -1.2486705E-01  -7.4135813E+01
    3.4500   7.9989916E+01  -1.0469317E-01  -1.5564085E+01   1.2742389E+02  -1.1163060E-01  -3.5137860E+01   1.7487878E+02  -1.1829817E-01  -5.4664302E+01   2.2234992E+02  -1.2484609E-01  -7.4154670E+01
    3.5000   8.0065645E+01  -1.0431658E-01  -1.5555002E+01   1.2749445E+02  -1.1137022E-01  -3.5137173E+01   1.7494370E+02  -1.1815609E-01  -5.4673325E+01   2.2240899E+02  -1.2482160E-01  -7.4174049E+01
    3.5500   8.0142109E+01  -1.0393556E-01  -1.5547277E+01   1.2756574E+02  -1.1110504E-01  -3.5137541E+01   1.7500933E+02  -1.1800946E-01  -5.4683121E+01   2.2246874E+02  -1.2479347E-01  -7.4193961E+01
    3.6000   8.0219267E+01  -1.0355023E-01  -1.5540933E+01   1.2763773E+02  -1.1083519E-01  -3.5138987E+01   1.7507566E+02  -1.1785832E-01  -5.4693712E+01   2.2252917E+02  -1.2476155E-01  -7.4214419E+01
    3.6500   8.0297076E+01  -1.0316071E-01  -1.5535989E+01   1.2771037E+02  -1.1056077E-01  -3.5141534E+01   1.7514264E+02  -1.1770272E-01  -5.4705124E+01   2.2259023E+02  -1.2472572E-01  -7.4235436E+01
    3.7000   8.0375492E+01  -1.0276712E-01  -1.5532463E+01   1.2778364E+02  -1.1028191E-01  -3.5145203E+01   1.7521024E+02  -1.1754270E-01  -5.4717382E+01   2.2265192E+02  -1.2468587E-01  -7.4257031E+01
    3.7500   8.0454472E+01  -1.0236956E-01  -1.5530373E+01   1.2785749E+02  -1.0999869E-01  -3.5150019E+01   1.7527844E+02  -1.1737835E-01  -5.4730512E+01   2.2271423E+02  -1.2464185E-01  -7.4279222E+01
    3.8000   8.0533972E+01  -1.0196811E-01  -1.5529735E+01   1.2793189E+02  -1.0971119E-01  -3.5156004E+01   1.7534722E+02  -1.1720969E-01  -5.4744540E+01   2.2277713E+02  -1.2459355E-01  -7.4302028E+01
    3.8500   8.0613949E+01  -1.0156286E-01  -1.5530560E+01   1.2800680E+02  -1.0941945E-01  -3.5163184E+01   1.7541654E+02  -1.1703675E-01  -5.4759490E+01   2.2284062E+02  -1.2454085E-01  -7.4325473E+01
    3.9000   8.0694355E+01  -1.0115385E-01  -1.5532858E+01   1.2808219E+02  -1.0912353E-01  -3.5171581E+01   1.7548639E+02  -1.1685952E-01  -5.4775387E+01   2.2290470E+02  -1.2448363E-01  -7.4349580E+01
    3.9500   8.0775148E+01  -1.0074114E-01  -1.5536638E+01   1.2815801E+02  -1.0882342E-01  -3.5181216E+01   1.7555674E+02  -1.1667792E-01  -5.4792252E+01   2.2296934E+02  -1.2442177E-01  -7.4374373E+01
    4.0000   8.0856283E+01  -1.0032473E-01  -1.5541909E+01   1.2823424E+02  -1.0851911E-01  -3.5192112E+01   1.7562758E+02  -1.1649186E-01  -5.4810109E+01   2.2303454E+02  -1.2435516E-01  -7.4399876E+01
    4.0500   8.0937713E+01  -9.9904656E-02  -1.5548673E+01   1.2831084E+02  -1.0821055E-01  -3.5204285E+01   1.7569887E+02  -1.1630121E-01  -5.4828980E+01   2.2310030E+02  -1.2428367E-01  -7.4426117E+01
    4.1000   8.1019394E+01  -9.9480884E-02  -1.5556931E+01   1.2838778E+02  -1.0789767E-01  -3.5217752E+01   1.7577060E+02  -1.1610581E-01  -5.4848885E+01   2.2316661E+02  -1.2420721E-01  -7.4453122E+01
    4.1500   8.1101279E+01  -9.9053380E-02  -1.5566686E+01   1.2846500E+02  -1.0758036E-01  -3.5232525E+01   1.7584274E+02  -1.1590547E-01  -5.4869848E+01   2.2323344E+02  -1.2412565E-01  -7.4480915E+01
    4.2000   8.1183324E+01  -9.8622089E-02  -1.5577937E+01   1.2854249E+02  -1.0725850E-01  -3.5248616E+01   1.7591526E+02  -1.1570003E-01  -5.4891888E+01   2.2330080E+02  -1.2403890E-01  -7.4509525E+01
    4.2500   8.1265483E+01  -9.8186938E-02  -1.5590677E+01   1.2862021E+02  -1.0693190E-01  -3.5266032E+01   1.7598815E+02  -1.1548930E-01  -5.4915027E+01   2.2336867E+02  -1.2394685E-01  -7.4538975E+01
    4.3000   8.1347710E+01  -9.7747836E-02  -1.5604901E+01   1.2869811E+02  -1.0660040E-01  -3.5284781E+01   1.7606137E+02  -1.1527311E-01  -5.4939285E+01   2.2343703E+02  -1.2384939E-01  -7.4569292E+01
    4.3500   8.1429959E+01  -9.7304681E-02  -1.5620600E+01   1.2877616E+02  -1.0626381E-01  -3.5304868E+01   1.7613489E+02  -1.1505131E-01  -5.4964679E+01   2.2350585E+02  -1.2374643E-01  -7.4600498E+01
    4.4000   8.1512185E+01  -9.6857379E-02  -1.5637767E+01   1.2885433E+02  -1.0592191E-01  -3.5326298E+01   1.7620868E+02  -1.1482374E-01  -5.4991227E+01   2.2357513E+02  -1.2363786E-01  -7.4632618E+01
    4.4500   8.1594343E+01  -9.6405835E-02  -1.5656386E+01   1.2893257E+02  -1.0557454E-01  -3.5349074E+01   1.7628271E+02  -1.1459025E-01  -5.5018944E+01   2.2364483E+02  -1.2352359E-01  -7.4665671E+01
    4.5000   8.1676387E+01  -9.5949948E-02  -1.5676443E+01   1.2901083E+02  -1.0522152E-01  -3.5373200E+01   1.7635694E+02  -1.1435073E-01  -5.5047841E+01   2.2371493E+02  -1.2340352E-01  -7.4699678E+01
    4.5500   8.1758272E+01  -9.5489615E-02  -1.5697923E+01   1.2908908E+02  -1.0486270E-01  -3.5398676E+01   1.7643133E+02  -1.1410503E-01  -5.5077931E+01   2.2378538E+02  -1.2327755E-01  -7.4734657E+01
    4.6000   8.1839953E+01  -9.5024729E-02  -1.5720808E+01   1.2916727E+02  -1.0449796E-01  -3.5425503E+01   1.7650584E+02  -1.1385321E-01  -5.5109222E+01   2.2385617E+02  -1.2314559E-01  -7.4770623E+01
    4.6500   8.1921386E+01  -9.4555175E-02  -1.5745076E+01   1.2924535E+02  -1.0412724E-01  -3.5453678E+01   1.7658043E+02  -1.1359619E-01  -5.5141718E+01   2.2392723E+02  -1.2300755E-01  -7.4807592E+01
    4.7000   8.2002525E+01  -9.4080834E-02  -1.5770704E+01   1.2932328E+02  -1.0375059E-01  -3.5483197E+01   1.7665506E+02  -1.1333521E-01  -5.5175410E+01   2.2399854E+02  -1.2286333E-01  -7.4845575E+01
    4.7500   8.2083327E+01  -9.3601582E-02  -1.5797669E+01   1.2940101E+02  -1.0336831E-01  -3.5514050E+01   1.7672969E+02  -1.1307119E-01  -5.5210281E+01   2.2407005E+02  -1.2271285E-01  -7.4884582E+01
    4.8000   8.2163749E+01  -9.3117293E-02  -1.5825945E+01   1.2947850E+02  -1.0298103E-01  -3.5546222E+01   1.7680428E+02  -1.1280455E-01  -5.5246306E+01   2.2414169E+02  -1.2255603E-01  -7.4924620E+01
    4.8500   8.2243745E+01  -9.2627828E-02  -1.5855503E+01   1.2955570E+02  -1.0259071E-01  -3.5579687E+01   1.7687879E+02  -1.1253519E-01  -5.5283457E+01   2.2421343E+02  -1.2239279E-01  -7.4965695E+01
    4.9000   8.2323274E+01  -9.2133038E-02  -1.5886313E+01   1.2963257E+02  -1.0220047E-01  -3.5614398E+01   1.7695317E+02  -1.1226267E-01  -5.5321705E+01   2.2428520E+02  -1.2222305E-01  -7.5007810E+01
    4.9500   8.2402292E+01  -9.1632762E-02  -1.5918342E+01   1.2970909E+02  -1.0181279E-01  -3.5650289E+01   1.7702738E+02  -1.1198658E-01  -5.5361024E+01   2.2435694E+02  -1.2204676E-01  -7.5050965E+01
    5.0000   8.2480757E+01  -9.1126827E-02  -1.5951558E+01   1.2978523E+02  -1.0142881E-01  -3.5687279E+01   1.7710137E+02  -1.1170677E-01  -5.5401389E+01   2.2442859E+02  -1.2186386E-01  -7.5095158E+01
    5.0500   8.2558627E+01  -9.0615046E-02  -1.5985926E+01   1.2986097E+02  -1.0104812E-01  -3.5725286E+01   1.7717508E+02  -1.1142352E-01  -5.5442772E+01   2.2450008E+02  -1.2167428E-01  -7.5140385E+01
    5.1000   8.2635861E+01  -9.0097196E-02  -1.6021405E+01   1.2993627E+02  -1.0066884E-01  -3.5764233E+01   1.7724846E+02  -1.1113740E-01  -5.5485139E+01   2.2457135E+02  -1.2147799E-01  -7.5186639E+01
    5.1500   8.2712419E+01  -8.9573033E-02  -1.6057959E+01   1.3001110E+02  -1.0028804E-01  -3.5804060E+01   1.7732147E+02  -1.1084900E-01  -5.5528454E+01   2.2464232E+02  -1.2127492E-01  -7.5233912E+01
    5.2000   8.2788258E+01  -8.9042270E-02  -1.6095548E+01   1.3008542E+02  -9.9902355E-02  -3.5844725E+01   1.7739404E+02  -1.1055855E-01  -5.5572673E+01   2.2471293E+02  -1.2106505E-01  -7.5282192E+01
    5.2500   8.2863341E+01  -8.8504577E-02  -1.6134129E+01   1.3015916E+02  -9.9508580E-02  -3.5886205E+01   1.7746614E+02  -1.1026562E-01  -5.5617755E+01   2.2478311E+02  -1.2084835E-01  -7.5331467E+01
    5.3000   8.2937629E+01  -8.7959619E-02  -1.6173659E+01   1.3023227E+02  -9.9104238E-02  -3.5928491E+01   1.7753769E+02  -1.0996895E-01  -5.5663660E+01   2.2485278E+02  -1.2062478E-01  -7.5381721E+01
    5.3500   8.3011084E+01  -8.7407084E-02  -1.6214092E+01   1.3030469E+02  -9.8687866E-02  -3.5971582E+01   1.7760865E+02  -1.0966646E-01  -5.5710356E+01   2.2492187E+02  -1.2039433E-01  -7.5432938E+01
    5.4000   8.3083666E+01  -8.6846664E-02  -1.6255386E+01   1.3037635E+02  -9.8259058E-02  -3.6015479E+01   1.7767895E+02  -1.0935558E-01  -5.5757825E+01   2.2499030E+02  -1.2015697E-01  -7.5485099E+01
    5.4500   8.3155341E+01  -8.6278076E-02  -1.6297492E+01   1.3044718E+02  -9.7818253E-02  -3.6060178E+01   1.7774851E+02  -1.0903369E-01  -5.5806060E+01   2.2505802E+02  -1.1991270E-01  -7.5538184E+01
    5.5000   8.3226074E+01  -8.5701079E-02  -1.6340361E+01   1.3051714E+02  -9.7366378E-02  -3.6105666E+01   1.7781728E+02  -1.0869862E-01  -5.5855063E+01   2.2512493E+02  -1.1966149E-01  -7.5592171E+01
    5.5500   8.3295828E+01  -8.5115482E-02  -1.6383945E+01   1.3058616E+02  -9.6904448E-02  -3.6151920E+01   1.7788516E+02  -1.0834916E-01  -5.5904843E+01   2.2519099E+02  -1.1940330E-01  -7.5647037E+01
    5.6000   8.3364569E+01  -8.4521141E-02  -1.6428196E+01   1.3065419E+02  -9.6433239E-02  -3.6198908E+01   1.7795209E+02  -1.0798525E-01  -5.5955409E+01   2.2525610E+02  -1.1913811E-01  -7.5702758E+01
