
Predictions were generated on 22-Dec-2025 at 21:57:45 using OpenFAST, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; SeaState; HydroDyn

Description from the FAST input file: IEA 15 MW offshore reference model on UMaine VolturnUS-S semi-submersible floating platform

Time	ConvIter	ConvError	NumUJac	Wind1VelX	Wind1VelY	Wind1VelZ	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	NcIMUTAxs	NcIMUTAys	NcIMUTAzs	RotSpeed	RotTorq	RotThrust	BldPitch1	GenSpeed	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFzt	RtSpeed	RtTSR	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
    0.9000	 3.000E+00	 7.128E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.082E+01	 1.300E-01	-3.575E-01	 2.802E-01	 2.479E+00	 4.094E-01	 3.870E-01	 1.969E-03	 5.844E-02	 5.730E+00	 1.009E+04	 1.756E+03	 0.000E+00	 5.730E+00	 1.804E+03	-1.255E+02	-2.235E+04	 2.127E+04	 1.274E+05	 1.321E+03	 1.361E+03	-5.831E+01	-8.991E+03	 1.052E+04	-6.338E+04	 1.321E+03	-2.235E+04	 5.730E+00	 9.496E+00	-7.552E-01	-2.044E+06	 6.499E+02	 2.046E+08	-9.722E+06	 5.542E+07	 4.250E+05
    1.0000	 3.000E+00	 8.459E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.081E+01	 1.301E-01	-3.603E-01	 2.802E-01	 2.497E+00	 4.092E-01	 3.901E-01	 2.392E-03	 6.830E-02	 5.730E+00	 9.936E+03	 1.748E+03	 0.000E+00	 5.730E+00	 1.782E+03	-1.259E+02	-2.237E+04	 2.118E+04	 1.258E+05	 1.442E+03	 1.352E+03	-5.853E+01	-8.999E+03	 1.038E+04	-6.354E+04	 1.442E+03	-2.237E+04	 5.730E+00	 9.559E+00	-8.241E-01	-1.635E+06	 7.396E+02	 2.048E+08	-9.689E+06	 5.157E+07	 3.724E+05
    1.1000	 3.000E+00	 9.831E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.079E+01	 1.301E-01	-3.630E-01	 2.803E-01	 2.517E+00	 4.091E-01	 3.875E-01	 2.825E-03	 7.708E-02	 5.730E+00	 9.782E+03	 1.743E+03	 0.000E+00	 5.730E+00	 1.771E+03	-1.264E+02	-2.239E+04	 2.110E+04	 1.251E+05	 1.562E+03	 1.349E+03	-5.885E+01	-9.006E+03	 1.024E+04	-6.365E+04	 1.562E+03	-2.239E+04	 5.730E+00	 9.626E+00	-8.755E-01	-1.243E+06	 8.436E+02	 2.050E+08	-9.656E+06	 4.642E+07	 3.188E+05
    1.2000	 3.000E+00	 1.128E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.078E+01	 1.301E-01	-3.655E-01	 2.803E-01	 2.539E+00	 4.089E-01	 3.841E-01	 3.216E-03	 8.570E-02	 5.730E+00	 9.621E+03	 1.737E+03	 0.000E+00	 5.730E+00	 1.761E+03	-1.270E+02	-2.241E+04	 2.102E+04	 1.246E+05	 1.684E+03	 1.347E+03	-5.925E+01	-9.013E+03	 1.010E+04	-6.374E+04	 1.684E+03	-2.241E+04	 5.730E+00	 9.697E+00	-9.268E-01	-8.540E+05	 9.717E+02	 2.052E+08	-9.625E+06	 4.121E+07	 2.637E+05
    1.3000	 3.000E+00	 1.271E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.076E+01	 1.301E-01	-3.676E-01	 2.803E-01	 2.562E+00	 4.088E-01	 3.746E-01	 3.583E-03	 9.307E-02	 5.730E+00	 9.453E+03	 1.734E+03	 0.000E+00	 5.730E+00	 1.761E+03	-1.277E+02	-2.243E+04	 2.095E+04	 1.252E+05	 1.809E+03	 1.349E+03	-5.979E+01	-9.019E+03	 9.942E+03	-6.376E+04	 1.809E+03	-2.243E+04	 5.730E+00	 9.774E+00	-9.637E-01	-4.929E+05	 1.134E+03	 2.053E+08	-9.597E+06	 3.479E+07	 2.056E+05
    1.4000	 3.000E+00	 1.417E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.074E+01	 1.302E-01	-3.693E-01	 2.803E-01	 2.587E+00	 4.086E-01	 3.643E-01	 3.869E-03	 1.003E-01	 5.730E+00	 9.274E+03	 1.730E+03	 0.000E+00	 5.730E+00	 1.762E+03	-1.285E+02	-2.245E+04	 2.089E+04	 1.258E+05	 1.944E+03	 1.352E+03	-6.050E+01	-9.024E+03	 9.780E+03	-6.372E+04	 1.944E+03	-2.245E+04	 5.730E+00	 9.855E+00	-1.001E+00	-1.361E+05	 1.343E+03	 2.055E+08	-9.573E+06	 2.833E+07	 1.427E+05
    1.5000	 3.000E+00	 1.556E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.072E+01	 1.302E-01	-3.704E-01	 2.802E-01	 2.614E+00	 4.084E-01	 3.478E-01	 4.090E-03	 1.061E-01	 5.730E+00	 9.085E+03	 1.727E+03	 0.000E+00	 5.730E+00	 1.774E+03	-1.295E+02	-2.246E+04	 2.084E+04	 1.276E+05	 2.098E+03	 1.359E+03	-6.140E+01	-9.029E+03	 9.609E+03	-6.356E+04	 2.098E+03	-2.246E+04	 5.730E+00	 9.937E+00	-1.026E+00	 1.854E+05	 1.604E+03	 2.057E+08	-9.554E+06	 2.075E+07	 6.913E+04
    1.6000	 3.000E+00	 1.697E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.071E+01	 1.302E-01	-3.709E-01	 2.802E-01	 2.642E+00	 4.083E-01	 3.306E-01	 4.204E-03	 1.118E-01	 5.730E+00	 8.887E+03	 1.724E+03	 0.000E+00	 5.730E+00	 1.786E+03	-1.306E+02	-2.248E+04	 2.081E+04	 1.295E+05	 2.289E+03	 1.367E+03	-6.246E+01	-9.034E+03	 9.435E+03	-6.333E+04	 2.289E+03	-2.248E+04	 5.730E+00	 1.002E+01	-1.052E+00	 5.022E+05	 1.906E+03	 2.059E+08	-9.541E+06	 1.315E+07	-2.190E+04
    1.7000	 3.000E+00	 1.830E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.069E+01	 1.302E-01	-3.708E-01	 2.802E-01	 2.670E+00	 4.081E-01	 3.078E-01	 4.287E-03	 1.160E-01	 5.730E+00	 8.695E+03	 1.723E+03	 0.000E+00	 5.730E+00	 1.810E+03	-1.316E+02	-2.249E+04	 2.079E+04	 1.324E+05	 2.527E+03	 1.380E+03	-6.355E+01	-9.038E+03	 9.271E+03	-6.307E+04	 2.527E+03	-2.249E+04	 5.730E+00	 1.008E+01	-1.070E+00	 7.780E+05	 2.205E+03	 2.060E+08	-9.532E+06	 4.540E+06	-1.367E+05
    1.8000	 3.000E+00	 1.968E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.067E+01	 1.303E-01	-3.699E-01	 2.801E-01	 2.701E+00	 4.079E-01	 2.850E-01	 4.381E-03	 1.202E-01	 5.730E+00	 8.527E+03	 1.724E+03	 0.000E+00	 5.730E+00	 1.835E+03	-1.325E+02	-2.251E+04	 2.077E+04	 1.355E+05	 2.799E+03	 1.395E+03	-6.445E+01	-9.043E+03	 9.135E+03	-6.290E+04	 2.799E+03	-2.251E+04	 5.730E+00	 1.012E+01	-1.088E+00	 1.048E+06	 2.436E+03	 2.062E+08	-9.523E+06	-4.110E+06	-2.686E+05
    1.9000	 3.000E+00	 2.106E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.066E+01	 1.303E-01	-3.682E-01	 2.800E-01	 2.732E+00	 4.078E-01	 2.577E-01	 4.624E-03	 1.229E-01	 5.730E+00	 8.399E+03	 1.730E+03	 0.000E+00	 5.730E+00	 1.872E+03	-1.332E+02	-2.252E+04	 2.075E+04	 1.396E+05	 3.063E+03	 1.417E+03	-6.499E+01	-9.047E+03	 9.036E+03	-6.288E+04	 3.063E+03	-2.252E+04	 5.730E+00	 1.014E+01	-1.101E+00	 1.274E+06	 2.542E+03	 2.063E+08	-9.507E+06	-1.366E+07	-4.008E+05
    2.0000	 3.000E+00	 2.256E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.064E+01	 1.304E-01	-3.655E-01	 2.799E-01	 2.763E+00	 4.077E-01	 2.309E-01	 5.041E-03	 1.257E-01	 5.730E+00	 8.313E+03	 1.739E+03	 0.000E+00	 5.730E+00	 1.912E+03	-1.335E+02	-2.254E+04	 2.072E+04	 1.438E+05	 3.279E+03	 1.441E+03	-6.509E+01	-9.052E+03	 8.973E+03	-6.303E+04	 3.279E+03	-2.254E+04	 5.730E+00	 1.014E+01	-1.114E+00	 1.494E+06	 2.515E+03	 2.064E+08	-9.480E+06	-2.326E+07	-5.134E+05
    2.1000	 3.000E+00	 2.413E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.063E+01	 1.304E-01	-3.620E-01	 2.798E-01	 2.796E+00	 4.076E-01	 2.001E-01	 5.646E-03	 1.270E-01	 5.730E+00	 8.258E+03	 1.751E+03	 0.000E+00	 5.730E+00	 1.961E+03	-1.336E+02	-2.255E+04	 2.068E+04	 1.490E+05	 3.428E+03	 1.472E+03	-6.488E+01	-9.056E+03	 8.933E+03	-6.323E+04	 3.428E+03	-2.255E+04	 5.730E+00	 1.014E+01	-1.124E+00	 1.667E+06	 2.389E+03	 2.065E+08	-9.444E+06	-3.360E+07	-5.993E+05
    2.2000	 3.000E+00	 2.590E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.062E+01	 1.304E-01	-3.573E-01	 2.796E-01	 2.829E+00	 4.075E-01	 1.697E-01	 6.348E-03	 1.282E-01	 5.730E+00	 8.222E+03	 1.764E+03	 0.000E+00	 5.730E+00	 2.012E+03	-1.336E+02	-2.256E+04	 2.062E+04	 1.543E+05	 3.517E+03	 1.503E+03	-6.447E+01	-9.060E+03	 8.904E+03	-6.344E+04	 3.517E+03	-2.256E+04	 5.730E+00	 1.013E+01	-1.134E+00	 1.836E+06	 2.212E+03	 2.066E+08	-9.400E+06	-4.395E+07	-6.602E+05
    2.3000	 3.000E+00	 2.784E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.060E+01	 1.305E-01	-3.517E-01	 2.795E-01	 2.862E+00	 4.074E-01	 1.355E-01	 7.113E-03	 1.279E-01	 5.730E+00	 8.196E+03	 1.779E+03	 0.000E+00	 5.730E+00	 2.070E+03	-1.336E+02	-2.257E+04	 2.057E+04	 1.603E+05	 3.559E+03	 1.538E+03	-6.401E+01	-9.062E+03	 8.880E+03	-6.359E+04	 3.559E+03	-2.257E+04	 5.730E+00	 1.013E+01	-1.143E+00	 1.960E+06	 2.021E+03	 2.067E+08	-9.353E+06	-5.485E+07	-7.023E+05
    2.4000	 3.000E+00	 3.005E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.059E+01	 1.305E-01	-3.449E-01	 2.793E-01	 2.896E+00	 4.074E-01	 1.017E-01	 7.865E-03	 1.276E-01	 5.730E+00	 8.175E+03	 1.795E+03	 0.000E+00	 5.730E+00	 2.129E+03	-1.335E+02	-2.258E+04	 2.052E+04	 1.664E+05	 3.569E+03	 1.574E+03	-6.355E+01	-9.065E+03	 8.857E+03	-6.370E+04	 3.569E+03	-2.258E+04	 5.730E+00	 1.013E+01	-1.152E+00	 2.080E+06	 1.837E+03	 2.068E+08	-9.306E+06	-6.575E+07	-7.319E+05
    2.5000	 3.000E+00	 3.251E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.058E+01	 1.306E-01	-3.369E-01	 2.791E-01	 2.929E+00	 4.073E-01	 6.473E-02	 8.600E-03	 1.258E-01	 5.730E+00	 8.157E+03	 1.811E+03	 0.000E+00	 5.730E+00	 2.194E+03	-1.335E+02	-2.258E+04	 2.047E+04	 1.732E+05	 3.552E+03	 1.612E+03	-6.313E+01	-9.066E+03	 8.836E+03	-6.374E+04	 3.552E+03	-2.258E+04	 5.730E+00	 1.013E+01	-1.160E+00	 2.156E+06	 1.668E+03	 2.069E+08	-9.259E+06	-7.699E+07	-7.504E+05
    2.6000	 3.000E+00	 3.528E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.057E+01	 1.306E-01	-3.278E-01	 2.788E-01	 2.963E+00	 4.073E-01	 2.820E-02	 9.272E-03	 1.239E-01	 5.730E+00	 8.145E+03	 1.828E+03	 0.000E+00	 5.730E+00	 2.258E+03	-1.335E+02	-2.259E+04	 2.043E+04	 1.800E+05	 3.516E+03	 1.650E+03	-6.276E+01	-9.067E+03	 8.818E+03	-6.373E+04	 3.516E+03	-2.259E+04	 5.730E+00	 1.012E+01	-1.167E+00	 2.230E+06	 1.518E+03	 2.069E+08	-9.215E+06	-8.822E+07	-7.621E+05
    2.7000	 3.000E+00	 3.837E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.056E+01	 1.307E-01	-3.174E-01	 2.785E-01	 2.997E+00	 4.073E-01	-1.048E-02	 9.887E-03	 1.205E-01	 5.730E+00	 8.139E+03	 1.846E+03	 0.000E+00	 5.730E+00	 2.328E+03	-1.335E+02	-2.259E+04	 2.040E+04	 1.872E+05	 3.467E+03	 1.691E+03	-6.245E+01	-9.067E+03	 8.806E+03	-6.366E+04	 3.467E+03	-2.259E+04	 5.730E+00	 1.011E+01	-1.174E+00	 2.262E+06	 1.383E+03	 2.070E+08	-9.173E+06	-9.960E+07	-7.677E+05
    2.8000	 3.000E+00	 4.177E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.055E+01	 1.308E-01	-3.058E-01	 2.782E-01	 3.030E+00	 4.074E-01	-4.858E-02	 1.040E-02	 1.171E-01	 5.730E+00	 8.144E+03	 1.864E+03	 0.000E+00	 5.730E+00	 2.397E+03	-1.335E+02	-2.259E+04	 2.039E+04	 1.945E+05	 3.418E+03	 1.731E+03	-6.218E+01	-9.067E+03	 8.804E+03	-6.355E+04	 3.418E+03	-2.259E+04	 5.729E+00	 1.010E+01	-1.181E+00	 2.293E+06	 1.260E+03	 2.070E+08	-9.137E+06	-1.110E+08	-7.742E+05
    2.9000	 3.000E+00	 4.544E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.055E+01	 1.308E-01	-2.930E-01	 2.779E-01	 3.062E+00	 4.074E-01	-8.788E-02	 1.084E-02	 1.122E-01	 5.730E+00	 8.158E+03	 1.883E+03	 0.000E+00	 5.730E+00	 2.470E+03	-1.334E+02	-2.259E+04	 2.038E+04	 2.022E+05	 3.362E+03	 1.773E+03	-6.194E+01	-9.066E+03	 8.811E+03	-6.340E+04	 3.362E+03	-2.259E+04	 5.729E+00	 1.008E+01	-1.185E+00	 2.285E+06	 1.145E+03	 2.070E+08	-9.104E+06	-1.223E+08	-7.768E+05
    3.0000	 3.000E+00	 4.937E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.054E+01	 1.309E-01	-2.789E-01	 2.775E-01	 3.094E+00	 4.075E-01	-1.266E-01	 1.121E-02	 1.073E-01	 5.730E+00	 8.182E+03	 1.903E+03	 0.000E+00	 5.730E+00	 2.542E+03	-1.334E+02	-2.259E+04	 2.038E+04	 2.098E+05	 3.288E+03	 1.816E+03	-6.172E+01	-9.064E+03	 8.826E+03	-6.322E+04	 3.288E+03	-2.259E+04	 5.729E+00	 1.005E+01	-1.189E+00	 2.277E+06	 1.038E+03	 2.070E+08	-9.073E+06	-1.336E+08	-7.707E+05
    3.1000	 3.000E+00	 5.355E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.054E+01	 1.310E-01	-2.635E-01	 2.770E-01	 3.125E+00	 4.075E-01	-1.658E-01	 1.152E-02	 1.010E-01	 5.730E+00	 8.215E+03	 1.922E+03	 0.000E+00	 5.730E+00	 2.617E+03	-1.332E+02	-2.258E+04	 2.038E+04	 2.176E+05	 3.197E+03	 1.858E+03	-6.153E+01	-9.061E+03	 8.849E+03	-6.299E+04	 3.197E+03	-2.258E+04	 5.729E+00	 1.003E+01	-1.189E+00	 2.234E+06	 9.403E+02	 2.070E+08	-9.045E+06	-1.446E+08	-7.557E+05
    3.2000	 3.000E+00	 5.790E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.053E+01	 1.311E-01	-2.469E-01	 2.765E-01	 3.155E+00	 4.076E-01	-2.043E-01	 1.175E-02	 9.461E-02	 5.730E+00	 8.256E+03	 1.942E+03	 0.000E+00	 5.730E+00	 2.690E+03	-1.331E+02	-2.258E+04	 2.039E+04	 2.254E+05	 3.093E+03	 1.901E+03	-6.136E+01	-9.059E+03	 8.879E+03	-6.273E+04	 3.093E+03	-2.258E+04	 5.729E+00	 9.998E+00	-1.190E+00	 2.191E+06	 8.502E+02	 2.069E+08	-9.020E+06	-1.556E+08	-7.334E+05
    3.3000	 3.000E+00	 6.239E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.053E+01	 1.312E-01	-2.290E-01	 2.760E-01	 3.184E+00	 4.077E-01	-2.424E-01	 1.191E-02	 8.694E-02	 5.730E+00	 8.308E+03	 1.963E+03	 0.000E+00	 5.730E+00	 2.765E+03	-1.329E+02	-2.257E+04	 2.041E+04	 2.332E+05	 2.976E+03	 1.944E+03	-6.121E+01	-9.055E+03	 8.918E+03	-6.243E+04	 2.976E+03	-2.257E+04	 5.729E+00	 9.965E+00	-1.184E+00	 2.116E+06	 7.672E+02	 2.069E+08	-8.998E+06	-1.661E+08	-7.036E+05
    3.4000	 3.000E+00	 6.696E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.053E+01	 1.313E-01	-2.100E-01	 2.754E-01	 3.212E+00	 4.079E-01	-2.799E-01	 1.198E-02	 7.925E-02	 5.730E+00	 8.369E+03	 1.983E+03	 0.000E+00	 5.730E+00	 2.838E+03	-1.327E+02	-2.256E+04	 2.044E+04	 2.410E+05	 2.854E+03	 1.986E+03	-6.108E+01	-9.051E+03	 8.966E+03	-6.211E+04	 2.854E+03	-2.256E+04	 5.729E+00	 9.928E+00	-1.178E+00	 2.043E+06	 6.905E+02	 2.068E+08	-8.980E+06	-1.766E+08	-6.692E+05
    3.5000	 3.000E+00	 7.153E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.053E+01	 1.314E-01	-1.897E-01	 2.748E-01	 3.238E+00	 4.080E-01	-3.162E-01	 1.196E-02	 7.035E-02	 5.730E+00	 8.441E+03	 2.004E+03	 0.000E+00	 5.730E+00	 2.911E+03	-1.324E+02	-2.255E+04	 2.048E+04	 2.487E+05	 2.725E+03	 2.028E+03	-6.096E+01	-9.046E+03	 9.025E+03	-6.174E+04	 2.725E+03	-2.255E+04	 5.729E+00	 9.888E+00	-1.165E+00	 1.940E+06	 6.203E+02	 2.067E+08	-8.965E+06	-1.865E+08	-6.294E+05
    3.6000	 3.000E+00	 7.609E-07	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.053E+01	 1.315E-01	-1.684E-01	 2.742E-01	 3.263E+00	 4.081E-01	-3.518E-01	 1.186E-02	 6.143E-02	 5.730E+00	 8.524E+03	 2.024E+03	 0.000E+00	 5.730E+00	 2.983E+03	-1.321E+02	-2.254E+04	 2.052E+04	 2.564E+05	 2.596E+03	 2.070E+03	-6.087E+01	-9.040E+03	 9.094E+03	-6.136E+04	 2.596E+03	-2.254E+04	 5.729E+00	 9.844E+00	-1.151E+00	 1.840E+06	 5.557E+02	 2.066E+08	-8.954E+06	-1.963E+08	-5.867E+05
