
Predictions were generated on 05-Aug-2022 at 10:59:13 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-122-gc1599127-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn

Description from the FAST input file: Fixed MHK turbine, based on the RM1 tidal current turbine

Time	TwN1Fbx	TwN3Fby	TwN4Fbz	TwN6Mbx	TwN5Mby	TwN2Mbz	B2N4Fbn	B1N7Fbt	B2N8Fbs	B1N2Mbn	B2N3Mbt	B1N6Mbs	B1FldFz	B2FldMx	HbFbx	HbFby	HbFbz	HbMbx	HbMby	HbMbz	NcFbx	NcFby	NcFbz	NcMbx	NcMby	NcMbz	RtFldFxh	RtFldFyh	RtFldFzg	RtFldMxh	RtFldMyg	RtFldMzh	B1N3SigCr	B2N5SigCr	B1N2SgCav	B2N6SgCav
    0.2700	-8.106E+01	 5.387E+00	-1.241E+04	 1.175E-01	 2.678E+00	 2.380E-06	 1.577E+02	 4.206E+02	-1.094E+04	 8.252E+00	-6.013E+00	 9.125E-04	-7.323E+04	 3.116E+04	-5.367E+02	 2.438E+04	 5.867E+04	 4.777E+00	-1.514E+04	 5.417E+03	-4.317E+02	-1.929E+02	-1.391E+06	 1.141E+01	-1.665E+05	 6.677E+01	 8.639E+04	 1.775E+04	 5.962E+04	 8.493E+03	-4.116E+04	 4.321E+02	 2.738E+01	 1.257E+01	 1.869E+00	 1.022E+00
    0.3000	-7.967E+01	 5.733E+00	-1.241E+04	 1.208E-01	 3.372E+00	 2.856E-06	 1.689E+02	 4.654E+02	-1.089E+04	 9.141E+00	-6.541E+00	 9.900E-04	-7.348E+04	 3.435E+04	-6.356E+02	 2.702E+04	 5.780E+04	 4.897E+00	-1.492E+04	 6.003E+03	-9.894E+02	-1.862E+02	-1.391E+06	 1.173E+01	-1.664E+05	 6.719E+01	 7.893E+04	 2.026E+04	 5.983E+04	 5.910E+03	-7.712E+04	 4.955E+02	 2.809E+01	 1.253E+01	 1.792E+00	 1.027E+00
    0.3300	-8.576E+01	 6.221E+00	-1.241E+04	 1.273E-01	 4.074E+00	 3.418E-06	 1.789E+02	 5.100E+02	-1.083E+04	 1.001E+01	-7.029E+00	 1.042E-03	-7.372E+04	 3.659E+04	-7.511E+02	 2.958E+04	 5.686E+04	 5.108E+00	-1.468E+04	 6.574E+03	-1.404E+03	-1.850E+02	-1.391E+06	 1.237E+01	-1.663E+05	 6.946E+01	 7.093E+04	 2.233E+04	 5.990E+04	 2.673E+03	-1.071E+05	 4.376E+02	 2.878E+01	 1.248E+01	 1.727E+00	 1.027E+00
    0.3600	-9.279E+01	 6.778E+00	-1.241E+04	 1.355E-01	 4.815E+00	 4.082E-06	 1.877E+02	 5.525E+02	-1.077E+04	 1.086E+01	-7.487E+00	 1.067E-03	-7.400E+04	 3.903E+04	-8.744E+02	 3.211E+04	 5.584E+04	 5.122E+00	-1.441E+04	 7.135E+03	-1.829E+03	-1.868E+02	-1.391E+06	 1.316E+01	-1.662E+05	 7.267E+01	 6.315E+04	 2.420E+04	 5.987E+04	 5.878E+02	-1.290E+05	 3.643E+02	 2.916E+01	 1.253E+01	 1.671E+00	 1.027E+00
    0.3900	-9.623E+01	 7.240E+00	-1.241E+04	 1.416E-01	 5.615E+00	 4.762E-06	 1.955E+02	 5.949E+02	-1.071E+04	 1.168E+01	-7.918E+00	 1.073E-03	-7.433E+04	 4.120E+04	-9.997E+02	 3.457E+04	 5.474E+04	 5.161E+00	-1.413E+04	 7.681E+03	-2.372E+03	-1.854E+02	-1.391E+06	 1.375E+01	-1.661E+05	 7.477E+01	 5.612E+04	 2.599E+04	 5.978E+04	-1.812E+03	-1.457E+05	 3.266E+02	 2.994E+01	 1.269E+01	 1.632E+00	 1.025E+00
    0.4200	-9.390E+01	 7.598E+00	-1.241E+04	 1.455E-01	 6.482E+00	 5.446E-06	 2.025E+02	 6.361E+02	-1.065E+04	 1.249E+01	-8.325E+00	 1.060E-03	-7.471E+04	 4.347E+04	-1.124E+03	 3.696E+04	 5.356E+04	 5.095E+00	-1.383E+04	 8.213E+03	-3.081E+03	-1.807E+02	-1.391E+06	 1.413E+01	-1.660E+05	 7.565E+01	 4.865E+04	 2.773E+04	 5.965E+04	-3.578E+03	-1.586E+05	 3.752E+02	 3.019E+01	 1.279E+01	 1.590E+00	 1.022E+00
    0.4500	-8.616E+01	 8.086E+00	-1.241E+04	 1.528E-01	 7.411E+00	 6.439E-06	 2.088E+02	 6.761E+02	-1.057E+04	 1.327E+01	-8.711E+00	 1.030E-03	-7.514E+04	 4.530E+04	-1.246E+03	 3.929E+04	 5.232E+04	 4.984E+00	-1.351E+04	 8.729E+03	-3.944E+03	-1.827E+02	-1.391E+06	 1.483E+01	-1.659E+05	 7.855E+01	 4.285E+04	 2.934E+04	 5.942E+04	-5.315E+03	-1.673E+05	 3.800E+02	 3.112E+01	 1.288E+01	 1.564E+00	 1.017E+00
    0.4800	-7.607E+01	 8.597E+00	-1.241E+04	 1.601E-01	 8.378E+00	 7.511E-06	 2.145E+02	 7.145E+02	-1.050E+04	 1.403E+01	-9.073E+00	 9.827E-04	-7.562E+04	 4.708E+04	-1.369E+03	 4.154E+04	 5.102E+04	 4.858E+00	-1.317E+04	 9.229E+03	-4.883E+03	-1.835E+02	-1.391E+06	 1.554E+01	-1.658E+05	 8.132E+01	 3.654E+04	 3.086E+04	 5.915E+04	-6.839E+03	-1.745E+05	 3.307E+02	 3.162E+01	 1.295E+01	 1.533E+00	 1.014E+00
    0.5100	-6.784E+01	 8.971E+00	-1.241E+04	 1.636E-01	 9.358E+00	 8.302E-06	 2.193E+02	 7.516E+02	-1.042E+04	 1.476E+01	-9.408E+00	 9.168E-04	-7.614E+04	 4.911E+04	-1.498E+03	 4.371E+04	 4.965E+04	 4.658E+00	-1.282E+04	 9.713E+03	-5.796E+03	-1.758E+02	-1.391E+06	 1.588E+01	-1.657E+05	 8.168E+01	 3.186E+04	 3.241E+04	 5.888E+04	-7.839E+03	-1.828E+05	 3.099E+02	 3.269E+01	 1.308E+01	 1.520E+00	 1.013E+00
    0.5400	-6.392E+01	 9.152E+00	-1.241E+04	 1.620E-01	 1.033E+01	 8.568E-06	 2.233E+02	 7.878E+02	-1.034E+04	 1.546E+01	-9.712E+00	 8.359E-04	-7.670E+04	 5.112E+04	-1.635E+03	 4.581E+04	 4.822E+04	 4.492E+00	-1.245E+04	 1.018E+04	-6.619E+03	-1.573E+02	-1.391E+06	 1.573E+01	-1.656E+05	 7.888E+01	 2.691E+04	 3.391E+04	 5.863E+04	-8.863E+03	-1.918E+05	 3.034E+02	 3.348E+01	 1.318E+01	 1.507E+00	 1.013E+00
    0.5700	-6.394E+01	 9.355E+00	-1.241E+04	 1.607E-01	 1.130E+01	 8.686E-06	 2.266E+02	 8.223E+02	-1.026E+04	 1.614E+01	-9.986E+00	 7.394E-04	-7.731E+04	 5.303E+04	-1.779E+03	 4.783E+04	 4.674E+04	 4.256E+00	-1.207E+04	 1.063E+04	-7.359E+03	-1.388E+02	-1.391E+06	 1.561E+01	-1.655E+05	 7.619E+01	 2.307E+04	 3.533E+04	 5.832E+04	-9.515E+03	-1.983E+05	 3.117E+02	 3.450E+01	 1.325E+01	 1.499E+00	 1.012E+00
    0.6000	-6.634E+01	 9.636E+00	-1.241E+04	 1.610E-01	 1.227E+01	 8.776E-06	 2.291E+02	 8.554E+02	-1.017E+04	 1.679E+01	-1.023E+01	 6.346E-04	-7.795E+04	 5.459E+04	-1.928E+03	 4.976E+04	 4.522E+04	 4.070E+00	-1.168E+04	 1.106E+04	-8.051E+03	-1.222E+02	-1.391E+06	 1.563E+01	-1.654E+05	 7.428E+01	 1.933E+04	 3.662E+04	 5.795E+04	-1.044E+04	-2.009E+05	 2.482E+02	 3.543E+01	 1.333E+01	 1.494E+00	 1.010E+00
    0.6300	-6.995E+01	 9.869E+00	-1.241E+04	 1.597E-01	 1.324E+01	 8.537E-06	 2.311E+02	 8.868E+02	-1.008E+04	 1.741E+01	-1.046E+01	 5.246E-04	-7.863E+04	 5.633E+04	-2.080E+03	 5.162E+04	 4.364E+04	 3.841E+00	-1.127E+04	 1.147E+04	-8.723E+03	-1.016E+02	-1.391E+06	 1.551E+01	-1.652E+05	 7.134E+01	 1.607E+04	 3.788E+04	 5.759E+04	-1.093E+04	-2.011E+05	 2.206E+02	 3.626E+01	 1.347E+01	 1.491E+00	 1.009E+00
    0.6600	-7.366E+01	 9.996E+00	-1.241E+04	 1.556E-01	 1.422E+01	 7.814E-06	 2.325E+02	 9.173E+02	-9.994E+03	 1.800E+01	-1.066E+01	 4.161E-04	-7.935E+04	 5.796E+04	-2.233E+03	 5.339E+04	 4.203E+04	 3.645E+00	-1.086E+04	 1.186E+04	-9.398E+03	-7.534E+01	-1.391E+06	 1.511E+01	-1.651E+05	 6.670E+01	 1.329E+04	 3.913E+04	 5.724E+04	-1.151E+04	-1.995E+05	 2.057E+02	 3.717E+01	 1.364E+01	 1.492E+00	 1.008E+00
    0.6900	-7.601E+01	 1.011E+01	-1.241E+04	 1.513E-01	 1.521E+01	 6.890E-06	 2.334E+02	 9.462E+02	-9.901E+03	 1.856E+01	-1.084E+01	 3.115E-04	-8.009E+04	 5.948E+04	-2.384E+03	 5.508E+04	 4.037E+04	 3.431E+00	-1.043E+04	 1.224E+04	-1.011E+04	-4.821E+01	-1.391E+06	 1.469E+01	-1.650E+05	 6.186E+01	 1.072E+04	 4.029E+04	 5.688E+04	-1.194E+04	-1.955E+05	 2.191E+02	 3.784E+01	 1.376E+01	 1.494E+00	 1.006E+00
    0.7200	-7.644E+01	 1.032E+01	-1.241E+04	 1.489E-01	 1.621E+01	 6.074E-06	 2.339E+02	 9.737E+02	-9.806E+03	 1.910E+01	-1.100E+01	 2.134E-04	-8.087E+04	 6.068E+04	-2.535E+03	 5.668E+04	 3.868E+04	 3.231E+00	-9.993E+03	 1.259E+04	-1.087E+04	-2.450E+01	-1.391E+06	 1.446E+01	-1.649E+05	 5.815E+01	 8.869E+03	 4.135E+04	 5.646E+04	-1.247E+04	-1.886E+05	 2.009E+02	 3.876E+01	 1.387E+01	 1.500E+00	 1.003E+00
    0.7500	-7.618E+01	 1.051E+01	-1.241E+04	 1.459E-01	 1.722E+01	 4.995E-06	 2.341E+02	 9.997E+02	-9.709E+03	 1.961E+01	-1.114E+01	 1.236E-04	-8.166E+04	 6.189E+04	-2.684E+03	 5.821E+04	 3.696E+04	 3.043E+00	-9.548E+03	 1.293E+04	-1.165E+04	 1.087E+00	-1.391E+06	 1.417E+01	-1.647E+05	 5.400E+01	 7.094E+03	 4.234E+04	 5.605E+04	-1.286E+04	-1.805E+05	 1.808E+02	 3.947E+01	 1.399E+01	 1.505E+00	 1.001E+00
    0.7800	-7.691E+01	 1.062E+01	-1.241E+04	 1.408E-01	 1.823E+01	 3.380E-06	 2.338E+02	 1.024E+03	-9.611E+03	 2.009E+01	-1.127E+01	 4.206E-05	-8.248E+04	 6.316E+04	-2.835E+03	 5.965E+04	 3.520E+04	 2.854E+00	-9.095E+03	 1.325E+04	-1.241E+04	 3.112E+01	-1.392E+06	 1.367E+01	-1.646E+05	 4.854E+01	 6.007E+03	 4.332E+04	 5.566E+04	-1.307E+04	-1.724E+05	 1.846E+02	 4.042E+01	 1.412E+01	 1.514E+00	 9.994E-01
    0.8100	-7.909E+01	 1.069E+01	-1.241E+04	 1.347E-01	 1.923E+01	 1.353E-06	 2.330E+02	 1.048E+03	-9.511E+03	 2.054E+01	-1.137E+01	-2.948E-05	-8.330E+04	 6.430E+04	-2.987E+03	 6.101E+04	 3.342E+04	 2.691E+00	-8.635E+03	 1.356E+04	-1.314E+04	 6.315E+01	-1.392E+06	 1.308E+01	-1.645E+05	 4.248E+01	 5.003E+03	 4.424E+04	 5.528E+04	-1.329E+04	-1.636E+05	 1.893E+02	 4.117E+01	 1.420E+01	 1.524E+00	 9.979E-01
    0.8400	-8.218E+01	 1.081E+01	-1.241E+04	 1.298E-01	 2.022E+01	-7.292E-07	 2.318E+02	 1.070E+03	-9.410E+03	 2.096E+01	-1.145E+01	-9.123E-05	-8.415E+04	 6.529E+04	-3.140E+03	 6.229E+04	 3.161E+04	 2.526E+00	-8.168E+03	 1.384E+04	-1.384E+04	 9.293E+01	-1.392E+06	 1.260E+01	-1.644E+05	 3.713E+01	 4.505E+03	 4.507E+04	 5.488E+04	-1.346E+04	-1.536E+05	 1.917E+02	 4.201E+01	 1.425E+01	 1.537E+00	 9.958E-01
    0.8700	-8.603E+01	 1.094E+01	-1.241E+04	 1.250E-01	 2.120E+01	-3.020E-06	 2.303E+02	 1.090E+03	-9.307E+03	 2.136E+01	-1.151E+01	-1.414E-04	-8.500E+04	 6.618E+04	-3.293E+03	 6.349E+04	 2.978E+04	 2.393E+00	-7.695E+03	 1.411E+04	-1.452E+04	 1.225E+02	-1.392E+06	 1.214E+01	-1.642E+05	 3.188E+01	 4.143E+03	 4.583E+04	 5.447E+04	-1.366E+04	-1.427E+05	 1.743E+02	 4.272E+01	 1.432E+01	 1.553E+00	 9.940E-01
    0.9000	-9.072E+01	 1.101E+01	-1.241E+04	 1.190E-01	 2.218E+01	-5.769E-06	 2.283E+02	 1.109E+03	-9.204E+03	 2.173E+01	-1.156E+01	-1.800E-04	-8.586E+04	 6.715E+04	-3.447E+03	 6.461E+04	 2.792E+04	 2.260E+00	-7.215E+03	 1.436E+04	-1.517E+04	 1.542E+02	-1.392E+06	 1.155E+01	-1.641E+05	 2.590E+01	 4.077E+03	 4.658E+04	 5.409E+04	-1.368E+04	-1.317E+05	 1.807E+02	 4.336E+01	 1.441E+01	 1.571E+00	 9.929E-01
    0.9300	-9.554E+01	 1.105E+01	-1.241E+04	 1.124E-01	 2.314E+01	-8.807E-06	 2.260E+02	 1.127E+03	-9.099E+03	 2.207E+01	-1.158E+01	-2.060E-04	-8.673E+04	 6.802E+04	-3.600E+03	 6.565E+04	 2.604E+04	 2.150E+00	-6.731E+03	 1.459E+04	-1.583E+04	 1.864E+02	-1.392E+06	 1.091E+01	-1.640E+05	 1.969E+01	 4.234E+03	 4.728E+04	 5.374E+04	-1.374E+04	-1.205E+05	 1.895E+02	 4.392E+01	 1.448E+01	 1.589E+00	 9.913E-01
    0.9600	-9.940E+01	 1.112E+01	-1.241E+04	 1.068E-01	 2.411E+01	-1.181E-05	 2.234E+02	 1.143E+03	-8.993E+03	 2.239E+01	-1.159E+01	-2.197E-04	-8.762E+04	 6.875E+04	-3.751E+03	 6.662E+04	 2.414E+04	 2.047E+00	-6.241E+03	 1.480E+04	-1.650E+04	 2.162E+02	-1.392E+06	 1.037E+01	-1.638E+05	 1.411E+01	 4.553E+03	 4.790E+04	 5.337E+04	-1.379E+04	-1.089E+05	 2.001E+02	 4.433E+01	 1.450E+01	 1.607E+00	 9.891E-01
    0.9900	-1.022E+02	 1.120E+01	-1.241E+04	 1.019E-01	 2.508E+01	-1.476E-05	 2.205E+02	 1.158E+03	-8.886E+03	 2.267E+01	-1.159E+01	-2.211E-04	-8.851E+04	 6.936E+04	-3.899E+03	 6.750E+04	 2.223E+04	 1.961E+00	-5.747E+03	 1.500E+04	-1.719E+04	 2.438E+02	-1.392E+06	 9.891E+00	-1.637E+05	 9.067E+00	 5.136E+03	 4.845E+04	 5.299E+04	-1.384E+04	-9.705E+04	 1.996E+02	 4.478E+01	 1.453E+01	 1.625E+00	 9.869E-01
    1.0200	-1.047E+02	 1.126E+01	-1.241E+04	 9.641E-02	 2.605E+01	-1.794E-05	 2.173E+02	 1.172E+03	-8.778E+03	 2.294E+01	-1.157E+01	-2.110E-04	-8.940E+04	 6.998E+04	-4.047E+03	 6.831E+04	 2.030E+04	 1.887E+00	-5.248E+03	 1.518E+04	-1.789E+04	 2.717E+02	-1.392E+06	 9.361E+00	-1.636E+05	 3.788E+00	 5.812E+03	 4.897E+04	 5.264E+04	-1.382E+04	-8.559E+04	 2.076E+02	 4.510E+01	 1.455E+01	 1.644E+00	 9.853E-01
    1.0500	-1.076E+02	 1.128E+01	-1.241E+04	 9.063E-02	 2.701E+01	-2.131E-05	 2.138E+02	 1.185E+03	-8.670E+03	 2.318E+01	-1.153E+01	-1.900E-04	-9.031E+04	 7.056E+04	-4.194E+03	 6.904E+04	 1.835E+04	 1.823E+00	-4.745E+03	 1.534E+04	-1.857E+04	 2.992E+02	-1.393E+06	 8.800E+00	-1.634E+05	-1.557E+00	 6.746E+03	 4.944E+04	 5.230E+04	-1.375E+04	-7.465E+04	 2.258E+02	 4.545E+01	 1.455E+01	 1.663E+00	 9.836E-01
    1.0800	-1.104E+02	 1.131E+01	-1.241E+04	 8.533E-02	 2.796E+01	-2.466E-05	 2.099E+02	 1.196E+03	-8.561E+03	 2.339E+01	-1.147E+01	-1.586E-04	-9.122E+04	 7.100E+04	-4.339E+03	 6.969E+04	 1.638E+04	 1.774E+00	-4.238E+03	 1.549E+04	-1.925E+04	 3.247E+02	-1.393E+06	 8.285E+00	-1.633E+05	-6.485E+00	 7.747E+03	 4.983E+04	 5.195E+04	-1.370E+04	-6.400E+04	 2.402E+02	 4.566E+01	 1.450E+01	 1.680E+00	 9.815E-01
    1.1100	-1.131E+02	 1.134E+01	-1.241E+04	 8.059E-02	 2.890E+01	-2.792E-05	 2.057E+02	 1.205E+03	-8.451E+03	 2.357E+01	-1.140E+01	-1.178E-04	-9.214E+04	 7.134E+04	-4.484E+03	 7.027E+04	 1.441E+04	 1.733E+00	-3.727E+03	 1.561E+04	-1.993E+04	 3.479E+02	-1.393E+06	 7.826E+00	-1.632E+05	-1.093E+01	 8.937E+03	 5.016E+04	 5.158E+04	-1.361E+04	-5.370E+04	 2.498E+02	 4.585E+01	 1.444E+01	 1.698E+00	 9.792E-01
    1.1400	-1.161E+02	 1.134E+01	-1.241E+04	 7.575E-02	 2.984E+01	-3.126E-05	 2.012E+02	 1.214E+03	-8.340E+03	 2.373E+01	-1.132E+01	-6.812E-05	-9.306E+04	 7.165E+04	-4.627E+03	 7.077E+04	 1.242E+04	 1.708E+00	-3.213E+03	 1.573E+04	-2.060E+04	 3.701E+02	-1.393E+06	 7.356E+00	-1.631E+05	-1.529E+01	 1.019E+04	 5.044E+04	 5.123E+04	-1.349E+04	-4.400E+04	 2.597E+02	 4.595E+01	 1.439E+01	 1.715E+00	 9.774E-01
    1.1700	-1.195E+02	 1.133E+01	-1.241E+04	 7.084E-02	 3.077E+01	-3.463E-05	 1.963E+02	 1.221E+03	-8.229E+03	 2.387E+01	-1.121E+01	-1.022E-05	-9.400E+04	 7.194E+04	-4.770E+03	 7.120E+04	 1.041E+04	 1.689E+00	-2.695E+03	 1.582E+04	-2.126E+04	 3.910E+02	-1.393E+06	 6.879E+00	-1.629E+05	-1.952E+01	 1.156E+04	 5.068E+04	 5.091E+04	-1.330E+04	-3.505E+04	 2.814E+02	 4.596E+01	 1.432E+01	 1.730E+00	 9.756E-01
    1.2000	-1.225E+02	 1.130E+01	-1.241E+04	 6.634E-02	 3.169E+01	-3.787E-05	 1.911E+02	 1.227E+03	-8.117E+03	 2.397E+01	-1.109E+01	 5.524E-05	-9.494E+04	 7.210E+04	-4.912E+03	 7.155E+04	 8.398E+03	 1.684E+00	-2.175E+03	 1.590E+04	-2.191E+04	 4.097E+02	-1.393E+06	 6.441E+00	-1.628E+05	-2.333E+01	 1.298E+04	 5.086E+04	 5.059E+04	-1.313E+04	-2.673E+04	 3.017E+02	 4.588E+01	 1.422E+01	 1.744E+00	 9.731E-01
    1.2300	-1.246E+02	 1.127E+01	-1.241E+04	 6.225E-02	 3.261E+01	-4.091E-05	 1.856E+02	 1.232E+03	-8.004E+03	 2.406E+01	-1.095E+01	 1.270E-04	-9.589E+04	 7.215E+04	-5.051E+03	 7.182E+04	 6.373E+03	 1.686E+00	-1.652E+03	 1.596E+04	-2.259E+04	 4.260E+02	-1.393E+06	 6.045E+00	-1.627E+05	-2.670E+01	 1.443E+04	 5.097E+04	 5.027E+04	-1.295E+04	-1.907E+04	 3.176E+02	 4.571E+01	 1.410E+01	 1.755E+00	 9.703E-01
    1.2600	-1.263E+02	 1.122E+01	-1.241E+04	 5.835E-02	 3.353E+01	-4.380E-05	 1.797E+02	 1.235E+03	-7.891E+03	 2.411E+01	-1.080E+01	 2.040E-04	-9.685E+04	 7.216E+04	-5.189E+03	 7.201E+04	 4.338E+03	 1.697E+00	-1.127E+03	 1.600E+04	-2.327E+04	 4.403E+02	-1.394E+06	 5.666E+00	-1.626E+05	-2.978E+01	 1.594E+04	 5.102E+04	 4.996E+04	-1.274E+04	-1.220E+04	 3.331E+02	 4.553E+01	 1.399E+01	 1.765E+00	 9.677E-01
    1.2900	-1.279E+02	 1.115E+01	-1.241E+04	 5.458E-02	 3.444E+01	-4.655E-05	 1.736E+02	 1.237E+03	-7.778E+03	 2.414E+01	-1.063E+01	 2.855E-04	-9.782E+04	 7.213E+04	-5.325E+03	 7.213E+04	 2.295E+03	 1.710E+00	-5.989E+02	 1.603E+04	-2.395E+04	 4.527E+02	-1.394E+06	 5.300E+00	-1.624E+05	-3.258E+01	 1.748E+04	 5.104E+04	 4.969E+04	-1.249E+04	-6.173E+03	 3.571E+02	 4.527E+01	 1.386E+01	 1.773E+00	 9.654E-01
