
Predictions were generated on 02-Dec-2019 at 13:37:09 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #10: UAE Phase VI (upwind) with no DOFs in a ramped wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	RootFxc1  	RootFyc1  	RootFzc1  	RootFxc2  	RootFyc2  	RootFzc2  	RootMOoP1 	RootMIP1  	RootMzc1  	RotTorq   	RotThrust 	RotPwr    	LSSGagMya 	LSSGagMza 	YawBrMxp  	YawBrMyp  	RtAeroCp  	RtAeroCq  	RtAeroCt  	GenPwr    
    8.1000	 8.100E+00	 0.000E+00	 0.000E+00	 7.480E-01	 3.866E-01	 7.620E+00	 7.480E-01	-7.720E-01	 7.295E+00	 2.207E+00	-5.070E-01	-1.413E-02	 1.136E+00	 1.496E+00	 8.556E+00	 4.603E-01	-1.642E+00	 1.136E+00	-6.928E+00	 3.252E-01	 6.958E-02	 4.606E-01	 3.407E+00
    8.2000	 8.200E+00	 0.000E+00	 0.000E+00	 7.561E-01	 3.365E-01	 7.180E+00	 7.561E-01	-7.310E-01	 7.735E+00	 2.229E+00	-4.176E-01	-1.405E-02	 1.163E+00	 1.512E+00	 8.758E+00	-7.868E-01	-1.513E+00	 1.163E+00	-6.917E+00	 3.209E-01	 6.949E-02	 4.543E-01	 3.407E+00
    8.3000	 8.300E+00	 0.000E+00	 0.000E+00	 7.643E-01	-2.131E-03	 6.890E+00	 7.643E-01	-4.014E-01	 8.025E+00	 2.252E+00	 1.660E-01	-1.403E-02	 1.190E+00	 1.529E+00	 8.960E+00	-1.609E+00	-5.658E-01	 1.190E+00	-6.905E+00	 3.166E-01	 6.939E-02	 4.483E-01	 3.407E+00
    8.4000	 8.400E+00	 0.000E+00	 0.000E+00	 7.718E-01	-4.485E-01	 6.907E+00	 7.718E-01	 3.635E-02	 8.008E+00	 2.273E+00	 9.339E-01	-1.405E-02	 1.216E+00	 1.544E+00	 9.153E+00	-1.561E+00	 6.870E-01	 1.216E+00	-6.895E+00	 3.120E-01	 6.921E-02	 4.420E-01	 3.407E+00
    8.5000	 8.500E+00	 0.000E+00	 0.000E+00	 7.788E-01	-7.636E-01	 7.222E+00	 7.788E-01	 3.432E-01	 7.694E+00	 2.293E+00	 1.477E+00	-1.409E-02	 1.240E+00	 1.558E+00	 9.340E+00	-6.690E-01	 1.568E+00	 1.240E+00	-6.885E+00	 3.072E-01	 6.897E-02	 4.356E-01	 3.407E+00
    8.6000	 8.600E+00	 0.000E+00	 0.000E+00	 7.852E-01	-7.793E-01	 7.664E+00	 7.852E-01	 3.511E-01	 7.251E+00	 2.311E+00	 1.507E+00	-1.416E-02	 1.264E+00	 1.570E+00	 9.517E+00	 5.843E-01	 1.602E+00	 1.264E+00	-6.876E+00	 3.023E-01	 6.866E-02	 4.290E-01	 3.407E+00
    8.7000	 8.700E+00	 0.000E+00	 0.000E+00	 7.907E-01	-4.892E-01	 7.995E+00	 7.907E-01	 5.372E-02	 6.921E+00	 2.326E+00	 1.014E+00	-1.422E-02	 1.286E+00	 1.581E+00	 9.681E+00	 1.522E+00	 7.694E-01	 1.286E+00	-6.869E+00	 2.970E-01	 6.824E-02	 4.221E-01	 3.407E+00
    8.8000	 8.800E+00	 0.000E+00	 0.000E+00	 7.959E-01	-5.226E-02	 8.035E+00	 7.959E-01	-3.904E-01	 6.880E+00	 2.340E+00	 2.685E-01	-1.427E-02	 1.307E+00	 1.592E+00	 9.843E+00	 1.636E+00	-4.792E-01	 1.307E+00	-6.862E+00	 2.918E-01	 6.781E-02	 4.153E-01	 3.407E+00
    8.9000	 8.900E+00	 0.000E+00	 0.000E+00	 8.009E-01	 2.933E-01	 7.763E+00	 8.009E-01	-7.430E-01	 7.152E+00	 2.354E+00	-3.202E-01	-1.430E-02	 1.328E+00	 1.602E+00	 1.000E+01	 8.665E-01	-1.469E+00	 1.328E+00	-6.855E+00	 2.866E-01	 6.736E-02	 4.085E-01	 3.407E+00
    9.0000	 9.000E+00	 0.000E+00	 0.000E+00	 8.055E-01	 3.588E-01	 7.326E+00	 8.055E-01	-8.154E-01	 7.589E+00	 2.367E+00	-4.295E-01	-1.433E-02	 1.349E+00	 1.611E+00	 1.016E+01	-3.720E-01	-1.664E+00	 1.349E+00	-6.848E+00	 2.815E-01	 6.690E-02	 4.018E-01	 3.407E+00
    9.1000	 9.100E+00	 0.000E+00	 0.000E+00	 8.097E-01	 1.072E-01	 6.960E+00	 8.097E-01	-5.702E-01	 7.955E+00	 2.378E+00	 4.188E-03	-1.439E-02	 1.368E+00	 1.619E+00	 1.030E+01	-1.409E+00	-9.599E-01	 1.368E+00	-6.843E+00	 2.762E-01	 6.637E-02	 3.951E-01	 3.407E+00
    9.2000	 9.200E+00	 0.000E+00	 0.000E+00	 8.143E-01	-3.276E-01	 6.863E+00	 8.143E-01	-1.418E-01	 8.052E+00	 2.391E+00	 7.515E-01	-1.448E-02	 1.388E+00	 1.629E+00	 1.045E+01	-1.685E+00	 2.632E-01	 1.388E+00	-6.836E+00	 2.711E-01	 6.587E-02	 3.887E-01	 3.407E+00
    9.3000	 9.300E+00	 0.000E+00	 0.000E+00	 8.178E-01	-7.117E-01	 7.087E+00	 8.178E-01	 2.368E-01	 7.828E+00	 2.401E+00	 1.412E+00	-1.459E-02	 1.405E+00	 1.636E+00	 1.058E+01	-1.049E+00	 1.344E+00	 1.405E+00	-6.831E+00	 2.657E-01	 6.525E-02	 3.821E-01	 3.407E+00
    9.4000	 9.400E+00	 0.000E+00	 0.000E+00	 8.206E-01	-8.389E-01	 7.512E+00	 8.206E-01	 3.595E-01	 7.404E+00	 2.409E+00	 1.632E+00	-1.472E-02	 1.419E+00	 1.641E+00	 1.068E+01	 1.534E-01	 1.698E+00	 1.419E+00	-6.828E+00	 2.599E-01	 6.451E-02	 3.752E-01	 3.407E+00
    9.5000	 9.500E+00	 0.000E+00	 0.000E+00	 8.234E-01	-6.417E-01	 7.907E+00	 8.234E-01	 1.588E-01	 7.008E+00	 2.417E+00	 1.297E+00	-1.490E-02	 1.432E+00	 1.647E+00	 1.078E+01	 1.273E+00	 1.134E+00	 1.432E+00	-6.824E+00	 2.540E-01	 6.372E-02	 3.686E-01	 3.407E+00
    9.6000	 9.600E+00	 0.000E+00	 0.000E+00	 8.266E-01	-2.255E-01	 8.059E+00	 8.266E-01	-2.557E-01	 6.856E+00	 2.426E+00	 5.870E-01	-1.586E-02	 1.434E+00	 1.653E+00	 1.079E+01	 1.705E+00	-4.285E-02	 1.434E+00	-6.819E+00	 2.465E-01	 6.249E-02	 3.624E-01	 3.407E+00
    9.7000	 9.700E+00	 0.000E+00	 0.000E+00	 8.292E-01	 1.837E-01	 7.886E+00	 8.292E-01	-6.609E-01	 7.029E+00	 2.432E+00	-1.109E-01	-1.718E-02	 1.430E+00	 1.658E+00	 1.077E+01	 1.215E+00	-1.197E+00	 1.430E+00	-6.816E+00	 2.384E-01	 6.107E-02	 3.561E-01	 3.407E+00
    9.8000	 9.800E+00	 0.000E+00	 0.000E+00	 8.322E-01	 3.654E-01	 7.482E+00	 8.322E-01	-8.369E-01	 7.434E+00	 2.440E+00	-4.190E-01	-1.871E-02	 1.424E+00	 1.664E+00	 1.072E+01	 6.784E-02	-1.704E+00	 1.424E+00	-6.811E+00	 2.302E-01	 5.957E-02	 3.501E-01	 3.407E+00
    9.9000	 9.900E+00	 0.000E+00	 0.000E+00	 8.357E-01	 2.258E-01	 7.064E+00	 8.357E-01	-6.843E-01	 7.851E+00	 2.448E+00	-1.765E-01	-2.081E-02	 1.403E+00	 1.671E+00	 1.057E+01	-1.116E+00	-1.290E+00	 1.403E+00	-6.807E+00	 2.200E-01	 5.751E-02	 3.445E-01	 3.407E+00
   10.0000	 1.000E+01	 0.000E+00	 0.000E+00	 8.388E-01	-1.585E-01	 6.859E+00	 8.388E-01	-2.843E-01	 8.056E+00	 2.456E+00	 4.849E-01	-2.298E-02	 1.376E+00	 1.678E+00	 1.036E+01	-1.696E+00	-1.782E-01	 1.376E+00	-6.802E+00	 2.094E-01	 5.530E-02	 3.389E-01	 3.407E+00
   10.1000	 1.010E+01	 0.000E+00	 0.000E+00	 8.415E-01	-5.802E-01	 6.978E+00	 8.415E-01	 1.463E-01	 7.937E+00	 2.462E+00	 1.209E+00	-2.456E-02	 1.362E+00	 1.683E+00	 1.026E+01	-1.359E+00	 1.030E+00	 1.362E+00	-6.799E+00	 2.011E-01	 5.364E-02	 3.333E-01	 3.407E+00
   10.2000	 1.020E+01	 0.000E+00	 0.000E+00	 8.443E-01	-8.058E-01	 7.356E+00	 8.443E-01	 3.802E-01	 7.559E+00	 2.468E+00	 1.598E+00	-2.578E-02	 1.348E+00	 1.689E+00	 1.015E+01	-2.879E-01	 1.681E+00	 1.348E+00	-6.795E+00	 1.933E-01	 5.207E-02	 3.279E-01	 3.407E+00
   10.3000	 1.030E+01	 0.000E+00	 0.000E+00	 8.467E-01	-7.113E-01	 7.789E+00	 8.467E-01	 2.930E-01	 7.126E+00	 2.474E+00	 1.437E+00	-2.680E-02	 1.335E+00	 1.693E+00	 1.005E+01	 9.392E-01	 1.423E+00	 1.335E+00	-6.791E+00	 1.858E-01	 5.054E-02	 3.225E-01	 3.407E+00
   10.4000	 1.040E+01	 0.000E+00	 0.000E+00	 8.494E-01	-3.467E-01	 8.043E+00	 8.494E-01	-6.698E-02	 6.872E+00	 2.480E+00	 8.133E-01	-2.783E-02	 1.326E+00	 1.699E+00	 9.987E+00	 1.658E+00	 3.963E-01	 1.326E+00	-6.788E+00	 1.794E-01	 4.926E-02	 3.173E-01	 3.407E+00
   10.5000	 1.050E+01	 0.000E+00	 0.000E+00	 8.527E-01	 9.166E-02	 7.980E+00	 8.527E-01	-5.045E-01	 6.935E+00	 2.487E+00	 6.314E-02	-2.880E-02	 1.325E+00	 1.705E+00	 9.979E+00	 1.481E+00	-8.448E-01	 1.325E+00	-6.783E+00	 1.742E-01	 4.830E-02	 3.125E-01	 3.407E+00
   10.6000	 1.060E+01	 0.000E+00	 0.000E+00	 8.560E-01	 3.684E-01	 7.635E+00	 8.560E-01	-7.813E-01	 7.280E+00	 2.494E+00	-4.118E-01	-2.980E-02	 1.323E+00	 1.712E+00	 9.963E+00	 5.031E-01	-1.629E+00	 1.323E+00	-6.778E+00	 1.690E-01	 4.731E-02	 3.078E-01	 3.407E+00
   10.7000	 1.070E+01	 0.000E+00	 0.000E+00	 8.595E-01	 3.344E-01	 7.194E+00	 8.595E-01	-7.473E-01	 7.721E+00	 2.500E+00	-3.549E-01	-3.091E-02	 1.321E+00	 1.719E+00	 9.944E+00	-7.470E-01	-1.533E+00	 1.321E+00	-6.774E+00	 1.640E-01	 4.634E-02	 3.033E-01	 3.407E+00
   10.8000	 1.080E+01	 0.000E+00	 0.000E+00	 8.633E-01	 7.899E-03	 6.895E+00	 8.633E-01	-4.210E-01	 8.020E+00	 2.508E+00	 2.029E-01	-3.216E-02	 1.319E+00	 1.727E+00	 9.928E+00	-1.593E+00	-6.077E-01	 1.319E+00	-6.768E+00	 1.592E-01	 4.541E-02	 2.991E-01	 3.407E+00
   10.9000	 1.090E+01	 0.000E+00	 0.000E+00	 8.681E-01	-4.349E-01	 6.901E+00	 8.681E-01	 2.088E-02	 8.014E+00	 2.517E+00	 9.597E-01	-3.344E-02	 1.318E+00	 1.736E+00	 9.923E+00	-1.578E+00	 6.459E-01	 1.318E+00	-6.762E+00	 1.548E-01	 4.456E-02	 2.952E-01	 3.407E+00
   11.0000	 1.100E+01	 0.000E+00	 0.000E+00	 8.730E-01	-7.546E-01	 7.207E+00	 8.730E-01	 3.394E-01	 7.708E+00	 2.526E+00	 1.505E+00	-3.488E-02	 1.316E+00	 1.746E+00	 9.909E+00	-7.098E-01	 1.550E+00	 1.316E+00	-6.755E+00	 1.504E-01	 4.369E-02	 2.915E-01	 3.407E+00
   11.1000	 1.110E+01	 0.000E+00	 0.000E+00	 8.777E-01	-7.785E-01	 7.649E+00	 8.777E-01	 3.623E-01	 7.266E+00	 2.534E+00	 1.543E+00	-3.633E-02	 1.313E+00	 1.755E+00	 9.889E+00	 5.422E-01	 1.617E+00	 1.313E+00	-6.748E+00	 1.461E-01	 4.282E-02	 2.878E-01	 3.407E+00
   11.2000	 1.120E+01	 0.000E+00	 0.000E+00	 8.825E-01	-4.940E-01	 7.987E+00	 8.825E-01	 7.682E-02	 6.928E+00	 2.542E+00	 1.054E+00	-3.778E-02	 1.311E+00	 1.765E+00	 9.870E+00	 1.501E+00	 8.089E-01	 1.311E+00	-6.742E+00	 1.419E-01	 4.198E-02	 2.842E-01	 3.407E+00
   11.3000	 1.130E+01	 0.000E+00	 0.000E+00	 8.876E-01	-5.539E-02	 8.039E+00	 8.876E-01	-3.632E-01	 6.876E+00	 2.551E+00	 3.004E-01	-3.918E-02	 1.309E+00	 1.775E+00	 9.852E+00	 1.648E+00	-4.362E-01	 1.309E+00	-6.735E+00	 1.379E-01	 4.117E-02	 2.808E-01	 3.407E+00
   11.4000	 1.140E+01	 0.000E+00	 0.000E+00	 8.933E-01	 2.998E-01	 7.777E+00	 8.933E-01	-7.202E-01	 7.138E+00	 2.561E+00	-3.107E-01	-4.071E-02	 1.307E+00	 1.787E+00	 9.839E+00	 9.046E-01	-1.445E+00	 1.307E+00	-6.727E+00	 1.342E-01	 4.039E-02	 2.777E-01	 3.407E+00
   11.5000	 1.150E+01	 0.000E+00	 0.000E+00	 8.987E-01	 3.793E-01	 7.342E+00	 8.987E-01	-8.014E-01	 7.573E+00	 2.570E+00	-4.498E-01	-4.223E-02	 1.304E+00	 1.797E+00	 9.822E+00	-3.283E-01	-1.673E+00	 1.304E+00	-6.719E+00	 1.305E-01	 3.962E-02	 2.746E-01	 3.407E+00
   11.6000	 1.160E+01	 0.000E+00	 0.000E+00	 9.042E-01	 1.396E-01	 6.969E+00	 9.042E-01	-5.636E-01	 7.946E+00	 2.579E+00	-4.232E-02	-4.374E-02	 1.303E+00	 1.808E+00	 9.807E+00	-1.384E+00	-9.965E-01	 1.303E+00	-6.712E+00	 1.269E-01	 3.889E-02	 2.715E-01	 3.407E+00
   11.7000	 1.170E+01	 0.000E+00	 0.000E+00	 9.101E-01	-2.906E-01	 6.861E+00	 9.101E-01	-1.360E-01	 8.054E+00	 2.590E+00	 6.917E-01	-4.514E-02	 1.303E+00	 1.820E+00	 9.811E+00	-1.691E+00	 2.190E-01	 1.303E+00	-6.704E+00	 1.238E-01	 3.824E-02	 2.686E-01	 3.407E+00
   11.8000	 1.180E+01	 0.000E+00	 0.000E+00	 9.164E-01	-6.789E-01	 7.075E+00	 9.164E-01	 2.498E-01	 7.840E+00	 2.602E+00	 1.353E+00	-4.669E-02	 1.301E+00	 1.833E+00	 9.798E+00	-1.084E+00	 1.316E+00	 1.301E+00	-6.695E+00	 1.205E-01	 3.754E-02	 2.659E-01	 3.407E+00
