time_[s],x_[m],y_[m],z_[m],theta_x_[rad],theta_y_[rad],theta_z_[rad],xdot_[m/s],ydot_[m/s],zdot_[m/s],omega_x_g_[rad/s],omega_y_g_[rad/s],omega_z_g_[rad/s],xddot_[m^2/s],yddot_[m^2/s],zddot_[m^2/s],alpha_x_g_[rad/s],alpha_y_g_[rad/s],alpha_z_g_[rad/s]
0.4200,20.0000,0.0000,-0.0003,0.0000,-0.0010,0.0000,0.0084,0.0000,-0.0027,0.0000,-0.0050,0.0001,0.0351,0.0000,-0.0116,-0.0004,-0.0134,0.0002
0.4500,20.0000,0.0000,-0.0004,0.0000,-0.0011,0.0000,0.0094,0.0000,-0.0030,-0.0001,-0.0054,0.0001,0.0337,0.0000,-0.0102,-0.0004,-0.0133,0.0001
0.4800,20.0000,0.0000,-0.0005,0.0000,-0.0013,0.0000,0.0104,0.0000,-0.0033,-0.0001,-0.0058,0.0001,0.0322,-0.0001,-0.0093,-0.0004,-0.0131,0.0001
0.5100,20.0000,0.0000,-0.0006,0.0000,-0.0015,0.0000,0.0114,0.0000,-0.0035,-0.0001,-0.0062,0.0001,0.0299,-0.0001,-0.0090,-0.0005,-0.0129,0.0001
0.5400,20.0000,0.0000,-0.0007,0.0000,-0.0017,0.0000,0.0122,0.0000,-0.0038,-0.0001,-0.0066,0.0001,0.0281,-0.0001,-0.0085,-0.0005,-0.0127,0.0001
0.5700,20.0000,0.0000,-0.0008,0.0000,-0.0019,0.0000,0.0130,0.0000,-0.0041,-0.0001,-0.0070,0.0001,0.0238,-0.0002,-0.0095,-0.0006,-0.0126,0.0001
0.6000,20.0000,0.0000,-0.0009,0.0000,-0.0021,0.0000,0.0137,0.0000,-0.0044,-0.0001,-0.0074,0.0001,0.0185,-0.0002,-0.0120,-0.0006,-0.0126,0.0001
0.6300,20.0000,0.0000,-0.0011,0.0000,-0.0023,0.0000,0.0141,0.0000,-0.0048,-0.0002,-0.0077,0.0001,0.0131,-0.0003,-0.0143,-0.0006,-0.0126,0.0001
0.6600,20.0000,0.0000,-0.0012,0.0000,-0.0026,0.0000,0.0145,0.0000,-0.0052,-0.0002,-0.0081,0.0001,0.0097,-0.0004,-0.0155,-0.0006,-0.0126,0.0001
0.6900,20.0000,0.0000,-0.0014,0.0000,-0.0028,0.0000,0.0147,-0.0001,-0.0057,-0.0002,-0.0085,0.0001,0.0088,-0.0005,-0.0150,-0.0006,-0.0124,0.0001
0.7200,20.0000,0.0000,-0.0015,0.0000,-0.0031,0.0000,0.0150,-0.0001,-0.0061,-0.0002,-0.0089,0.0001,0.0099,-0.0006,-0.0134,-0.0007,-0.0121,0.0001
0.7500,20.0100,0.0000,-0.0017,0.0000,-0.0033,0.0000,0.0153,-0.0001,-0.0065,-0.0002,-0.0092,0.0001,0.0121,-0.0008,-0.0110,-0.0007,-0.0117,0.0001
0.7800,20.0100,0.0000,-0.0019,-0.0001,-0.0036,0.0000,0.0157,-0.0001,-0.0068,-0.0003,-0.0096,0.0001,0.0140,-0.0009,-0.0086,-0.0006,-0.0113,0.0001
0.8100,20.0100,0.0000,-0.0021,-0.0001,-0.0039,0.0000,0.0162,-0.0002,-0.0070,-0.0003,-0.0099,0.0001,0.0143,-0.0011,-0.0076,-0.0006,-0.0110,0.0001
0.8400,20.0100,0.0000,-0.0024,-0.0001,-0.0042,0.0000,0.0166,-0.0002,-0.0073,-0.0003,-0.0102,0.0001,0.0130,-0.0012,-0.0076,-0.0006,-0.0108,0.0001
0.8700,20.0100,0.0000,-0.0026,-0.0001,-0.0045,0.0000,0.0169,-0.0002,-0.0075,-0.0003,-0.0105,0.0001,0.0117,-0.0014,-0.0076,-0.0006,-0.0106,0.0000
0.9000,20.0100,0.0000,-0.0028,-0.0001,-0.0049,0.0000,0.0173,-0.0003,-0.0077,-0.0003,-0.0109,0.0001,0.0110,-0.0016,-0.0071,-0.0005,-0.0104,0.0000
0.9300,20.0100,0.0000,-0.0030,-0.0001,-0.0052,0.0000,0.0176,-0.0003,-0.0079,-0.0003,-0.0112,0.0001,0.0110,-0.0018,-0.0062,-0.0005,-0.0101,0.0000
0.9600,20.0100,-0.0001,-0.0033,-0.0001,-0.0055,0.0001,0.0180,-0.0004,-0.0081,-0.0004,-0.0115,0.0001,0.0118,-0.0021,-0.0048,-0.0004,-0.0097,0.0000
0.9900,20.0100,-0.0001,-0.0035,-0.0001,-0.0059,0.0001,0.0183,-0.0004,-0.0082,-0.0004,-0.0117,0.0001,0.0127,-0.0023,-0.0030,-0.0004,-0.0094,0.0000
1.0200,20.0100,-0.0001,-0.0038,-0.0001,-0.0062,0.0001,0.0187,-0.0005,-0.0083,-0.0004,-0.0120,0.0001,0.0124,-0.0026,-0.0023,-0.0003,-0.0091,-0.0001
1.0500,20.0100,-0.0001,-0.0040,-0.0001,-0.0066,0.0001,0.0191,-0.0006,-0.0083,-0.0004,-0.0123,0.0001,0.0107,-0.0028,-0.0026,-0.0002,-0.0088,-0.0001
1.0800,20.0100,-0.0001,-0.0043,-0.0002,-0.0070,0.0001,0.0193,-0.0007,-0.0084,-0.0004,-0.0126,0.0001,0.0089,-0.0031,-0.0028,-0.0001,-0.0086,-0.0001
1.1100,20.0100,-0.0001,-0.0045,-0.0002,-0.0073,0.0001,0.0196,-0.0008,-0.0085,-0.0004,-0.0128,0.0001,0.0072,-0.0034,-0.0030,0.0000,-0.0084,-0.0001
1.1400,20.0100,-0.0002,-0.0048,-0.0002,-0.0077,0.0001,0.0198,-0.0009,-0.0086,-0.0004,-0.0131,0.0001,0.0059,-0.0037,-0.0030,0.0001,-0.0081,-0.0001
1.1700,20.0100,-0.0002,-0.0050,-0.0002,-0.0081,0.0001,0.0199,-0.0010,-0.0087,-0.0004,-0.0133,0.0001,0.0053,-0.0039,-0.0025,0.0002,-0.0078,-0.0002
1.2000,20.0100,-0.0002,-0.0053,-0.0002,-0.0085,0.0001,0.0201,-0.0011,-0.0087,-0.0004,-0.0135,0.0001,0.0049,-0.0042,-0.0019,0.0003,-0.0075,-0.0002
1.2300,20.0100,-0.0003,-0.0056,-0.0002,-0.0089,0.0001,0.0202,-0.0013,-0.0088,-0.0004,-0.0138,0.0001,0.0039,-0.0045,-0.0018,0.0004,-0.0072,-0.0002
1.2600,20.0100,-0.0003,-0.0058,-0.0002,-0.0094,0.0001,0.0203,-0.0014,-0.0089,-0.0004,-0.0140,0.0001,0.0020,-0.0048,-0.0023,0.0005,-0.0070,-0.0002
1.2900,20.0100,-0.0003,-0.0061,-0.0002,-0.0098,0.0001,0.0203,-0.0015,-0.0089,-0.0003,-0.0142,0.0001,-0.0001,-0.0051,-0.0032,0.0006,-0.0068,-0.0002
1.3200,20.0200,-0.0004,-0.0064,-0.0002,-0.0102,0.0001,0.0203,-0.0017,-0.0090,-0.0003,-0.0144,0.0001,-0.0021,-0.0054,-0.0039,0.0007,-0.0066,-0.0002
1.3500,20.0200,-0.0004,-0.0066,-0.0003,-0.0106,0.0001,0.0202,-0.0019,-0.0092,-0.0003,-0.0146,0.0000,-0.0039,-0.0057,-0.0046,0.0008,-0.0064,-0.0002
1.3800,20.0200,-0.0005,-0.0069,-0.0003,-0.0111,0.0001,0.0201,-0.0020,-0.0093,-0.0003,-0.0148,0.0000,-0.0051,-0.0060,-0.0050,0.0009,-0.0061,-0.0002
1.4100,20.0200,-0.0006,-0.0072,-0.0003,-0.0115,0.0001,0.0199,-0.0022,-0.0095,-0.0002,-0.0149,0.0000,-0.0054,-0.0062,-0.0047,0.0010,-0.0058,-0.0002
1.4400,20.0200,-0.0006,-0.0075,-0.0003,-0.0120,0.0001,0.0198,-0.0024,-0.0096,-0.0002,-0.0151,0.0000,-0.0051,-0.0065,-0.0042,0.0011,-0.0055,-0.0002
1.4700,20.0200,-0.0007,-0.0078,-0.0003,-0.0124,0.0001,0.0196,-0.0026,-0.0097,-0.0002,-0.0153,0.0000,-0.0044,-0.0067,-0.0035,0.0012,-0.0051,-0.0002
1.5000,20.0200,-0.0008,-0.0081,-0.0003,-0.0129,0.0001,0.0195,-0.0028,-0.0098,-0.0001,-0.0154,0.0000,-0.0030,-0.0069,-0.0022,0.0013,-0.0047,-0.0002
1.5300,20.0200,-0.0009,-0.0084,-0.0003,-0.0134,0.0001,0.0194,-0.0030,-0.0098,-0.0001,-0.0155,0.0000,-0.0015,-0.0071,-0.0010,0.0014,-0.0044,-0.0002
1.5600,20.0200,-0.0010,-0.0087,-0.0003,-0.0138,0.0001,0.0194,-0.0033,-0.0099,-0.0001,-0.0157,0.0000,-0.0005,-0.0073,-0.0002,0.0015,-0.0040,-0.0002
1.5900,20.0200,-0.0011,-0.0090,-0.0003,-0.0143,0.0001,0.0194,-0.0035,-0.0099,0.0000,-0.0158,0.0000,-0.0001,-0.0075,0.0003,0.0016,-0.0037,-0.0002
1.6200,20.0200,-0.0012,-0.0092,-0.0003,-0.0148,0.0001,0.0194,-0.0037,-0.0099,0.0000,-0.0159,0.0000,-0.0005,-0.0076,0.0001,0.0017,-0.0034,-0.0001
1.6500,20.0200,-0.0013,-0.0095,-0.0003,-0.0153,0.0001,0.0194,-0.0039,-0.0099,0.0001,-0.0160,0.0000,-0.0015,-0.0077,-0.0005,0.0017,-0.0031,-0.0001
1.6800,20.0200,-0.0014,-0.0098,-0.0003,-0.0157,0.0001,0.0193,-0.0042,-0.0099,0.0001,-0.0161,0.0000,-0.0024,-0.0078,-0.0011,0.0018,-0.0029,-0.0001
1.7100,20.0200,-0.0016,-0.0101,-0.0003,-0.0162,0.0001,0.0192,-0.0044,-0.0099,0.0002,-0.0162,0.0000,-0.0028,-0.0079,-0.0014,0.0018,-0.0026,-0.0001
1.7400,20.0200,-0.0017,-0.0104,-0.0003,-0.0167,0.0001,0.0192,-0.0046,-0.0100,0.0003,-0.0162,0.0000,-0.0026,-0.0079,-0.0012,0.0019,-0.0023,-0.0001
1.7700,20.0200,-0.0018,-0.0107,-0.0003,-0.0172,0.0001,0.0191,-0.0049,-0.0100,0.0003,-0.0163,0.0000,-0.0019,-0.0079,-0.0009,0.0019,-0.0020,-0.0001
1.8000,20.0200,-0.0020,-0.0110,-0.0003,-0.0177,0.0001,0.0190,-0.0051,-0.0100,0.0004,-0.0164,0.0000,-0.0012,-0.0079,-0.0005,0.0019,-0.0016,-0.0001
1.8300,20.0300,-0.0021,-0.0113,-0.0002,-0.0182,0.0001,0.0190,-0.0053,-0.0100,0.0004,-0.0164,0.0000,-0.0006,-0.0079,-0.0001,0.0019,-0.0013,-0.0001
1.8600,20.0300,-0.0023,-0.0116,-0.0002,-0.0187,0.0001,0.0191,-0.0056,-0.0100,0.0005,-0.0164,0.0000,0.0168,-0.0073,0.0116,0.0019,0.0000,-0.0001
1.8900,20.0300,-0.0025,-0.0119,-0.0002,-0.0192,0.0001,0.0199,-0.0058,-0.0094,0.0005,-0.0164,0.0000,0.0253,-0.0077,0.0178,0.0019,0.0007,0.0000
1.9200,20.0300,-0.0027,-0.0122,-0.0002,-0.0197,0.0001,0.0208,-0.0060,-0.0088,0.0006,-0.0164,0.0000,0.0308,-0.0077,0.0213,0.0018,0.0013,0.0000
1.9500,20.0300,-0.0028,-0.0125,-0.0002,-0.0201,0.0001,0.0214,-0.0063,-0.0083,0.0006,-0.0164,0.0000,0.0164,-0.0075,0.0105,0.0018,0.0008,0.0000
1.9800,20.0300,-0.0030,-0.0127,-0.0002,-0.0206,0.0001,0.0216,-0.0065,-0.0083,0.0007,-0.0163,0.0000,-0.0080,-0.0074,-0.0066,0.0017,-0.0004,0.0000
2.0100,20.0300,-0.0032,-0.0130,-0.0001,-0.0211,0.0001,0.0212,-0.0067,-0.0085,0.0008,-0.0164,0.0000,-0.0121,-0.0070,-0.0100,0.0017,-0.0003,0.0000
2.0400,20.0300,-0.0034,-0.0132,-0.0001,-0.0216,0.0001,0.0210,-0.0069,-0.0088,0.0008,-0.0164,0.0000,-0.0047,-0.0066,-0.0056,0.0016,0.0003,0.0000
2.0700,20.0300,-0.0036,-0.0135,-0.0001,-0.0221,0.0001,0.0210,-0.0071,-0.0088,0.0008,-0.0163,0.0000,0.0088,-0.0063,0.0035,0.0015,0.0013,0.0000
2.1000,20.0300,-0.0039,-0.0137,-0.0001,-0.0226,0.0001,0.0216,-0.0073,-0.0085,0.0009,-0.0163,0.0000,0.0289,-0.0060,0.0172,0.0015,0.0026,0.0000
2.1300,20.0300,-0.0041,-0.0140,0.0000,-0.0231,0.0001,0.0226,-0.0075,-0.0079,0.0009,-0.0162,0.0000,0.0349,-0.0058,0.0209,0.0014,0.0032,0.0000
2.1600,20.0300,-0.0043,-0.0142,0.0000,-0.0236,0.0001,0.0235,-0.0076,-0.0074,0.0010,-0.0161,0.0000,0.0257,-0.0055,0.0139,0.0012,0.0028,0.0001
2.1900,20.0300,-0.0045,-0.0144,0.0000,-0.0241,0.0001,0.0241,-0.0078,-0.0071,0.0010,-0.0160,0.0000,0.0126,-0.0052,0.0041,0.0011,0.0023,0.0001
2.2200,20.0300,-0.0048,-0.0147,0.0001,-0.0245,0.0001,0.0243,-0.0079,-0.0072,0.0010,-0.0160,0.0000,-0.0017,-0.0049,-0.0052,0.0010,0.0016,0.0001
2.2500,20.0300,-0.0050,-0.0149,0.0001,-0.0250,0.0001,0.0241,-0.0081,-0.0074,0.0011,-0.0159,0.0000,-0.0031,-0.0044,-0.0089,0.0009,0.0018,0.0001
2.2800,20.0400,-0.0053,-0.0151,0.0001,-0.0255,0.0001,0.0242,-0.0082,-0.0076,0.0011,-0.0158,0.0000,0.0083,-0.0038,-0.0009,0.0007,0.0026,0.0001
2.3100,20.0400,-0.0055,-0.0153,0.0002,-0.0260,0.0001,0.0247,-0.0083,-0.0074,0.0011,-0.0157,0.0000,0.0231,-0.0033,0.0095,0.0006,0.0036,0.0001
2.3400,20.0400,-0.0058,-0.0155,0.0002,-0.0264,0.0001,0.0256,-0.0084,-0.0070,0.0011,-0.0156,0.0000,0.0357,-0.0029,0.0172,0.0005,0.0045,0.0001
2.3700,20.0400,-0.0060,-0.0157,0.0002,-0.0269,0.0001,0.0267,-0.0085,-0.0065,0.0011,-0.0155,0.0000,0.0381,-0.0025,0.0188,0.0003,0.0048,0.0001
2.4000,20.0400,-0.0063,-0.0159,0.0003,-0.0273,0.0001,0.0277,-0.0085,-0.0060,0.0012,-0.0153,0.0000,0.0294,-0.0021,0.0119,0.0002,0.0044,0.0001
2.4300,20.0400,-0.0065,-0.0161,0.0003,-0.0278,0.0001,0.0284,-0.0086,-0.0058,0.0012,-0.0152,0.0000,0.0180,-0.0017,0.0030,0.0000,0.0040,0.0001
2.4600,20.0400,-0.0068,-0.0163,0.0003,-0.0283,0.0001,0.0289,-0.0087,-0.0058,0.0012,-0.0151,0.0000,0.0101,-0.0012,-0.0030,-0.0002,0.0037,0.0001
2.4900,20.0400,-0.0070,-0.0164,0.0004,-0.0287,0.0001,0.0291,-0.0087,-0.0059,0.0011,-0.0150,0.0000,0.0104,-0.0007,-0.0035,-0.0003,0.0039,0.0001
2.5200,20.0400,-0.0073,-0.0166,0.0004,-0.0292,0.0001,0.0296,-0.0087,-0.0059,0.0011,-0.0149,0.0000,0.0188,-0.0001,0.0018,-0.0005,0.0045,0.0001
2.5500,20.0400,-0.0076,-0.0168,0.0004,-0.0296,0.0001,0.0303,-0.0087,-0.0058,0.0011,-0.0147,0.0000,0.0288,0.0004,0.0085,-0.0006,0.0052,0.0001
2.5800,20.0400,-0.0078,-0.0170,0.0005,-0.0301,0.0001,0.0312,-0.0087,-0.0054,0.0011,-0.0146,0.0000,0.0348,0.0009,0.0121,-0.0008,0.0057,0.0001
2.6100,20.0400,-0.0081,-0.0171,0.0005,-0.0305,0.0001,0.0323,-0.0086,-0.0051,0.0011,-0.0144,0.0000,0.0345,0.0013,0.0113,-0.0009,0.0059,0.0001
2.6400,20.0500,-0.0083,-0.0173,0.0005,-0.0309,0.0001,0.0333,-0.0086,-0.0048,0.0010,-0.0142,0.0000,0.0289,0.0017,0.0067,-0.0010,0.0057,0.0001
2.6700,20.0500,-0.0086,-0.0174,0.0006,-0.0313,0.0001,0.0340,-0.0085,-0.0047,0.0010,-0.0140,0.0000,0.0228,0.0021,0.0018,-0.0012,0.0055,0.0001
2.7000,20.0500,-0.0088,-0.0176,0.0006,-0.0317,0.0001,0.0347,-0.0085,-0.0047,0.0010,-0.0139,0.0000,0.0205,0.0025,-0.0004,-0.0013,0.0055,0.0001
2.7300,20.0500,-0.0091,-0.0177,0.0006,-0.0322,0.0001,0.0353,-0.0084,-0.0047,0.0009,-0.0137,0.0000,0.0233,0.0029,0.0010,-0.0014,0.0058,0.0001
2.7600,20.0500,-0.0094,-0.0178,0.0006,-0.0326,0.0001,0.0361,-0.0083,-0.0046,0.0009,-0.0135,0.0000,0.0292,0.0034,0.0047,-0.0016,0.0063,0.0001
2.7900,20.0500,-0.0096,-0.0180,0.0007,-0.0330,0.0001,0.0371,-0.0082,-0.0044,0.0008,-0.0133,0.0000,0.0348,0.0038,0.0081,-0.0017,0.0067,0.0001
2.8200,20.0500,-0.0098,-0.0181,0.0007,-0.0334,0.0001,0.0381,-0.0081,-0.0041,0.0008,-0.0131,0.0000,0.0370,0.0042,0.0091,-0.0018,0.0069,0.0001
2.8500,20.0500,-0.0101,-0.0182,0.0007,-0.0338,0.0001,0.0392,-0.0079,-0.0039,0.0007,-0.0129,0.0000,0.0354,0.0045,0.0074,-0.0018,0.0069,0.0001
2.8800,20.0500,-0.0103,-0.0183,0.0007,-0.0342,0.0001,0.0403,-0.0078,-0.0037,0.0007,-0.0127,0.0000,0.0319,0.0048,0.0043,-0.0019,0.0068,0.0001
2.9100,20.0600,-0.0106,-0.0184,0.0008,-0.0345,0.0001,0.0412,-0.0076,-0.0036,0.0006,-0.0125,0.0000,0.0292,0.0050,0.0018,-0.0020,0.0067,0.0001
2.9400,20.0600,-0.0108,-0.0185,0.0008,-0.0349,0.0001,0.0420,-0.0075,-0.0036,0.0006,-0.0123,0.0001,0.0291,0.0052,0.0011,-0.0021,0.0068,0.0001
2.9700,20.0600,-0.0110,-0.0187,0.0008,-0.0353,0.0001,0.0429,-0.0073,-0.0035,0.0005,-0.0121,0.0001,0.0317,0.0054,0.0023,-0.0021,0.0070,0.0001
3.0000,20.0600,-0.0112,-0.0188,0.0008,-0.0356,0.0001,0.0439,-0.0072,-0.0034,0.0004,-0.0119,0.0001,0.0355,0.0056,0.0044,-0.0021,0.0073,0.0001
3.0300,20.0600,-0.0114,-0.0189,0.0008,-0.0360,0.0001,0.0451,-0.0070,-0.0033,0.0004,-0.0117,0.0001,0.0392,0.0058,0.0065,-0.0022,0.0076,0.0001
3.0600,20.0600,-0.0116,-0.0190,0.0008,-0.0363,0.0001,0.0463,-0.0068,-0.0030,0.0003,-0.0114,0.0001,0.0412,0.0060,0.0073,-0.0022,0.0077,0.0001
3.0900,20.0600,-0.0118,-0.0190,0.0008,-0.0367,0.0001,0.0475,-0.0066,-0.0028,0.0002,-0.0112,0.0001,0.0412,0.0061,0.0066,-0.0022,0.0078,0.0001
3.1200,20.0700,-0.0120,-0.0191,0.0008,-0.0370,0.0001,0.0487,-0.0065,-0.0027,0.0002,-0.0110,0.0001,0.0400,0.0062,0.0052,-0.0022,0.0078,0.0001
3.1500,20.0700,-0.0122,-0.0192,0.0008,-0.0373,0.0001,0.0499,-0.0063,-0.0025,0.0001,-0.0107,0.0001,0.0400,0.0061,0.0047,-0.0021,0.0078,0.0001
3.1800,20.0700,-0.0124,-0.0193,0.0008,-0.0376,0.0001,0.0511,-0.0061,-0.0024,0.0000,-0.0105,0.0001,0.0414,0.0061,0.0052,-0.0021,0.0079,0.0001
3.2100,20.0700,-0.0126,-0.0193,0.0008,-0.0380,0.0001,0.0524,-0.0059,-0.0022,0.0000,-0.0103,0.0001,0.0439,0.0061,0.0065,-0.0020,0.0081,0.0000
3.2400,20.0700,-0.0128,-0.0194,0.0008,-0.0383,0.0001,0.0538,-0.0057,-0.0020,-0.0001,-0.0100,0.0001,0.0461,0.0060,0.0076,-0.0020,0.0082,0.0000
3.2700,20.0700,-0.0129,-0.0195,0.0008,-0.0386,0.0001,0.0552,-0.0055,-0.0017,-0.0001,-0.0098,0.0001,0.0469,0.0059,0.0076,-0.0019,0.0083,0.0000
3.3000,20.0700,-0.0131,-0.0195,0.0008,-0.0389,0.0001,0.0566,-0.0054,-0.0015,-0.0002,-0.0095,0.0001,0.0470,0.0059,0.0072,-0.0018,0.0083,0.0000
3.3300,20.0800,-0.0133,-0.0196,0.0008,-0.0391,0.0001,0.0580,-0.0052,-0.0013,-0.0002,-0.0093,0.0001,0.0472,0.0057,0.0068,-0.0017,0.0083,0.0000
3.3600,20.0800,-0.0134,-0.0196,0.0008,-0.0394,0.0001,0.0594,-0.0050,-0.0011,-0.0003,-0.0090,0.0001,0.0483,0.0055,0.0071,-0.0016,0.0084,0.0000
3.3900,20.0800,-0.0136,-0.0196,0.0008,-0.0397,0.0001,0.0609,-0.0049,-0.0009,-0.0003,-0.0088,0.0001,0.0502,0.0053,0.0080,-0.0015,0.0085,0.0000
3.4200,20.0800,-0.0137,-0.0196,0.0008,-0.0399,0.0001,0.0624,-0.0047,-0.0006,-0.0004,-0.0085,0.0001,0.0517,0.0050,0.0086,-0.0014,0.0085,0.0000
3.4500,20.0800,-0.0138,-0.0197,0.0008,-0.0402,0.0001,0.0640,-0.0046,-0.0004,-0.0004,-0.0083,0.0001,0.0521,0.0047,0.0084,-0.0013,0.0085,0.0000
3.4800,20.0900,-0.0140,-0.0197,0.0008,-0.0404,0.0001,0.0655,-0.0044,-0.0001,-0.0005,-0.0080,0.0001,0.0516,0.0044,0.0075,-0.0011,0.0085,0.0000
3.5100,20.0900,-0.0141,-0.0197,0.0008,-0.0407,0.0001,0.0671,-0.0043,0.0001,-0.0005,-0.0077,0.0001,0.0513,0.0042,0.0066,-0.0010,0.0084,-0.0001
3.5400,20.0900,-0.0142,-0.0197,0.0007,-0.0409,0.0001,0.0686,-0.0042,0.0003,-0.0005,-0.0075,0.0001,0.0527,0.0039,0.0069,-0.0008,0.0085,-0.0001
3.5700,20.0900,-0.0144,-0.0197,0.0007,-0.0411,0.0001,0.0703,-0.0041,0.0005,-0.0005,-0.0072,0.0001,0.0563,0.0036,0.0087,-0.0007,0.0086,-0.0001
3.6000,20.0900,-0.0145,-0.0196,0.0007,-0.0413,0.0001,0.0720,-0.0040,0.0008,-0.0006,-0.0070,0.0001,0.0610,0.0032,0.0114,-0.0005,0.0088,-0.0001
3.6300,20.1000,-0.0146,-0.0196,0.0007,-0.0415,0.0001,0.0739,-0.0039,0.0012,-0.0006,-0.0067,0.0001,0.0649,0.0028,0.0134,-0.0004,0.0090,-0.0001
3.6600,20.1000,-0.0147,-0.0196,0.0007,-0.0417,0.0001,0.0759,-0.0038,0.0016,-0.0006,-0.0064,0.0001,0.0664,0.0024,0.0137,-0.0002,0.0090,-0.0001
3.6900,20.1000,-0.0148,-0.0195,0.0007,-0.0419,0.0001,0.0779,-0.0037,0.0020,-0.0006,-0.0062,0.0001,0.0654,0.0020,0.0122,-0.0001,0.0088,-0.0001
3.7200,20.1000,-0.0149,-0.0194,0.0006,-0.0421,0.0001,0.0798,-0.0037,0.0023,-0.0006,-0.0059,0.0000,0.0634,0.0016,0.0099,0.0001,0.0087,-0.0001
3.7500,20.1100,-0.0150,-0.0194,0.0006,-0.0423,0.0001,0.0817,-0.0036,0.0026,-0.0006,-0.0057,0.0000,0.0628,0.0013,0.0084,0.0003,0.0085,-0.0001
3.7800,20.1100,-0.0152,-0.0193,0.0006,-0.0424,0.0001,0.0836,-0.0036,0.0028,-0.0006,-0.0054,0.0000,0.0639,0.0009,0.0102,0.0004,0.0084,-0.0001
3.8100,20.1100,-0.0153,-0.0192,0.0006,-0.0426,0.0001,0.0856,-0.0036,0.0031,-0.0006,-0.0051,0.0000,0.0707,0.0006,0.0091,0.0005,0.0089,-0.0001
3.8400,20.1100,-0.0154,-0.0191,0.0006,-0.0427,0.0001,0.0878,-0.0036,0.0035,-0.0005,-0.0049,0.0000,0.0738,0.0002,0.0149,0.0007,0.0088,-0.0001
3.8700,20.1200,-0.0155,-0.0190,0.0006,-0.0429,0.0001,0.0901,-0.0036,0.0039,-0.0005,-0.0046,0.0000,0.0776,-0.0002,0.0152,0.0008,0.0090,-0.0001
3.9000,20.1200,-0.0156,-0.0189,0.0005,-0.0430,0.0001,0.0924,-0.0036,0.0044,-0.0005,-0.0043,0.0000,0.0798,-0.0003,0.0152,0.0010,0.0090,-0.0002
